 VARIABLES = "X",  "Y"
 ZONE N=        1200 , E=        1131 , F=FEPOINT, ET=QUADRILATERAL
        1.0000000000        1.2500000000
        1.0689655172        1.2500000000
        1.0689655172        1.1858974359
        1.0000000000        1.1858974359
        1.1379310345        1.2500000000
        1.1379310345        1.1858974359
        1.2068965517        1.2500000000
        1.2068965517        1.1858974359
        1.2758620690        1.2500000000
        1.2758620690        1.1858974359
        1.3448275862        1.2500000000
        1.3448275862        1.1858974359
        1.4137931034        1.2500000000
        1.4137931034        1.1858974359
        1.4827586207        1.2500000000
        1.4827586207        1.1858974359
        1.5517241379        1.2500000000
        1.5517241379        1.1858974359
        1.6206896552        1.2500000000
        1.6206896552        1.1858974359
        1.6896551724        1.2500000000
        1.6896551724        1.1858974359
        1.7586206897        1.2500000000
        1.7586206897        1.1858974359
        1.8275862069        1.2500000000
        1.8275862069        1.1858974359
        1.8965517241        1.2500000000
        1.8965517241        1.1858974359
        1.9655172414        1.2500000000
        1.9655172414        1.1858974359
        2.0344827586        1.2500000000
        2.0344827586        1.1858974359
        2.1034482759        1.2500000000
        2.1034482759        1.1858974359
        2.1724137931        1.2500000000
        2.1724137931        1.1858974359
        2.2413793103        1.2500000000
        2.2413793103        1.1858974359
        2.3103448276        1.2500000000
        2.3103448276        1.1858974359
        2.3793103448        1.2500000000
        2.3793103448        1.1858974359
        2.4482758621        1.2500000000
        2.4482758621        1.1858974359
        2.5172413793        1.2500000000
        2.5172413793        1.1858974359
        2.5862068966        1.2500000000
        2.5862068966        1.1858974359
        2.6551724138        1.2500000000
        2.6551724138        1.1858974359
        2.7241379310        1.2500000000
        2.7241379310        1.1858974359
        2.7931034483        1.2500000000
        2.7931034483        1.1858974359
        2.8620689655        1.2500000000
        2.8620689655        1.1858974359
        2.9310344828        1.2500000000
        2.9310344828        1.1858974359
        3.0000000000        1.2500000000
        3.0000000000        1.1858974359
        1.0689655172        1.1217948718
        1.0000000000        1.1217948718
        1.1379310345        1.1217948718
        1.2068965517        1.1217948718
        1.2758620690        1.1217948718
        1.3448275862        1.1217948718
        1.4137931034        1.1217948718
        1.4827586207        1.1217948718
        1.5517241379        1.1217948718
        1.6206896552        1.1217948718
        1.6896551724        1.1217948718
        1.7586206897        1.1217948718
        1.8275862069        1.1217948718
        1.8965517241        1.1217948718
        1.9655172414        1.1217948718
        2.0344827586        1.1217948718
        2.1034482759        1.1217948718
        2.1724137931        1.1217948718
        2.2413793103        1.1217948718
        2.3103448276        1.1217948718
        2.3793103448        1.1217948718
        2.4482758621        1.1217948718
        2.5172413793        1.1217948718
        2.5862068966        1.1217948718
        2.6551724138        1.1217948718
        2.7241379310        1.1217948718
        2.7931034483        1.1217948718
        2.8620689655        1.1217948718
        2.9310344828        1.1217948718
        3.0000000000        1.1217948718
        1.0689655172        1.0576923077
        1.0000000000        1.0576923077
        1.1379310345        1.0576923077
        1.2068965517        1.0576923077
        1.2758620690        1.0576923077
        1.3448275862        1.0576923077
        1.4137931034        1.0576923077
        1.4827586207        1.0576923077
        1.5517241379        1.0576923077
        1.6206896552        1.0576923077
        1.6896551724        1.0576923077
        1.7586206897        1.0576923077
        1.8275862069        1.0576923077
        1.8965517241        1.0576923077
        1.9655172414        1.0576923077
        2.0344827586        1.0576923077
        2.1034482759        1.0576923077
        2.1724137931        1.0576923077
        2.2413793103        1.0576923077
        2.3103448276        1.0576923077
        2.3793103448        1.0576923077
        2.4482758621        1.0576923077
        2.5172413793        1.0576923077
        2.5862068966        1.0576923077
        2.6551724138        1.0576923077
        2.7241379310        1.0576923077
        2.7931034483        1.0576923077
        2.8620689655        1.0576923077
        2.9310344828        1.0576923077
        3.0000000000        1.0576923077
        1.0689655172        0.9935897436
        1.0000000000        0.9935897436
        1.1379310345        0.9935897436
        1.2068965517        0.9935897436
        1.2758620690        0.9935897436
        1.3448275862        0.9935897436
        1.4137931034        0.9935897436
        1.4827586207        0.9935897436
        1.5517241379        0.9935897436
        1.6206896552        0.9935897436
        1.6896551724        0.9935897436
        1.7586206897        0.9935897436
        1.8275862069        0.9935897436
        1.8965517241        0.9935897436
        1.9655172414        0.9935897436
        2.0344827586        0.9935897436
        2.1034482759        0.9935897436
        2.1724137931        0.9935897436
        2.2413793103        0.9935897436
        2.3103448276        0.9935897436
        2.3793103448        0.9935897436
        2.4482758621        0.9935897436
        2.5172413793        0.9935897436
        2.5862068966        0.9935897436
        2.6551724138        0.9935897436
        2.7241379310        0.9935897436
        2.7931034483        0.9935897436
        2.8620689655        0.9935897436
        2.9310344828        0.9935897436
        3.0000000000        0.9935897436
        1.0689655172        0.9294871795
        1.0000000000        0.9294871795
        1.1379310345        0.9294871795
        1.2068965517        0.9294871795
        1.2758620690        0.9294871795
        1.3448275862        0.9294871795
        1.4137931034        0.9294871795
        1.4827586207        0.9294871795
        1.5517241379        0.9294871795
        1.6206896552        0.9294871795
        1.6896551724        0.9294871795
        1.7586206897        0.9294871795
        1.8275862069        0.9294871795
        1.8965517241        0.9294871795
        1.9655172414        0.9294871795
        2.0344827586        0.9294871795
        2.1034482759        0.9294871795
        2.1724137931        0.9294871795
        2.2413793103        0.9294871795
        2.3103448276        0.9294871795
        2.3793103448        0.9294871795
        2.4482758621        0.9294871795
        2.5172413793        0.9294871795
        2.5862068966        0.9294871795
        2.6551724138        0.9294871795
        2.7241379310        0.9294871795
        2.7931034483        0.9294871795
        2.8620689655        0.9294871795
        2.9310344828        0.9294871795
        3.0000000000        0.9294871795
        1.0689655172        0.8653846154
        1.0000000000        0.8653846154
        1.1379310345        0.8653846154
        1.2068965517        0.8653846154
        1.2758620690        0.8653846154
        1.3448275862        0.8653846154
        1.4137931034        0.8653846154
        1.4827586207        0.8653846154
        1.5517241379        0.8653846154
        1.6206896552        0.8653846154
        1.6896551724        0.8653846154
        1.7586206897        0.8653846154
        1.8275862069        0.8653846154
        1.8965517241        0.8653846154
        1.9655172414        0.8653846154
        2.0344827586        0.8653846154
        2.1034482759        0.8653846154
        2.1724137931        0.8653846154
        2.2413793103        0.8653846154
        2.3103448276        0.8653846154
        2.3793103448        0.8653846154
        2.4482758621        0.8653846154
        2.5172413793        0.8653846154
        2.5862068966        0.8653846154
        2.6551724138        0.8653846154
        2.7241379310        0.8653846154
        2.7931034483        0.8653846154
        2.8620689655        0.8653846154
        2.9310344828        0.8653846154
        3.0000000000        0.8653846154
        1.0689655172        0.8012820513
        1.0000000000        0.8012820513
        1.1379310345        0.8012820513
