 VARIABLES = "X",  "Y"
 ZONE N=        9150 , E=        8940 , F=FEPOINT, ET=QUADRILATERAL
       -2.0000000000        1.2500000000
       -2.0000000000        1.2076271186
       -1.9664429530        1.2076271186
       -1.9664429530        1.2500000000
       -2.0000000000        1.1652542373
       -1.9664429530        1.1652542373
       -2.0000000000        1.1228813559
       -1.9664429530        1.1228813559
       -2.0000000000        1.0805084746
       -1.9664429530        1.0805084746
       -2.0000000000        1.0381355932
       -1.9664429530        1.0381355932
       -2.0000000000        0.9957627119
       -1.9664429530        0.9957627119
       -2.0000000000        0.9533898305
       -1.9664429530        0.9533898305
       -2.0000000000        0.9110169492
       -1.9664429530        0.9110169492
       -2.0000000000        0.8686440678
       -1.9664429530        0.8686440678
       -2.0000000000        0.8262711864
       -1.9664429530        0.8262711864
       -2.0000000000        0.7838983051
       -1.9664429530        0.7838983051
       -2.0000000000        0.7415254237
       -1.9664429530        0.7415254237
       -2.0000000000        0.6991525424
       -1.9664429530        0.6991525424
       -2.0000000000        0.6567796610
       -1.9664429530        0.6567796610
       -2.0000000000        0.6144067797
       -1.9664429530        0.6144067797
       -2.0000000000        0.5720338983
       -1.9664429530        0.5720338983
       -2.0000000000        0.5296610169
       -1.9664429530        0.5296610169
       -2.0000000000        0.4872881356
       -1.9664429530        0.4872881356
       -2.0000000000        0.4449152542
       -1.9664429530        0.4449152542
       -2.0000000000        0.4025423729
       -1.9664429530        0.4025423729
       -2.0000000000        0.3601694915
       -1.9664429530        0.3601694915
       -2.0000000000        0.3177966102
       -1.9664429530        0.3177966102
       -2.0000000000        0.2754237288
       -1.9664429530        0.2754237288
       -2.0000000000        0.2330508475
       -1.9664429530        0.2330508475
       -2.0000000000        0.1906779661
       -1.9664429530        0.1906779661
       -2.0000000000        0.1483050847
       -1.9664429530        0.1483050847
       -2.0000000000        0.1059322034
       -1.9664429530        0.1059322034
       -2.0000000000        0.0635593220
       -1.9664429530        0.0635593220
       -2.0000000000        0.0211864407
       -1.9664429530        0.0211864407
       -2.0000000000       -0.0211864407
       -1.9664429530       -0.0211864407
       -2.0000000000       -0.0635593220
       -1.9664429530       -0.0635593220
       -2.0000000000       -0.1059322034
       -1.9664429530       -0.1059322034
       -2.0000000000       -0.1483050847
       -1.9664429530       -0.1483050847
       -2.0000000000       -0.1906779661
       -1.9664429530       -0.1906779661
       -2.0000000000       -0.2330508475
       -1.9664429530       -0.2330508475
       -2.0000000000       -0.2754237288
       -1.9664429530       -0.2754237288
       -2.0000000000       -0.3177966102
       -1.9664429530       -0.3177966102
       -2.0000000000       -0.3601694915
       -1.9664429530       -0.3601694915
       -2.0000000000       -0.4025423729
       -1.9664429530       -0.4025423729
       -2.0000000000       -0.4449152542
       -1.9664429530       -0.4449152542
       -2.0000000000       -0.4872881356
       -1.9664429530       -0.4872881356
       -2.0000000000       -0.5296610169
       -1.9664429530       -0.5296610169
       -2.0000000000       -0.5720338983
       -1.9664429530       -0.5720338983
       -2.0000000000       -0.6144067797
       -1.9664429530       -0.6144067797
       -2.0000000000       -0.6567796610
       -1.9664429530       -0.6567796610
       -2.0000000000       -0.6991525424
       -1.9664429530       -0.6991525424
       -2.0000000000       -0.7415254237
       -1.9664429530       -0.7415254237
       -2.0000000000       -0.7838983051
       -1.9664429530       -0.7838983051
       -2.0000000000       -0.8262711864
       -1.9664429530       -0.8262711864
       -2.0000000000       -0.8686440678
       -1.9664429530       -0.8686440678
       -2.0000000000       -0.9110169492
       -1.9664429530       -0.9110169492
       -2.0000000000       -0.9533898305
       -1.9664429530       -0.9533898305
       -2.0000000000       -0.9957627119
       -1.9664429530       -0.9957627119
       -2.0000000000       -1.0381355932
       -1.9664429530       -1.0381355932
       -2.0000000000       -1.0805084746
       -1.9664429530       -1.0805084746
       -2.0000000000       -1.1228813559
       -1.9664429530       -1.1228813559
       -2.0000000000       -1.1652542373
       -1.9664429530       -1.1652542373
       -2.0000000000       -1.2076271186
       -1.9664429530       -1.2076271186
       -1.9328859060        1.2076271186
       -1.9328859060        1.2500000000
       -1.9328859060        1.1652542373
       -1.9328859060        1.1228813559
       -1.9328859060        1.0805084746
       -1.9328859060        1.0381355932
       -1.9328859060        0.9957627119
       -1.9328859060        0.9533898305
       -1.9328859060        0.9110169492
       -1.9328859060        0.8686440678
       -1.9328859060        0.8262711864
       -1.9328859060        0.7838983051
       -1.9328859060        0.7415254237
       -1.9328859060        0.6991525424
       -1.9328859060        0.6567796610
       -1.9328859060        0.6144067797
       -1.9328859060        0.5720338983
       -1.9328859060        0.5296610169
       -1.9328859060        0.4872881356
       -1.9328859060        0.4449152542
       -1.9328859060        0.4025423729
       -1.9328859060        0.3601694915
       -1.9328859060        0.3177966102
       -1.9328859060        0.2754237288
       -1.9328859060        0.2330508475
       -1.9328859060        0.1906779661
       -1.9328859060        0.1483050847
       -1.9328859060        0.1059322034
       -1.9328859060        0.0635593220
       -1.9328859060        0.0211864407
       -1.9328859060       -0.0211864407
       -1.9328859060       -0.0635593220
       -1.9328859060       -0.1059322034
       -1.9328859060       -0.1483050847
       -1.9328859060       -0.1906779661
       -1.9328859060       -0.2330508475
       -1.9328859060       -0.2754237288
       -1.9328859060       -0.3177966102
       -1.9328859060       -0.3601694915
       -1.9328859060       -0.4025423729
       -1.9328859060       -0.4449152542
       -1.9328859060       -0.4872881356
       -1.9328859060       -0.5296610169
       -1.9328859060       -0.5720338983
       -1.9328859060       -0.6144067797
       -1.9328859060       -0.6567796610
       -1.9328859060       -0.6991525424
       -1.9328859060       -0.7415254237
       -1.9328859060       -0.7838983051
       -1.9328859060       -0.8262711864
       -1.9328859060       -0.8686440678
       -1.9328859060       -0.9110169492
       -1.9328859060       -0.9533898305
       -1.9328859060       -0.9957627119
       -1.9328859060       -1.0381355932
       -1.9328859060       -1.0805084746
       -1.9328859060       -1.1228813559
       -1.9328859060       -1.1652542373
       -1.9328859060       -1.2076271186
       -1.8993288591        1.2076271186
       -1.8993288591        1.2500000000
       -1.8993288591        1.1652542373
       -1.8993288591        1.1228813559
       -1.8993288591        1.0805084746
       -1.8993288591        1.0381355932
       -1.8993288591        0.9957627119
       -1.8993288591        0.9533898305
       -1.8993288591        0.9110169492
       -1.8993288591        0.8686440678
       -1.8993288591        0.8262711864
       -1.8993288591        0.7838983051
       -1.8993288591        0.7415254237
       -1.8993288591        0.6991525424
       -1.8993288591        0.6567796610
       -1.8993288591        0.6144067797
       -1.8993288591        0.5720338983
       -1.8993288591        0.5296610169
       -1.8993288591        0.4872881356
       -1.8993288591        0.4449152542
       -1.8993288591        0.4025423729
       -1.8993288591        0.3601694915
       -1.8993288591        0.3177966102
       -1.8993288591        0.2754237288
       -1.8993288591        0.2330508475
       -1.8993288591        0.1906779661
       -1.8993288591        0.1483050847
       -1.8993288591        0.1059322034
       -1.8993288591        0.0635593220
       -1.8993288591        0.0211864407
       -1.8993288591       -0.0211864407
       -1.8993288591       -0.0635593220
       -1.8993288591       -0.1059322034
       -1.8993288591       -0.1483050847
       -1.8993288591       -0.1906779661
       -1.8993288591       -0.2330508475
       -1.8993288591       -0.2754237288
       -1.8993288591       -0.3177966102
       -1.8993288591       -0.3601694915
       -1.8993288591       -0.4025423729
       -1.8993288591       -0.4449152542
       -1.8993288591       -0.4872881356
       -1.8993288591       -0.5296610169
       -1.8993288591       -0.5720338983
