 VARIABLES = "X",  "Y"
 ZONE N=        4800 , E=        4661 , F=FEPOINT, ET=QUADRILATERAL
        0.5000000000        1.0000000000
        0.5000000000        0.9661016949
        0.5379746835        0.9661016949
        0.5379746835        1.0000000000
        0.5000000000        0.9322033898
        0.5379746835        0.9322033898
        0.5000000000        0.8983050847
        0.5379746835        0.8983050847
        0.5000000000        0.8644067797
        0.5379746835        0.8644067797
        0.5000000000        0.8305084746
        0.5379746835        0.8305084746
        0.5000000000        0.7966101695
        0.5379746835        0.7966101695
        0.5000000000        0.7627118644
        0.5379746835        0.7627118644
        0.5000000000        0.7288135593
        0.5379746835        0.7288135593
        0.5000000000        0.6949152542
        0.5379746835        0.6949152542
        0.5000000000        0.6610169492
        0.5379746835        0.6610169492
        0.5000000000        0.6271186441
        0.5379746835        0.6271186441
        0.5000000000        0.5932203390
        0.5379746835        0.5932203390
        0.5000000000        0.5593220339
        0.5379746835        0.5593220339
        0.5000000000        0.5254237288
        0.5379746835        0.5254237288
        0.5000000000        0.4915254237
        0.5379746835        0.4915254237
        0.5000000000        0.4576271186
        0.5379746835        0.4576271186
        0.5000000000        0.4237288136
        0.5379746835        0.4237288136
        0.5000000000        0.3898305085
        0.5379746835        0.3898305085
        0.5000000000        0.3559322034
        0.5379746835        0.3559322034
        0.5000000000        0.3220338983
        0.5379746835        0.3220338983
        0.5000000000        0.2881355932
        0.5379746835        0.2881355932
        0.5000000000        0.2542372881
        0.5379746835        0.2542372881
        0.5000000000        0.2203389831
        0.5379746835        0.2203389831
        0.5000000000        0.1864406780
        0.5379746835        0.1864406780
        0.5000000000        0.1525423729
        0.5379746835        0.1525423729
        0.5000000000        0.1186440678
        0.5379746835        0.1186440678
        0.5000000000        0.0847457627
        0.5379746835        0.0847457627
        0.5000000000        0.0508474576
        0.5379746835        0.0508474576
        0.5000000000        0.0169491525
        0.5379746835        0.0169491525
        0.5000000000       -0.0169491525
        0.5379746835       -0.0169491525
        0.5000000000       -0.0508474576
        0.5379746835       -0.0508474576
        0.5000000000       -0.0847457627
        0.5379746835       -0.0847457627
        0.5000000000       -0.1186440678
        0.5379746835       -0.1186440678
        0.5000000000       -0.1525423729
        0.5379746835       -0.1525423729
        0.5000000000       -0.1864406780
        0.5379746835       -0.1864406780
        0.5000000000       -0.2203389831
        0.5379746835       -0.2203389831
        0.5000000000       -0.2542372881
        0.5379746835       -0.2542372881
        0.5000000000       -0.2881355932
        0.5379746835       -0.2881355932
        0.5000000000       -0.3220338983
        0.5379746835       -0.3220338983
        0.5000000000       -0.3559322034
        0.5379746835       -0.3559322034
        0.5000000000       -0.3898305085
        0.5379746835       -0.3898305085
        0.5000000000       -0.4237288136
        0.5379746835       -0.4237288136
        0.5000000000       -0.4576271186
        0.5379746835       -0.4576271186
        0.5000000000       -0.4915254237
        0.5379746835       -0.4915254237
        0.5000000000       -0.5254237288
        0.5379746835       -0.5254237288
        0.5000000000       -0.5593220339
        0.5379746835       -0.5593220339
        0.5000000000       -0.5932203390
        0.5379746835       -0.5932203390
        0.5000000000       -0.6271186441
        0.5379746835       -0.6271186441
        0.5000000000       -0.6610169492
        0.5379746835       -0.6610169492
        0.5000000000       -0.6949152542
        0.5379746835       -0.6949152542
        0.5000000000       -0.7288135593
        0.5379746835       -0.7288135593
        0.5000000000       -0.7627118644
        0.5379746835       -0.7627118644
        0.5000000000       -0.7966101695
        0.5379746835       -0.7966101695
        0.5000000000       -0.8305084746
        0.5379746835       -0.8305084746
        0.5000000000       -0.8644067797
        0.5379746835       -0.8644067797
        0.5000000000       -0.8983050847
        0.5379746835       -0.8983050847
        0.5000000000       -0.9322033898
        0.5379746835       -0.9322033898
        0.5000000000       -0.9661016949
        0.5379746835       -0.9661016949
        0.5759493671        0.9661016949
        0.5759493671        1.0000000000
        0.5759493671        0.9322033898
        0.5759493671        0.8983050847
        0.5759493671        0.8644067797
        0.5759493671        0.8305084746
        0.5759493671        0.7966101695
