 VARIABLES = "X",  "Y"
 ZONE N=        6815 , E=       13331 , F=FEPOINT, ET=QUADRILATERAL
       -2.0000000000       -1.1901348080
       -1.9523461095       -1.1723719441
       -1.8990270685       -1.1958386782
       -2.0000000000       -1.1302696161
       -1.9135609833       -1.1306704192
       -1.9607741865       -1.1143437099
       -1.8565851953       -1.1449376928
       -1.8422999641       -1.2041037632
       -2.0000000000       -1.0704044241
       -1.8755482976       -1.0854048047
       -1.9370272189       -1.0731076678
       -1.7958239464       -1.1591302435
       -1.8141896892       -1.0993492838
       -1.7854419129       -1.2127665035
       -1.9623888458       -1.0147694295
       -1.8350292464       -1.0402167848
       -1.8991095737       -1.0270137052
       -2.0000000000       -1.0105392321
       -1.7527647686       -1.1169169595
       -1.7335983034       -1.1889533011
       -1.7732481741       -1.0541545148
       -1.9285206602       -0.9674951323
       -2.0000000000       -0.9506740402
       -1.7942387636       -0.9949659412
       -1.8577552501       -0.9820467709
       -1.7129437198       -1.0674971858
       -1.6926566520       -1.1314667116
       -1.6681883971       -1.1963138454
       -1.7332665686       -1.0071324280
       -1.9458063557       -0.9119704326
       -1.8793318144       -0.9249407960
       -1.8152692342       -0.9374130615
       -1.7537826895       -0.9488701866
       -2.0000000000       -0.8908088482
       -1.6728238406       -1.0181198631
       -1.6522282580       -1.0780904221
       -1.6299689114       -1.1387833784
       -1.6055693141       -1.1996809608
       -1.6930307355       -0.9593326283
       -1.8961491412       -0.8691401902
       -1.9527013353       -0.8554531049
       -1.8353716188       -0.8809053166
       -1.7744504368       -0.8918108274
       -1.7136198549       -0.9015932487
       -2.0000000000       -0.8309436562
       -1.6318829914       -0.9692217306
       -1.6117195076       -1.0278690231
       -1.5902422235       -1.0863810624
       -1.5675253713       -1.1446556836
       -1.5441768228       -1.2009213825
       -1.6518172126       -0.9102742073
       -1.8548287469       -0.8257339269
       -1.9122292727       -0.8158331262
       -1.9594476035       -0.8070800742
       -1.7952616089       -0.8357568705
       -1.7350437234       -0.8450779939
       -1.6731638463       -0.8526736683
       -2.0000000000       -0.7710784643
       -1.5701231913       -0.9791890366
       -1.5895071159       -0.9201108175
       -1.5503926969       -1.0371235155
       -1.5266316746       -1.0944328192
       -1.5076034715       -1.1501810912
       -1.4863772598       -1.2018606196
       -1.6076779712       -0.8569334645
       -1.8166800727       -0.7805510038
       -1.8763443524       -0.7718218949
       -1.9365097555       -0.7655498241
       -1.7571111176       -0.7896412494
       -1.6968947432       -0.7979657517
       -1.6330955772       -0.8039332211
       -1.9625199213       -0.7126024404
       -1.5099638291       -0.9886036110
       -1.5263692530       -0.9332391165
       -1.5486545478       -0.8714741499
       -1.4919740078       -1.0469746203
       -1.4636832739       -1.1032136424
       -1.4569711509       -1.1611168135
       -1.4273975526       -1.1995668681
       -1.5623449290       -0.8000456463
       -1.7792366097       -0.7344598569
       -1.8391184603       -0.7256002526
       -1.9009564577       -0.7178518727
       -2.0000000000       -0.7112132723
       -1.7202500726       -0.7434851112
       -1.6620732660       -0.7519805953
       -1.6108176383       -0.7594769576
       -1.9298066843       -0.6613194485
       -2.0000000000       -0.6513480804
       -1.4653684457       -1.0035468094
       -1.4667158069       -0.9492712197
       -1.4935903287       -0.8890954054
       -1.5132761463       -0.8394870629
       -1.4378644510       -1.0454306131
       -1.4008577750       -1.1461030278
       -1.3719677806       -1.1978964267
       -1.5716123244       -0.7285576010
       -1.7419348173       -0.6885513354
       -1.8011945916       -0.6790555082
       -1.8625256971       -0.6700809860
       -1.6837693544       -0.6985458467
       -1.4908605932       -0.7926371047
       -1.4052944934       -1.0889294813
       -1.6275242618       -0.7099782637
       -1.5141590573       -0.7428218778
       -1.9476207117       -0.6064831460
       -1.8842394442       -0.6142586040
       -1.4179900319       -0.9960575995
       -1.4324125255       -0.8892039517
       -1.4622526107       -0.8398496256
       -1.3818337804       -1.0429284059
       -1.3474329986       -1.1040959145
       -1.3470916504       -1.1582280137
       -1.3128551862       -1.1975984423
       -1.5889718178       -0.6674965544
       -1.5308558055       -0.6811662733
       -1.7043949757       -0.6432146382
       -1.7629956958       -0.6329490340
       -1.8226258231       -0.6232705618
       -2.0000000000       -0.5914828884
       -1.6465622393       -0.6543737710
       -1.3963401941       -0.9401870126
       -1.4499378806       -0.7492556273
       -1.4395310720       -0.7946811366
       -1.4706203424       -0.6934142535
       -1.9556365586       -0.5496277487
       -1.9014007290       -0.5580933919
       -1.8428045986       -0.5670441071
       -1.3578501725       -0.9893577440
       -1.3707687372       -0.8833277043
       -1.4061500488       -0.8333414900
       -1.3204096166       -1.0406615665
       -1.2944649108       -1.1491255442
       -1.2591291138       -1.1929515698
       -1.5497250768       -0.6220740703
       -1.6080803463       -0.6098800083
       -1.4907210191       -0.6340194827
       -1.6663088348       -0.5981263871
       -1.7247618832       -0.5871904152
       -1.7835965892       -0.5768408665
       -2.0000000000       -0.5316176964
       -1.3344558054       -0.9339401467
       -1.3883350915       -0.7661711481
       -1.4085996037       -0.7073189978
       -1.2785953788       -1.0944289659
       -1.2419019923       -1.1379026377
       -1.4310224253       -0.6456017141
       -1.9181987093       -0.5025615033
       -1.9648665293       -0.5004712535
       -1.8624622590       -0.5104004116
       -1.8040063225       -0.5201997006
       -1.2975318946       -0.9838996898
       -1.3105271138       -0.8781172278
       -1.3469266981       -0.8249199124
       -1.2597012599       -1.0343736028
       -1.1987041146       -1.1916845104
       -1.5109923989       -0.5760571584
       -1.5695174253       -0.5645869744
       -1.6277233039       -0.5527785637
       -1.4522118322       -0.5870196070
       -1.6861346084       -0.5413719297
       -1.7449975505       -0.5306114118
       -2.0000000000       -0.4717525045
       -1.2747916208       -0.9287444560
       -1.3490051538       -0.7150685587
       -1.3711978137       -0.6560251207
       -1.3206898981       -0.7667641906
       -1.2219803848       -1.0856673609
       -1.1835656212       -1.1285758839
       -1.3932530272       -0.5972592952
       -1.8845723541       -0.4521396944
       -1.9476793135       -0.4436616968
       -1.8251142146       -0.4626677996
       -1.7654276571       -0.4735944314
       -1.2386431800       -0.9778350786
       -1.2512183601       -0.8746686313
       -1.2855545643       -0.8229213300
       -1.2021035375       -1.0263167161
       -1.1421434458       -1.1799813011
       -1.4734030516       -0.5297049984
       -1.5316050680       -0.5189656545
       -1.5896265077       -0.5072949909
       -1.6468451514       -0.4948169160
       -1.4147976339       -0.5399567571
       -1.7056193073       -0.4840241021
       -2.0000000000       -0.4118873125
       -1.2165955285       -0.9238827883
       -1.2872502074       -0.7162480183
       -1.3112680107       -0.6634961957
       -1.3342777342       -0.6061670758
       -1.2579182336       -0.7687424434
       -1.1647804861       -1.0750752285
       -1.0965403104       -1.2151260338
       -1.1267190699       -1.1171732843
       -1.3562250764       -0.5494578396
       -1.9081101123       -0.3922987412
       -1.8473050150       -0.4040344751
       -1.9574958137       -0.3857107973
       -1.7865462530       -0.4161261965
       -1.7253313293       -0.4273371574
       -1.1813674375       -0.9712600232
       -1.1933989619       -0.8713811653
       -1.2261446552       -0.8216186321
       -1.1454382341       -1.0175811810
       -1.0867276251       -1.1601565920
       -1.4366268193       -0.4831476312
       -1.4954528342       -0.4726275659
       -1.5522497006       -0.4623373402
       -1.6093107621       -0.4485890720
       -1.6633583055       -0.4350297380
       -1.3778320215       -0.4931670292
       -2.0000000000       -0.3520221205
       -1.1597825387       -0.9187671699
       -1.2275730530       -0.7190090233
       -1.2531991654       -0.6685839993
       -1.2758257223       -0.6138785862
       -1.2979860593       -0.5582957252
       -1.1989967195       -0.7696926426
       -1.1085444644       -1.0636359217
       -1.0513797907       -1.1953517093
       -1.0705869969       -1.1054946177
       -1.3196489682       -0.5025897781
       -1.8709748855       -0.3444627924
       -1.9382509697       -0.3325182120
       -1.8080457482       -0.3576375496
       -1.7465677573       -0.3712390706
       -1.6843636623       -0.3840912225
       -1.1253902207       -0.9641718748
       -1.1369584139       -0.8674658795
       -1.1686469070       -0.8198072496
       -1.0901991502       -1.0082704255
       -1.0334507825       -1.1488398331
       -1.4598250113       -0.4259689865
       -1.3998376121       -0.4368466565
       -1.5203800466       -0.4143690889
       -1.5692767995       -0.4134056389
       -1.6232749635       -0.3892776186
       -1.3409949270       -0.4469398922
       -2.0000000000       -0.2921569286
       -1.1043954738       -0.9129799983
       -1.1950080967       -0.6727168157
       -1.1698900538       -0.7216571595
       -1.2175804745       -0.6205062855
       -1.2396923849       -0.5664927753
       -1.2614002240       -0.5114687348
       -1.1424046717       -0.7689077299
       -1.0529216662       -1.0526136348
       -1.0053572412       -1.1971859663
       -1.0138302622       -1.0945843774
       -1.2826403075       -0.4561902192
       -1.8872834206       -0.2850205134
