 VARIABLES = "X",  "Y"
 ZONE N=        1616 , E=        2888 , F=FEPOINT, ET=QUADRILATERAL
       -2.0000000000       -0.1178092500
       -1.9661324841       -0.1042722206
       -1.9356689998       -0.1223216427
       -2.0000000000       -0.0785395000
       -1.9320837478       -0.0847465458
       -1.9656040876       -0.0622934872
       -1.8995743288       -0.1119272795
       -2.0000000000       -0.0392697500
       -1.8988057194       -0.0664547513
       -1.9317854852       -0.0430897585
       -1.9655361259       -0.0207695642
       -1.8638673531       -0.1230456602
       -1.8657956669       -0.0859006377
       -2.0000000000        0.0000000000
       -1.8984446753       -0.0221907992
       -1.8651151105       -0.0440237910
       -1.9317775352       -0.0000140340
       -1.9655508845        0.0207674336
       -1.8318564118       -0.1072807273
       -1.8310891532       -0.0654683603
       -2.0000000000        0.0392697500
       -1.7983569394       -0.1283210774
       -1.8648721592       -0.0000302895
       -1.8984546322        0.0221515724
       -1.8308677812       -0.0221385241
       -1.9318122499        0.0430844115
       -1.9656336367        0.0622902603
       -1.7967536240       -0.0868128709
       -1.7966295314       -0.0441771667
       -2.0000000000        0.0785395000
       -1.7615307892       -0.1086739079
       -1.8651281661        0.0440009475
       -1.8308726640        0.0220776168
       -1.8988304984        0.0664772305
       -1.7966492507       -0.0000417253
       -1.9321088217        0.0847665403
       -1.9661631627        0.1042960817
       -1.7621891711       -0.0660920495
       -1.7625050438       -0.0222692478
       -2.0000000000        0.1178092500
       -1.7242287562       -0.1281874380
       -1.7274149866       -0.0866312169
       -1.8311037112        0.0654886971
       -1.8658179138        0.0859916255
       -1.7966367502        0.0441389870
       -1.8995760170        0.1120350964
       -1.7625058316        0.0221813805
       -1.9356766411        0.1224166932
       -1.9600958728        0.1570790000
       -1.7284231969       -0.0440093084
       -1.7286378710       -0.0000644156
       -2.0000000000        0.1570790000
       -1.6923864576       -0.1068239633
       -1.6944451894       -0.0648515954
       -1.7967707741        0.0869023972
       -1.8318843349        0.1074621938
       -1.8638504745        0.1231879758
       -1.7621888751        0.0661013136
       -1.9201917455        0.1570790000
       -1.7284226480        0.0439384471
       -1.6948548659       -0.0218962961
       -1.8802876183        0.1570790000
       -1.6948443864        0.0217374478
       -1.6609634439       -0.1225668813
       -1.6610826778       -0.0840370626
       -1.6611528010       -0.0430999828
       -1.7615155980        0.1088573507
       -1.7983890503        0.1284637340
       -1.8403834911        0.1570790000
       -1.7274185226        0.0867286366
       -1.6944176915        0.0648231341
       -1.6611599715       -0.0001254856
       -1.6611075320        0.0429264429
       -1.6296662216       -0.1068290103
       -1.6278374635       -0.0648829828
       -1.6275145835       -0.0219748280
       -1.7605752366        0.1570790000
       -1.7242258961        0.1283451369
       -1.8004793638        0.1570790000
       -1.6923293720        0.1070647728
       -1.6610239656        0.0841017216
       -1.6274573794        0.0216256623
       -1.5977464710       -0.1281820673
       -1.6277044816        0.0647171916
       -1.5948930904       -0.0866540417
       -1.5940744967       -0.0441302908
       -1.5938397908       -0.0002789332
       -1.7206711094        0.1570790000
       -1.6807669821        0.1570790000
       -1.6609004609        0.1228967065
       -1.6295677277        0.1070754693
