 VARIABLES = "X",  "Y"
 ZONE N=        6834 , E=       13361 , F=FEPOINT, ET=QUADRILATERAL
       -1.9611245512       -1.1894683633
       -2.0000000000       -1.1902072343
       -1.9043526702       -1.1971438355
       -2.0000000000       -1.1304144685
       -1.9330681465       -1.1381723694
       -1.8411894317       -1.2002360351
       -1.8660230993       -1.1422973902
       -1.9534707931       -1.0807916604
       -1.8906478626       -1.0854878434
       -2.0000000000       -1.0706217028
       -1.8001567150       -1.1451429224
       -1.7747759636       -1.2016476609
       -1.8273573187       -1.0892293516
       -1.9138430370       -1.0270017825
       -1.9686647691       -1.0167583072
       -1.8527813952       -1.0336248827
       -2.0000000000       -1.0108289371
       -1.7282382993       -1.1468232061
       -1.7632163595       -1.0918227787
       -1.6958094878       -1.2055616835
       -1.7919769884       -1.0379718469
       -1.9395913719       -0.9690260525
       -1.8789186350       -0.9774671911
       -2.0000000000       -0.9510361714
       -1.8176223380       -0.9838783494
       -1.6591494002       -1.1451393987
       -1.7009416135       -1.0916244740
       -1.7330826141       -1.0410579838
       -1.7579701655       -0.9888720813
       -1.9592415912       -0.9201960296
       -1.9062439669       -0.9229642833
       -1.8443369161       -0.9290459210
       -1.6364944935       -1.2043855175
       -1.7828917950       -0.9352312286
       -2.0000000000       -0.8912434056
       -1.5918113177       -1.1754237489
       -1.6445055929       -1.0715830227
       -1.6846522862       -1.0408458800
       -1.6990953252       -0.9943782814
       -1.7226320049       -0.9413410921
       -1.9449512607       -0.8665956135
       -1.8727705926       -0.8741566912
       -1.8093834750       -0.8803617071
       -1.5961880766       -1.1063162008
       -1.7481202334       -0.8867487020
       -2.0000000000       -0.8314506399
       -1.5441570215       -1.1348431854
       -1.5357307765       -1.1978898628
       -1.6459597111       -1.0060936446
       -1.5499185993       -1.0825839167
       -1.5857950048       -1.0380054431
       -1.6604348674       -0.9499428855
       -1.6877234357       -0.8933846351
       -1.9571981916       -0.8104684014
       -1.8997412347       -0.8196305933
       -1.8349474507       -0.8257163843
       -1.7737830581       -0.8316796035
       -1.7142222043       -0.8378644597
       -2.0000000000       -0.7716578742
       -1.4892207847       -1.1508506769
       -1.5001129265       -1.0943985712
       -1.4792907614       -1.2060902359
       -1.5993245527       -0.9562953070
       -1.5175878269       -1.0428297199
       -1.6277452942       -0.9018223862
       -1.6569080279       -0.8432652308
       -1.9299476144       -0.7683510894
       -1.8605618592       -0.7720378972
       -1.7972548164       -0.7765169463
       -1.7391370916       -0.7832582603
       -1.5363985875       -0.9870292344
       -1.6840945756       -0.7888792542
       -1.9517200504       -0.7185625811
       -1.4307046616       -1.1645030460
       -1.4437001838       -1.1073765010
       -1.4595368119       -1.0531899949
       -1.4236196576       -1.2140459666
       -1.5446230928       -0.9351309640
       -1.4768295960       -0.9995199617
       -1.5726665829       -0.8995763710
       -1.5978161042       -0.8459476866
       -1.6260516533       -0.7906784751
       -1.8856341173       -0.7191222825
       -2.0000000000       -0.7118651084
       -1.8196160126       -0.7225085298
       -1.7568871810       -0.7245451499
       -1.7107582282       -0.7404512591
       -1.4941760446       -0.9449552838
       -1.6576056595       -0.7357055144
       -1.9096031533       -0.6642190651
       -1.9674774310       -0.6562154801
       -1.3708123428       -1.1919370851
       -1.3851629940       -1.1233228182
       -1.4015682318       -1.0649740784
       -1.4187431369       -1.0096851578
       -1.5148883500       -0.8964931416
       -1.4373552128       -0.9545029886
       -1.5397384815       -0.8468497827
       -1.5658533685       -0.7937877668
       -1.5939120696       -0.7389178950
       -1.8450103978       -0.6691049773
       -2.0000000000       -0.6520723427
       -1.7764882640       -0.6729549188
       -1.7085466859       -0.6722415699
       -1.4584223386       -0.9019416805
       -1.6243462189       -0.6805842166
       -1.8728865170       -0.6148483344
       -1.9372511128       -0.6076710438
       -2.0000000000       -0.5922795770
       -1.3073339391       -1.1990205890
       -1.3273342286       -1.1364723776
       -1.3435903106       -1.0764120815
       -1.3608359890       -1.0194220461
       -1.3797333564       -0.9637766711
       -1.4813243703       -0.8499224194
       -1.4007356288       -0.9095586864
       -1.5061364828       -0.7974405115
       -1.5319487358       -0.7436192662
       -1.5581396481       -0.6877370858
       -1.8084046403       -0.6213503032
       -1.7525302295       -0.6288000250
       -1.6466283149       -0.6195985539
       -1.4232286908       -0.8557066557
       -1.5821748719       -0.6318624495
       -1.9022677294       -0.5604083513
       -1.8364987388       -0.5660386576
       -1.9580544845       -0.5594477667
       -1.7085388153       -0.5866897877
       -1.2469256022       -1.2026417948
       -1.2673807014       -1.1430772117
       -1.2849085920       -1.0854179236
       -1.3015287018       -1.0277744719
       -1.3198093617       -0.9715499764
       -1.3417720535       -0.9177756381
       -1.4469252401       -0.8023991655
       -1.3648253287       -0.8625952804
       -1.4714880765       -0.7488635194
       -1.4962083029       -0.6940441060
       -1.5202251703       -0.6398330565
       -1.7707588852       -0.5740377107
       -2.0000000000       -0.5324868113
       -1.6018526999       -0.5787363672
       -1.6526410063       -0.5684192509
       -1.3882094388       -0.8084842237
       -1.5428021348       -0.5867201479
       -1.9430554468       -0.5047087867
       -1.8674100500       -0.5089863631
       -1.8005132301       -0.5169937752
       -1.7361508713       -0.5286933944
       -1.6804748510       -0.5297148216
       -1.1883097603       -1.2036444304
       -1.2086335009       -1.1489266097
       -1.2271517149       -1.0930530854
       -1.2410201713       -1.0351045898
       -1.2594961434       -0.9792443683
       -1.2829604857       -0.9261505027
       -1.3065594622       -0.8697649243
       -1.4119419315       -0.7546676588
       -1.3298724912       -0.8151058549
       -1.4357749644       -0.7002499575
       -1.4598187751       -0.6465499578
       -1.4828506411       -0.5932630379
       -2.0000000000       -0.4726940455
       -1.6215989077       -0.5283374652
       -1.5640720896       -0.5335959629
       -1.3531469412       -0.7609151109
       -1.5050083979       -0.5395781121
       -1.8944354647       -0.4516888606
       -1.8298079367       -0.4551880774
       -1.7652541097       -0.4666419261
       -1.9564497056       -0.4493697240
       -1.7041699885       -0.4739164416
       -1.6452076960       -0.4769489799
       -1.1299652591       -1.2027757756
       -1.1514399785       -1.1539039897
       -1.1714258112       -1.1013954368
       -1.1884210869       -1.0471264133
       -1.1967590266       -0.9892869259
       -1.2249053057       -0.9322329687
       -1.2488647985       -0.8761860375
       -1.2723632883       -0.8216564298
       -1.3762594684       -0.7064364554
       -1.2952298340       -0.7674192469
       -1.3995329568       -0.6531213202
       -1.4228755766       -0.5986272183
       -1.4448532623       -0.5449250384
       -2.0000000000       -0.4129012798
       -1.5860642637       -0.4806430715
       -1.5268178128       -0.4855487544
