 VARIABLES = "X",  "Y"
 ZONE N=        6885 , E=       13377 , F=FEPOINT, ET=QUADRILATERAL
        0.9680203897       -0.2600796433
       -0.0020791968        0.0005472117
        3.0000000000       -1.2500000000
       -2.0000000000       -1.2500000000
        3.0000000000        1.2500000000
       -2.0000000000        1.2500000000
        0.9132721010       -0.2330926941
        0.8586552036       -0.2107966283
        0.8038898997       -0.1889626651
        0.7489564550       -0.1675565796
        0.6938585631       -0.1465765700
        0.6385919982       -0.1260417849
        0.5831448361       -0.1059937958
        0.5274971483       -0.0865000993
        0.4716210867       -0.0676577250
        0.4154805677       -0.0495999479
        0.3590315759       -0.0325068147
        0.3022340913       -0.0166261374
        0.2452107490       -0.0023435503
        0.1899546483        0.0094558238
        0.1430847836        0.0173722460
        0.1111044394        0.0212788723
        0.0873092760        0.0231133260
        0.0684480572        0.0236868721
        0.0531515882        0.0233695477
        0.0395263796        0.0222542249
        0.0272189926        0.0202349780
        0.0157537106        0.0168932493
        0.0051698368        0.0110735102
       -0.0009165819       -0.0125336159
        0.0057517021       -0.0231841462
        0.0146166035       -0.0321739561
        0.0250834088       -0.0404933591
        0.0377400089       -0.0489651937
        0.0534137284       -0.0580726612
        0.0743375664       -0.0687438606
        0.1024178293       -0.0813278689
        0.1424944048       -0.0970106936
        0.1945136318       -0.1146818209
        0.2517157577       -0.1316838142
        0.3101807025       -0.1471548295
        0.3690587151       -0.1612616578
        0.4281866525       -0.1742657176
        0.4874982462       -0.1863732742
        0.5469516486       -0.1977387353
        0.6065183196       -0.2084754240
        0.6661790787       -0.2186626623
        0.7259217102       -0.2283500646
        0.7857392749       -0.2375608205
        0.8456289371       -0.2462935405
        0.9056010688       -0.2545251719
        2.9398194532       -1.2500000000
        2.8796389064       -1.2500000000
        2.8194583596       -1.2500000000
        2.7592778127       -1.2500000000
        2.6990972659       -1.2500000000
        2.6389167191       -1.2500000000
        2.5787361723       -1.2500000000
        2.5185556255       -1.2500000000
        2.4583750787       -1.2500000000
        2.3981945319       -1.2500000000
        2.3380139850       -1.2500000000
        2.2778334382       -1.2500000000
        2.2176528914       -1.2500000000
        2.1574723446       -1.2500000000
        2.0972917978       -1.2500000000
        2.0371112510       -1.2500000000
        1.9769307041       -1.2500000000
        1.9167501573       -1.2500000000
        1.8565696105       -1.2500000000
        1.7963890637       -1.2500000000
        1.7362085169       -1.2500000000
        1.6760279701       -1.2500000000
        1.6158474233       -1.2500000000
        1.5556668764       -1.2500000000
        1.4954863296       -1.2500000000
        1.4353057828       -1.2500000000
        1.3751252360       -1.2500000000
        1.3149446892       -1.2500000000
        1.2547641424       -1.2500000000
        1.1945835956       -1.2500000000
        1.1344030487       -1.2500000000
        1.0742225019       -1.2500000000
        1.0140419551       -1.2500000000
        0.9538614083       -1.2500000000
        0.8936808615       -1.2500000000
        0.8335003147       -1.2500000000
        0.7733197678       -1.2500000000
        0.7131392210       -1.2500000000
        0.6529586742       -1.2500000000
        0.5927781274       -1.2500000000
        0.5325975806       -1.2500000000
        0.4724170338       -1.2500000000
        0.4122365292       -1.2500000000
        0.3520570337       -1.2500000000
        0.2918843096       -1.2500000000
        0.2317426242       -1.2500000000
        0.1717110376       -1.2500000000
        0.1119447110       -1.2500000000
        0.0526371224       -1.2500000000
       -0.0060801888       -1.2500000000
       -0.0642161669       -1.2500000000
       -0.1218807201       -1.2500000000
       -0.1792019050       -1.2500000000
       -0.2362866529       -1.2500000000
       -0.2933083056       -1.2500000000
       -0.3505374414       -1.2500000000
       -0.4078293830       -1.2500000000
       -0.4646660104       -1.2500000000
       -0.5209927459       -1.2500000000
       -0.5776071521       -1.2500000000
       -0.6343023802       -1.2500000000
       -0.6912596048       -1.2500000000
       -0.7482179495       -1.2500000000
       -0.8052894772       -1.2500000000
       -0.8622731897       -1.2500000000
       -0.9197321324       -1.2500000000
       -0.9781697805       -1.2500000000
       -1.0374734597       -1.2500000000
       -1.0973533888       -1.2500000000
       -1.1574779846       -1.2500000000
       -1.2176530949       -1.2500000000
       -1.2778334382       -1.2500000000
       -1.3380139850       -1.2500000000
       -1.3981945319       -1.2500000000
       -1.4583750787       -1.2500000000
       -1.5185556255       -1.2500000000
       -1.5787361723       -1.2500000000
       -1.6389167191       -1.2500000000
       -1.6990972659       -1.2500000000
       -1.7592778127       -1.2500000000
       -1.8194583596       -1.2500000000
       -1.8796389064       -1.2500000000
       -1.9398194532       -1.2500000000
        3.0000000000        1.1904761905
        3.0000000000        1.1309523810
        3.0000000000        1.0714285714
        3.0000000000        1.0119047619
        3.0000000000        0.9523809524
        3.0000000000        0.8928571429
        3.0000000000        0.8333333333
        3.0000000000        0.7738095238
        3.0000000000        0.7142857143
        3.0000000000        0.6547619048
        3.0000000000        0.5952380952
