 VARIABLES = "X",  "Y"
 ZONE N=        1720 , E=        3288 , F=FEPOINT, ET=QUADRILATERAL
       -2.0000000000       -1.1904761905
       -1.9130175758       -1.1842722810
       -1.9545604337       -1.1502087696
       -1.8499260395       -1.2051400232
       -1.9039703422       -1.1308522233
       -2.0000000000       -1.1309523810
       -1.8515431119       -1.1593703392
       -1.9531668965       -1.0997989491
       -1.7906530260       -1.1863820431
       -1.8477490876       -1.0981243922
       -1.9000036697       -1.0680810022
       -2.0000000000       -1.0714285714
       -1.7925979679       -1.1317139894
       -1.9510226991       -1.0405868036
       -1.7311437958       -1.2035519573
       -1.7346507791       -1.1582174809
       -1.7931080782       -1.0662356760
       -1.8461849157       -1.0356783248
       -1.8990245429       -1.0064328221
       -2.0000000000       -1.0119047619
       -1.7392118345       -1.0970725508
       -1.9435583006       -0.9801168138
       -1.6793793943       -1.1809558488
       -1.6858385976       -1.1290557388
       -1.7405608577       -1.0343675093
       -1.7929439877       -1.0039895815
       -1.8454441356       -0.9749923826
       -1.8985811831       -0.9488258446
       -2.0000000000       -0.9523809524
       -1.6883175020       -1.0656734770
       -1.9503820916       -0.9223556610
       -1.6078549769       -1.1853712853
       -1.6393065211       -1.1485069796
       -1.6367164295       -1.0975582145
       -1.6891647924       -1.0035890162
       -1.7407232888       -0.9729752410
       -1.7925152363       -0.9434303587
       -1.8447672162       -0.9153377770
       -1.8975254139       -0.8884421701
       -2.0000000000       -0.8928571429
       -1.6376869552       -1.0351356193
       -1.9514863313       -0.8621834079
       -1.5502638324       -1.1851391769
       -1.5820823965       -1.1407709736
       -1.5856590830       -1.0683489206
       -1.6381670683       -0.9734470112
       -1.6892071695       -0.9427784764
       -1.7403894299       -0.9128364148
       -1.7919425657       -0.8838066653
       -1.8441351800       -0.8558207922
       -1.8973200828       -0.8288068470
       -2.0000000000       -0.8333333333
       -1.5870439133       -1.0047397951
       -1.9517003233       -0.8025383449
       -1.4824259991       -1.1811983417
       -1.5245894866       -1.1492057587
       -1.5330189065       -1.0982540057
       -1.5357836118       -1.0359222804
       -1.6380428449       -0.9131350218
       -1.5873111391       -0.9436130756
       -1.6888311304       -0.8830543878
       -1.7398471355       -0.8535052752
       -1.7913443119       -0.8246528770
       -1.8436616875       -0.7966422363
       -1.8971183790       -0.7695048289
       -2.0000000000       -0.7738095238
       -1.5365631140       -0.9743093249
       -1.9517743454       -0.7430524236
       -1.4284766595       -1.2074288688
       -1.4830388464       -1.1303459837
       -1.4850097413       -1.0671810753
       -1.4859018833       -1.0051867543
       -1.5870226135       -0.8838189151
       -1.6375918576       -0.8537695054
       -1.5364824165       -0.9140522027
       -1.6882742676       -0.8239861420
       -1.7392421408       -0.7945912908
       -1.7907753885       -0.7657566076
       -1.8432322767       -0.7376524126
       -1.8969094479       -0.7103341601
       -2.0000000000       -0.7142857143
       -1.4363135190       -1.1607073683
       -1.4859625305       -0.9444475366
       -1.9518339725       -0.6836188710
       -1.3814011367       -1.2030489252
       -1.4351635464       -1.0995110326
       -1.4354726792       -1.0366582934
       -1.4354917678       -0.9751381928
       -1.5864983576       -0.8247519840
       -1.5360364953       -0.8547236646
       -1.6370090668       -0.7948977098
       -1.4855900852       -0.8847929730
       -1.6876598589       -0.7652266372
       -1.7386346593       -0.7358608399
       -1.7902328624       -0.7069758228
       -1.8428261732       -0.6787423426
       -1.8967108045       -0.6512112397
       -2.0000000000       -0.6547619048
       -1.3845694084       -1.1356921643
       -1.4351540437       -0.9150003576
       -1.9519011975       -0.6242027301
       -1.3339339317       -1.1799526456
       -1.3850514800       -1.0695942602
       -1.3850437857       -1.0064271577
       -1.3847220411       -0.9454568119
       -1.5858918428       -0.7660163085
       -1.5354553818       -0.7958758227
       -1.4850371388       -0.8257858817
       -1.6363863194       -0.7362312988
       -1.4346241014       -0.8557541052
       -1.6870366319       -0.7065854764
       -1.7380390016       -0.6771988364
       -1.7897099263       -0.6482388027
       -1.8424370375       -0.6198613236
       -1.8965241983       -0.5921043155
       -2.0000000000       -0.5952380952
       -1.2856027868       -1.2026343213
       -1.3345090325       -1.1043805713
       -1.3842109967       -0.8858196643
       -1.9519776374       -0.5647922269
       -1.2841783073       -1.1359869228
       -1.3345731970       -1.0384341391
       -1.3342860465       -0.9762513638
       -1.3337956346       -0.9160352942
       -1.5852626842       -0.7074028362
       -1.5348326077       -0.7372252826
       -1.4844228900       -0.7670749264
       -1.4340186379       -0.7969471952
       -1.6357561245       -0.6776341882
       -1.3836148731       -0.8268532997
       -1.6864171463       -0.6479821494
       -1.7374537168       -0.6185589700
       -1.7891990665       -0.5895163352
       -1.8420584870       -0.5609896473
       -1.8963462304       -0.5330021921
       -2.0000000000       -0.5357142857
       -1.2326769131       -1.1614839088
       -1.2380415051       -1.2076252796
       -1.2841812084       -1.0701556891
       -1.3332099405       -0.8568166842
       -1.9520617559       -0.5053835237
       -1.2340735342       -1.1003660015
       -1.2838943389       -1.0072198905
       -1.2833975316       -0.9464113016
       -1.2828097564       -0.8868629353
       -1.5341995270       -0.6786396899
       -1.5846291827       -0.6488258991
       -1.4837917274       -0.7084713590
       -1.4333899208       -0.7383124281
       -1.3829892739       -0.7681639850
       -1.6351264415       -0.6190563401
       -1.3325883585       -0.7980338406
       -1.6858016972       -0.5893891874
       -1.7368743418       -0.5599254561
       -1.7886944604       -0.5307981076
       -1.8416858671       -0.5021205102
       -1.8961741688       -0.4739012549
       -2.0000000000       -0.4761904762
       -1.1857082591       -1.1308284042
       -1.1847645012       -1.1858081295
       -1.2337243553       -1.0380158464
       -1.2821883861       -0.8279355173
       -1.9521524024       -0.4459754641
       -1.1842424638       -1.0687963971
       -1.2330945123       -0.9769027368
       -1.2324417010       -0.9170132600
       -1.2317973649       -0.8578881932
       -1.5335645566       -0.6200713498
       -1.4831568378       -0.6498990545
       -1.5839954561       -0.5902578792
       -1.4327555116       -0.6797319696
       -1.3823556350       -0.7095681487
       -1.3319559071       -0.7394092479
       -1.6344979311       -0.5604829899
       -1.2815563312       -0.7692599697
       -1.6851884309       -0.5307987166
       -1.7362977227       -0.5012935315
       -1.7881929566       -0.4720808624
       -1.8413168780       -0.4432518186
       -1.8960067256       -0.4148004589
       -2.0000000000       -0.4166666667
       -1.1434789398       -1.1499259675
