 VARIABLES = "X",  "Y"
 ZONE N=        1720 , E=        3288 , F=FEPOINT, ET=QUADRILATERAL
        0.0000000000       -1.2500000000
       -2.0000000000       -1.2500000000
        0.0000000000        1.2500000000
       -2.0000000000        1.2500000000
       -0.0606060606       -1.2500000000
       -0.1212121212       -1.2500000000
       -0.1818181818       -1.2500000000
       -0.2424242424       -1.2500000000
       -0.3030303030       -1.2500000000
       -0.3636363636       -1.2500000000
       -0.4242424242       -1.2500000000
       -0.4848484848       -1.2500000000
       -0.5454545455       -1.2500000000
       -0.6060606061       -1.2500000000
       -0.6666666667       -1.2500000000
       -0.7272727273       -1.2500000000
       -0.7878787879       -1.2500000000
       -0.8484848485       -1.2500000000
       -0.9090909091       -1.2500000000
       -0.9696969697       -1.2500000000
       -1.0303030303       -1.2500000000
       -1.0909090909       -1.2500000000
       -1.1515151515       -1.2500000000
       -1.2121212121       -1.2500000000
       -1.2727272727       -1.2500000000
       -1.3333333333       -1.2500000000
       -1.3939393939       -1.2500000000
       -1.4545454545       -1.2500000000
       -1.5151515152       -1.2500000000
       -1.5757575758       -1.2500000000
       -1.6363636364       -1.2500000000
       -1.6969696970       -1.2500000000
       -1.7575757576       -1.2500000000
       -1.8181818182       -1.2500000000
       -1.8787878788       -1.2500000000
       -1.9393939394       -1.2500000000
        0.0000000000        1.1904761905
        0.0000000000        1.1309523810
        0.0000000000        1.0714285714
        0.0000000000        1.0119047619
        0.0000000000        0.9523809524
        0.0000000000        0.8928571429
        0.0000000000        0.8333333333
        0.0000000000        0.7738095238
        0.0000000000        0.7142857143
        0.0000000000        0.6547619048
        0.0000000000        0.5952380952
        0.0000000000        0.5357142857
        0.0000000000        0.4761904762
        0.0000000000        0.4166666667
        0.0000000000        0.3571428571
        0.0000000000        0.2976190476
        0.0000000000        0.2380952381
        0.0000000000        0.1785714286
        0.0000000000        0.1190476190
        0.0000000000        0.0595238095
        0.0000000000       -0.0000000000
        0.0000000000       -0.0595238095
        0.0000000000       -0.1190476190
        0.0000000000       -0.1785714286
        0.0000000000       -0.2380952381
        0.0000000000       -0.2976190476
        0.0000000000       -0.3571428571
        0.0000000000       -0.4166666667
        0.0000000000       -0.4761904762
        0.0000000000       -0.5357142857
        0.0000000000       -0.5952380952
        0.0000000000       -0.6547619048
        0.0000000000       -0.7142857143
        0.0000000000       -0.7738095238
        0.0000000000       -0.8333333333
        0.0000000000       -0.8928571429
        0.0000000000       -0.9523809524
        0.0000000000       -1.0119047619
        0.0000000000       -1.0714285714
        0.0000000000       -1.1309523810
        0.0000000000       -1.1904761905
       -1.9393939394        1.2500000000
       -1.8787878788        1.2500000000
       -1.8181818182        1.2500000000
       -1.7575757576        1.2500000000
       -1.6969696970        1.2500000000
       -1.6363636364        1.2500000000
       -1.5757575758        1.2500000000
       -1.5151515152        1.2500000000
       -1.4545454545        1.2500000000
       -1.3939393939        1.2500000000
       -1.3333333333        1.2500000000
       -1.2727272727        1.2500000000
       -1.2121212121        1.2500000000
       -1.1515151515        1.2500000000
       -1.0909090909        1.2500000000
       -1.0303030303        1.2500000000
       -0.9696969697        1.2500000000
       -0.9090909091        1.2500000000
       -0.8484848485        1.2500000000
       -0.7878787879        1.2500000000
       -0.7272727273        1.2500000000
       -0.6666666667        1.2500000000
       -0.6060606061        1.2500000000
       -0.5454545455        1.2500000000
       -0.4848484848        1.2500000000
       -0.4242424242        1.2500000000
       -0.3636363636        1.2500000000
       -0.3030303030        1.2500000000
       -0.2424242424        1.2500000000
       -0.1818181818        1.2500000000
       -0.1212121212        1.2500000000
       -0.0606060606        1.2500000000
       -2.0000000000       -1.1904761905
       -2.0000000000       -1.1309523810
       -2.0000000000       -1.0714285714
       -2.0000000000       -1.0119047619
       -2.0000000000       -0.9523809524
       -2.0000000000       -0.8928571429
       -2.0000000000       -0.8333333333
       -2.0000000000       -0.7738095238
       -2.0000000000       -0.7142857143
       -2.0000000000       -0.6547619048
       -2.0000000000       -0.5952380952
       -2.0000000000       -0.5357142857
       -2.0000000000       -0.4761904762
       -2.0000000000       -0.4166666667
       -2.0000000000       -0.3571428571
       -2.0000000000       -0.2976190476
       -2.0000000000       -0.2380952381
       -2.0000000000       -0.1785714286
       -2.0000000000       -0.1190476190
       -2.0000000000       -0.0595238095
       -2.0000000000        0.0000000000
       -2.0000000000        0.0595238095
       -2.0000000000        0.1190476190
       -2.0000000000        0.1785714286
       -2.0000000000        0.2380952381
       -2.0000000000        0.2976190476
       -2.0000000000        0.3571428571
       -2.0000000000        0.4166666667
       -2.0000000000        0.4761904762
       -2.0000000000        0.5357142857
       -2.0000000000        0.5952380952
       -2.0000000000        0.6547619048
       -2.0000000000        0.7142857143
       -2.0000000000        0.7738095238
       -2.0000000000        0.8333333333
       -2.0000000000        0.8928571429
       -2.0000000000        0.9523809524
       -2.0000000000        1.0119047619
       -2.0000000000        1.0714285714
       -2.0000000000        1.1309523810
       -2.0000000000        1.1904761905
       -0.6320682709       -1.2179338990
       -1.6393065211       -1.1485069796
       -1.8214654798        1.2165646397
       -0.0418965540        1.2094193107
       -1.9545604337       -1.1502087696
       -1.5722330830        1.1540787033
       -1.5237636916        1.1442695322
       -1.5197001758        1.0852511782
       -1.6187093025        1.1438812962
       -1.5699163373        1.1107913297
       -1.3696419379        0.4617037047
       -1.9519011975       -0.6242027301
       -1.8967108045       -0.6512112397
       -1.8424370375       -0.6198613236
       -1.7897099263       -0.6482388027
       -1.8428261732       -0.6787423426
       -1.7386346593       -0.7358608399
       -1.7902328624       -0.7069758228
       -1.9518339725       -0.6836188710
       -1.9517743454       -0.7430524236
       -1.9517003233       -0.8025383449
       -1.8969094479       -0.7103341601
       -1.8971183790       -0.7695048289
       -1.9514863313       -0.8621834079
       -1.8973200828       -0.8288068470
       -1.8432322767       -0.7376524126
       -1.7907753885       -0.7657566076
       -1.8436616875       -0.7966422363
       -1.0049069637        1.2103387088
       -0.8177939278       -0.1006998764
       -0.7667605342       -0.0719681455
       -0.6646906554       -0.0145061430
       -0.7157257162       -0.0432370523
       -1.6870366319       -0.7065854764
       -1.9039703422       -1.1308522233
       -1.9531668965       -1.0997989491
       -1.9435583006       -0.9801168138
       -1.9510226991       -1.0405868036
       -1.9503820916       -0.9223556610
       -1.8985811831       -0.9488258446
       -1.8990245429       -1.0064328221
       -1.8975254139       -0.8884421701
       -1.8441351800       -0.8558207922
       -1.7919425657       -0.8838066653
       -1.8447672162       -0.9153377770
       -1.7925152363       -0.9434303587
       -1.8515431119       -1.1593703392
       -1.8454441356       -0.9749923826
       -1.9000036697       -1.0680810022
       -1.8461849157       -1.0356783248
       -1.8477490876       -1.0981243922
       -1.7931080782       -1.0662356760
       -1.7913443119       -0.8246528770
       -1.7925979679       -1.1317139894
       -1.7346507791       -1.1582174809
       -1.6858385976       -1.1290557388
       -1.7392118345       -1.0970725508
       -1.7929439877       -1.0039895815
       -1.6883175020       -1.0656734770
       -1.7405608577       -1.0343675093
       -1.7407232888       -0.9729752410
       -1.6892071695       -0.9427784764
       -1.7392421408       -0.7945912908
       -1.7403894299       -0.9128364148
       -1.7398471355       -0.8535052752
       -1.6876598589       -0.7652266372
       -1.6888311304       -0.8830543878
       -1.6882742676       -0.8239861420
       -1.6891647924       -1.0035890162
       -1.6367164295       -1.0975582145
       -1.6376869552       -1.0351356193
       -1.5820823965       -1.1407709736
       -1.1434789398       -1.1499259675
       -1.1857082591       -1.1308284042
       -1.4855900852       -0.8847929730
       -1.4825213260       -0.5913340932
       -1.4831568378       -0.6498990545
       -1.4837917274       -0.7084713590
       -1.5335645566       -0.6200713498
       -1.5341995270       -0.6786396899
       -1.5348326077       -0.7372252826
       -1.4844228900       -0.7670749264
       -1.4850371388       -0.8257858817
       -1.5354553818       -0.7958758227
       -1.5846291827       -0.6488258991
       -1.6357561245       -0.6776341882
       -1.5852626842       -0.7074028362
       -1.6363863194       -0.7362312988
       -1.5858918428       -0.7660163085
       -1.6370090668       -0.7948977098
       -1.5864983576       -0.8247519840
       -1.5360364953       -0.8547236646
       -1.2340735342       -1.1003660015
       -1.0582738521       -1.1927828401
       -1.1165641918       -1.1913138829
       -1.1847645012       -1.1858081295
       -1.2380415051       -1.2076252796
       -1.2326769131       -1.1614839088
       -0.0712064629       -1.2097778490
       -0.2720026199       -1.2068968439
       -0.2274373778       -1.1879543746
       -0.1800348370       -1.2182379900
       -0.1702091490       -1.1541037024
       -0.2707622977       -1.1492877213
       -0.1645693451       -1.0891212208
