 VARIABLES = "X",  "Y"
 ZONE N=         892 , E=        1662 , F=FEPOINT, ET=QUADRILATERAL
        0.0000000000       -1.1904761905
        0.0612551912       -1.1927116715
        0.0000000000       -1.1309523810
        0.0777208435       -1.1391894608
        0.1337728701       -1.2002330717
        0.0492468093       -1.0860428470
        0.0000000000       -1.0714285714
        0.1178655408       -1.0877595042
        0.1558118771       -1.1438055462
        0.1991378299       -1.2024608106
        0.0402858317       -1.0374722972
        0.0881405815       -1.0344970299
        0.0000000000       -1.0119047619
        0.1509260906       -1.0349582352
        0.1845955391       -1.0893281583
        0.2216875202       -1.1454613483
        0.2605594420       -1.2031979303
        0.0506425226       -0.9804357939
        0.1187047728       -0.9809432911
        0.0000000000       -0.9523809524
        0.1815402934       -0.9825608506
        0.2136907326       -1.0358450899
        0.2474855826       -1.0901502655
        0.2832426738       -1.1460571608
        0.3203373796       -1.2034750570
        0.0891371480       -0.9240374075
        0.0440917173       -0.9215284937
        0.1504154682       -0.9295213346
        0.0000000000       -0.8928571429
        0.2116287246       -0.9313374250
        0.2427455170       -0.9834768544
        0.2746843818       -1.0363475222
        0.3080198357       -1.0904736050
        0.3430232239       -1.1462536285
        0.3794672560       -1.2036030380
        0.1192442927       -0.8783125706
        0.0621104210       -0.8747950409
        0.1807152853       -0.8799035821
        0.0000000000       -0.8333333333
        0.2413024934       -0.8807305080
        0.2718915490       -0.9320398507
        0.3027301782       -0.9838478592
        0.3343804296       -1.0365131521
        0.3673921928       -1.0905460267
        0.4020938795       -1.1463025413
        0.4383616551       -1.2036831850
        0.1497483779       -0.8294679412
        0.1005299244       -0.8329062142
        0.0571040285       -0.8046601391
        0.2104427183       -0.8297386704
        0.0000000000       -0.7738095238
        0.2708649137       -0.8301484790
        0.3011205785       -0.8810891269
        0.3313458522       -0.9322565850
        0.3619358509       -0.9839159344
        0.3934023315       -1.0364979364
        0.4262806826       -1.0905124588
        0.4609123731       -1.1463001634
        0.4971822229       -1.2037480453
        0.1078092613       -0.7769394850
        0.1782230581       -0.7785094761
        0.0572599162       -0.7479270878
        0.2403188385       -0.7792474360
        0.0000000000       -0.7142857143
        0.3004767745       -0.7795292951
        0.3304266204       -0.8303034114
        0.3603027015       -0.8811583301
        0.3902971571       -0.9322420739
        0.4207521065       -0.9838420739
        0.4521476736       -1.0364044614
        0.4850054071       -1.0904378598
        0.5196612107       -1.1462773936
        0.5559884992       -1.2038042519
        0.1493694618       -0.7268116162
        0.2099993712       -0.7283609195
        0.1000748685       -0.7205485987
        0.0621035305       -0.6805845650
        0.2704440676       -0.7288067289
        0.0000000000       -0.6547619048
        0.3300412646       -0.7288806447
        0.3597632078       -0.7795562029
        0.3894299893       -0.8302721026
