 VARIABLES = "X",  "Y"
 ZONE N=        2146 , E=        4122 , F=FEPOINT, ET=QUADRILATERAL
        0.5000000000       -1.2500000000
       -2.0000000000       -1.2500000000
        0.5000000000        1.2500000000
       -2.0000000000        1.2500000000
        0.4404761905       -1.2500000000
        0.3809523810       -1.2500000000
        0.3214285714       -1.2500000000
        0.2619047619       -1.2500000000
        0.2023809524       -1.2500000000
        0.1428571429       -1.2500000000
        0.0833333333       -1.2500000000
        0.0238095238       -1.2500000000
       -0.0357142857       -1.2500000000
       -0.0952380952       -1.2500000000
       -0.1547619048       -1.2500000000
       -0.2142857143       -1.2500000000
       -0.2738095238       -1.2500000000
       -0.3333333333       -1.2500000000
       -0.3928571429       -1.2500000000
       -0.4523809524       -1.2500000000
       -0.5119047619       -1.2500000000
       -0.5714285714       -1.2500000000
       -0.6309523810       -1.2500000000
       -0.6904761905       -1.2500000000
       -0.7500000000       -1.2500000000
       -0.8095238095       -1.2500000000
       -0.8690476190       -1.2500000000
       -0.9285714286       -1.2500000000
       -0.9880952381       -1.2500000000
       -1.0476190476       -1.2500000000
       -1.1071428571       -1.2500000000
       -1.1666666667       -1.2500000000
       -1.2261904762       -1.2500000000
       -1.2857142857       -1.2500000000
       -1.3452380952       -1.2500000000
       -1.4047619048       -1.2500000000
       -1.4642857143       -1.2500000000
       -1.5238095238       -1.2500000000
       -1.5833333333       -1.2500000000
       -1.6428571429       -1.2500000000
       -1.7023809524       -1.2500000000
       -1.7619047619       -1.2500000000
       -1.8214285714       -1.2500000000
       -1.8809523810       -1.2500000000
       -1.9404761905       -1.2500000000
        0.5000000000        1.1904761905
        0.5000000000        1.1309523810
        0.5000000000        1.0714285714
        0.5000000000        1.0119047619
        0.5000000000        0.9523809524
        0.5000000000        0.8928571429
        0.5000000000        0.8333333333
        0.5000000000        0.7738095238
        0.5000000000        0.7142857143
        0.5000000000        0.6547619048
        0.5000000000        0.5952380952
        0.5000000000        0.5357142857
        0.5000000000        0.4761904762
        0.5000000000        0.4166666667
        0.5000000000        0.3571428571
        0.5000000000        0.2976190476
        0.5000000000        0.2380952381
        0.5000000000        0.1785714286
        0.5000000000        0.1190476190
        0.5000000000        0.0595238095
        0.5000000000       -0.0000000000
        0.5000000000       -0.0595238095
        0.5000000000       -0.1190476190
        0.5000000000       -0.1785714286
        0.5000000000       -0.2380952381
        0.5000000000       -0.2976190476
        0.5000000000       -0.3571428571
        0.5000000000       -0.4166666667
        0.5000000000       -0.4761904762
        0.5000000000       -0.5357142857
        0.5000000000       -0.5952380952
        0.5000000000       -0.6547619048
        0.5000000000       -0.7142857143
        0.5000000000       -0.7738095238
        0.5000000000       -0.8333333333
        0.5000000000       -0.8928571429
        0.5000000000       -0.9523809524
        0.5000000000       -1.0119047619
        0.5000000000       -1.0714285714
        0.5000000000       -1.1309523810
        0.5000000000       -1.1904761905
       -1.9404761905        1.2500000000
       -1.8809523810        1.2500000000
       -1.8214285714        1.2500000000
       -1.7619047619        1.2500000000
