 VARIABLES = "X",  "Y"
 ZONE N=        3377 , E=        6486 , F=FEPOINT, ET=QUADRILATERAL
        0.0121170998       -1.2307705703
        0.0000000000       -1.2299204123
        0.0000000000       -1.2098408246
        0.0218505483       -1.2144102112
        0.0308943250       -1.2317386223
        0.0141327573       -1.1980721521
        0.0321466605       -1.1981475959
        0.0000000000       -1.1897612368
        0.0412330278       -1.2150815895
        0.0504128919       -1.2320513956
        0.0187855680       -1.1795563394
        0.0426488534       -1.1809793547
        0.0518417942       -1.1983150421
        0.0000000000       -1.1696816491
        0.0609353959       -1.2153443271
        0.0701946481       -1.2322185221
        0.0342387976       -1.1635358108
        0.0153886451       -1.1588914474
        0.0535218876       -1.1645078887
        0.0622372361       -1.1814607166
        0.0714160891       -1.1985452769
        0.0000000000       -1.1496020614
        0.0806737061       -1.2155211229
        0.0900283982       -1.2323482763
        0.0292003043       -1.1484430448
        0.0448972062       -1.1479325492
        0.0153664609       -1.1387725900
        0.0636294406       -1.1475645246
        0.0727560131       -1.1645292151
        0.0818829652       -1.1815858873
        0.0911500601       -1.1986616506
        0.0000000000       -1.1295224737
        0.1004904964       -1.2156325108
        0.1098856872       -1.2324466784
        0.0342217463       -1.1326406758
        0.0536248790       -1.1307989790
        0.0187563852       -1.1177550500
        0.0730308881       -1.1303637668
        0.0828360448       -1.1474007857
        0.0922508252       -1.1644991515
        0.1015935532       -1.1816284316
        0.1109532850       -1.1987266793
        0.0000000000       -1.1094428860
        0.1203354928       -1.2157039064
        0.1297449745       -1.2325212573
        0.0426205826       -1.1145728884
        0.0626267194       -1.1135041832
        0.0133260028       -1.0985756583
        0.0316311461       -1.0973864221
        0.0826338142       -1.1132162207
        0.0926934245       -1.1302522378
        0.1024276134       -1.1473554865
        0.1119467987       -1.1645002385
        0.1213787224       -1.1816602318
        0.1307806828       -1.1987700118
        0.0000000000       -1.0893632983
        0.1401791405       -1.2157524899
        0.1495985995       -1.2325820754
        0.0522750825       -1.0965358200
        0.0723967966       -1.0962015423
        0.0185447564       -1.0792197018
        0.0418028896       -1.0791040111
        0.0926332118       -1.0961290942
        0.1026673189       -1.1131751897
        0.1125372702       -1.1302510676
        0.1222097086       -1.1473701126
        0.1317410944       -1.1645280661
        0.1411930364       -1.1816948094
        0.1506067797       -1.1988046542
        0.0000000000       -1.0692837105
        0.1600150398       -1.2157908031
        0.1694488436       -1.2326374329
        0.0622151472       -1.0790737248
        0.0825894585       -1.0790765788
        0.0318569932       -1.0608592928
        0.0135210737       -1.0598869628
        0.0525307067       -1.0616406699
        0.1128515485       -1.0961565511
        0.1029378201       -1.0791115709
        0.1227116750       -1.1132138061
        0.1324462424       -1.1302968304
        0.1420521655       -1.1474176842
        0.1515615436       -1.1645746393
        0.1610098783       -1.1817352765
        0.1704288598       -1.1988382260
        0.0000000000       -1.0492041228
        0.1798495176       -1.2158268494
        0.1893006826       -1.2326917999
        0.0727617220       -1.0619515103
        0.0931060180       -1.0620619642
        0.0192426049       -1.0407029873
        0.0430374624       -1.0436943785
        0.0632747261       -1.0446879849
        0.1329893334       -1.0962294721
        0.1232024619       -1.0791815910
        0.1134207052       -1.0621402180
        0.1427132662       -1.1132889263
        0.1523476806       -1.1303711772
        0.1618983416       -1.1474879310
        0.1713846908       -1.1646357142
        0.1808290371       -1.1817826612
        0.1902554981       -1.1988744148
        0.0000000000       -1.0291245351
        0.1996902052       -1.2158640252
        0.2091572470       -1.2327464980
        0.0834947585       -1.0449844735
        0.1037311815       -1.0451009972
        0.0347158696       -1.0257559785
        0.0545303821       -1.0274583160
        0.0162274954       -1.0195265739
        0.0742097500       -1.0278893035
        0.1530301102       -1.0963342926
        0.1433483153       -1.0792874062
        0.1336409932       -1.0622454866
        0.1239521533       -1.0452091056
        0.1626587942       -1.1133908388
        0.1722275704       -1.1304680755
        0.1817424941       -1.1475755428
        0.1912149134       -1.1647080153
        0.2006592614       -1.1818362834
        0.2100939162       -1.1989139832
        0.0000000000       -1.0090449474
        0.2195404114       -1.2159030943
        0.2290189072       -1.2328016886
        0.0941842093       -1.0280563533
        0.1143137112       -1.0281767886
        0.0293011164       -1.0098991032
        0.0461454122       -1.0104444772
        0.0650543950       -1.0107649119
        0.0168728893       -0.9997637826
        0.0846771254       -1.0109830081
        0.1730011448       -1.0964656166
        0.1633923257       -1.0794253874
        0.1537542840       -1.0623884693
        0.1441055573       -1.0453544988
        0.1344641514       -1.0283245488
        0.1825713711       -1.1135147434
        0.1921019202       -1.1305824251
        0.2015962960       -1.1476756063
        0.2110608712       -1.1647882873
        0.2205056858       -1.1818949533
        0.2299456188       -1.1989571697
        0.0000000000       -0.9889653597
        0.2393992402       -1.2159448708
        0.2488843184       -1.2328580676
        0.1046885230       -1.0111371859
        0.1248226397       -1.0112956632
        0.0349489605       -0.9938687715
        0.0549899875       -0.9936490801
        0.0748135113       -0.9938892658
        0.0214631202       -0.9787941425
        0.0949207017       -0.9940879805
        0.1833808440       -1.0795877775
        0.1929447472       -1.0966165950
        0.1737931580       -1.0625621687
        0.1641892268       -1.0455378197
        0.1545779762       -1.0285147500
        0.1449610777       -1.0114919781
        0.2024810055       -1.1136541356
        0.2119886693       -1.1307081984
        0.2214689966       -1.1477836558
        0.2309260077       -1.1648745061
        0.2403679504       -1.1819590799
        0.2498082455       -1.1990061183
        0.0000000000       -0.9688857720
        0.2592640557       -1.2159921037
        0.2687517955       -1.2329175098
        0.1151225158       -0.9942642376
        0.1353208229       -0.9944664791
        0.0433081697       -0.9773516473
        0.0643344827       -0.9770743674
        0.0848487596       -0.9771112714
        0.0161796317       -0.9606289515
        0.1052776020       -0.9772456107
        0.1938037222       -1.0627540637
        0.2033582649       -1.0797638706
        0.2128943468       -1.0967778809
        0.1842354398       -1.0457457038
        0.1746586328       -1.0287373369
        0.1650766979       -1.0117272055
        0.1554871298       -0.9947118619
        0.2224083827       -1.1138010741
        0.2318982838       -1.1308397029
        0.2413642293       -1.1478971337
        0.2508098691       -1.1649675189
        0.2602436236       -1.1820324296
        0.2696790720       -1.1990663290
        0.0339948617       -0.9612463708
        0.0000000000       -0.9488061842
        0.2791329412       -1.2160500779
        0.2886203981       -1.2329824353
        0.1256200322       -0.9774365948
        0.1458791397       -0.9776858253
        0.0539062132       -0.9604811134
        0.0745794300       -0.9602329583
        0.0952652596       -0.9602485144
        0.0238269648       -0.9442706641
        0.1158265372       -0.9603975168
        0.2042789066       -1.0459622224
        0.2138215229       -1.0629499928
        0.2233538011       -1.0799411130
        0.2328702990       -1.0969388445
        0.1947308366       -1.0289753205
        0.1851813118       -1.0119866548
        0.1756327391       -0.9949922228
        0.1660857804       -0.9779855191
        0.2423658139       -1.1139478535
        0.2518370315       -1.1309732338
        0.2612842219       -1.1480168488
        0.2707124189       -1.1650723487
        0.2801319413       -1.1821231172
        0.2895576919       -1.1991470273
        0.0438578680       -0.9436094869
        0.0137818419       -0.9274365422
        0.2990062855       -1.2161262679
        0.3084906100       -1.2330538218
        0.1362373254       -0.9606399802
        0.1565397297       -0.9609568782
        0.0643267608       -0.9432905473
        0.0851442749       -0.9432258370
        0.1059350625       -0.9433288906
        0.0337949054       -0.9264163196
        0.0000000000       -0.9287265965
        0.1265485285       -0.9435585502
        0.2148151974       -1.0292115691
        0.2243421137       -1.0461713716
        0.2338676144       -1.0631350532
        0.2433855077       -1.0801063141
        0.2528871490       -1.0970893429
        0.2052913477       -1.0122519277
        0.1957749116       -0.9952883297
        0.1862707705       -0.9783141485
        0.1767869074       -0.9613196945
        0.2623641526       -1.1140889630
        0.2718122852       -1.1311089458
        0.2812336845       -1.1481486261
        0.2906369014       -1.1651993984
        0.3000356378       -1.1822440512
        0.3094466373       -1.1992607834
        0.0541456603       -0.9261843707
        0.0233652107       -0.9088079821
        0.0000000000       -0.9086470088
        0.3188863987       -1.2162300366
        0.3283642181       -1.2331292915
        0.1469918397       -0.9438915274
        0.1673325660       -0.9442932275
        0.0749884046       -0.9261289174
        0.0959644459       -0.9262083689
        0.1168052868       -0.9264242685
        0.0439560937       -0.9089109064
        0.1374370667       -0.9267698092
        0.2349242883       -1.0294269406
        0.2254199597       -1.0125019766
        0.2444378862       -1.0463554805
        0.2539569796       -1.0632934835
        0.2634703332       -1.0802467094
        0.2729613441       -1.0972216917
        0.2159286821       -0.9955748584
        0.2064576990       -0.9786400740
        0.1970179713       -0.9616868578
        0.1876321869       -0.9447052200
        0.2824169693       -1.1142237630
        0.2918341831       -1.1312538317
        0.3012202987       -1.1483059160
        0.3105895318       -1.1653660069
        0.3199593645       -1.1824132227
        0.3293480116       -1.1994229487
        0.0648495201       -0.9089593423
        0.0342688257       -0.8914210960
        0.0139890224       -0.8900883322
        0.3387741044       -1.2163721460
        0.3482080601       -1.2332097806
        0.1579126368       -0.9272141667
        0.1783184757       -0.9276881494
        0.0859467446       -0.9090366859
        0.1070045870       -0.9092309039
        0.1278658406       -0.9095737645
        0.0548756443       -0.8917467108
        0.0000000000       -0.8885674203
        0.1485303118       -0.9100511925
        0.2550689422       -1.0295939330
        0.2455826789       -1.0127055597
        0.2361158924       -0.9958164426
        0.2645812254       -1.0464916016
        0.2741122035       -1.0634062360
        0.2836335490       -1.0803491996
        0.2931141609       -1.0973325451
        0.2266754320       -0.9789180488
        0.2172755122       -0.9620050078
        0.2079366354       -0.9450587231
        0.1987180477       -0.9280807066
        0.3025389889       -1.1143606864
        0.3119126287       -1.1314265746
        0.3212514507       -1.1485134701
        0.3305754385       -1.1655981289
        0.3399041912       -1.1826537290
        0.3492573561       -1.1996533760
        0.0759382556       -0.8918360519
        0.0451494483       -0.8745777155
        0.0245638335       -0.8738378742
        0.0000000000       -0.8684877634
        0.3586013307       -1.2165412784
        0.3680762623       -1.2333556018
        0.1690827914       -0.9105996505
        0.1896279066       -0.9110915512
        0.0971455304       -0.8919863236
        0.1182550115       -0.8922932877
        0.1391760712       -0.8927702858
        0.0659941324       -0.8746395508
        0.1599487331       -0.8933776073
        0.2752686048       -1.0296734104
        0.2657966545       -1.0128130883
        0.2563725959       -0.9959600860
        0.2469660567       -0.9790919371
        0.2848084262       -1.0465452009
        0.2943784095       -1.0634436261
        0.3039125562       -1.0803975649
        0.3133671367       -1.0974265227
        0.2376128297       -0.9621974566
        0.2283267277       -0.9452869403
        0.2191380286       -0.9283100939
        0.2102252888       -0.9113109645
        0.3227401711       -1.1145241017
        0.3320525449       -1.1316630968
        0.3413293113       -1.1488098768
        0.3505927518       -1.1659307044
        0.3598623674       -1.1829937235
        0.3691018495       -1.1999380599
        0.0872181173       -0.8747038583
        0.0560967701       -0.8574908412
        0.0360097146       -0.8577241808
