 VARIABLES = "X",  "Y"
 ZONE N=        6424 , E=       12496 , F=FEPOINT, ET=QUADRILATERAL
       -2.0000000000       -1.1901307642
       -1.9471070084       -1.1665741561
       -2.0000000000       -1.1302615284
       -1.8908380577       -1.1968381601
       -1.9473490013       -1.1041397428
       -1.8974983695       -1.1279298944
       -2.0000000000       -1.0703922926
       -1.8400387501       -1.1540500104
       -1.8273117794       -1.2147832480
       -1.9492465383       -1.0399998146
       -1.8970696800       -1.0698418549
       -1.8486813554       -1.0915314292
       -2.0000000000       -1.0105230567
       -1.7801443079       -1.1800038614
       -1.7959034613       -1.1118045718
       -1.8981715216       -1.0068168890
       -1.9503156886       -0.9785396853
       -1.8466014342       -1.0357838002
       -1.8059251902       -1.0595135376
       -2.0000000000       -0.9506538209
       -1.7238666782       -1.1951068348
       -1.7409708936       -1.1268535314
       -1.7602395006       -1.0615840721
       -1.9001278084       -0.9447092882
       -1.8459920480       -0.9728835870
       -1.9512513315       -0.9184129683
       -1.7849593178       -1.0068642961
       -2.0000000000       -0.8907845851
       -1.6658323141       -1.1993588835
       -1.6841868667       -1.1381595127
       -1.7030760470       -1.0751631732
       -1.7253882517       -1.0137560386
       -1.9034502151       -0.8844953723
       -1.8516141191       -0.9088490329
       -1.7957306618       -0.9350365604
       -1.9532813648       -0.8587813762
       -1.7376181154       -0.9572284294
       -2.0000000000       -0.8309153493
       -1.6095062994       -1.2019864241
       -1.6275275124       -1.1473422968
       -1.6448861826       -1.0871389415
       -1.6633778566       -1.0263172347
       -1.6830277318       -0.9668159245
       -1.9087470520       -0.8257818571
       -1.8585055840       -0.8478400839
       -1.8055348891       -0.8705068373
       -1.7506504945       -0.8928122746
       -1.9544906755       -0.8012907831
       -1.6955212645       -0.9116774657
       -2.0000000000       -0.7710461135
       -1.5614749343       -1.2072993396
       -1.5743015521       -1.1584117869
       -1.5884016473       -1.0992802097
       -1.6037718513       -1.0384703845
       -1.6207194851       -0.9774016582
       -1.6418051677       -0.9214976285
       -1.9143997115       -0.7753368998
       -1.8693743601       -0.7873774235
       -1.8151370880       -0.8090370748
       -1.7615368244       -0.8307299835
       -1.7082240733       -0.8515898199
       -1.9503223204       -0.7420037739
       -1.6570544459       -0.8696243504
       -2.0000000000       -0.7111768777
       -1.5237870765       -1.1795804676
       -1.5334641943       -1.1145742062
       -1.5463741605       -1.0520411249
       -1.5596383230       -0.9893318509
       -1.5746936020       -0.9221532180
       -1.6115519313       -0.8825626450
       -1.8921806098       -0.7221581316
       -1.8277434836       -0.7457877952
       -1.7710589383       -0.7696436369
