       np1       np2       ns1       ns2        ne
       320      4300       316      8282         4
 Edge number           1
         2         1       949
         3         2       813
         4         3       727
         5         4       650
         6         5       572
         7         6       503
         8         7       413
         9         8       383
        10         9       329
        11        10       258
        12        11       216
        13        12       178
        14        13       146
        15        14       118
        16        15        92
        17        16        72
        18        17        54
        19        18        39
        20        19        26
        21        20        15
        22        21         7
        23        22         1
 Edge number           2
        25        24      5667
        26        25      5421
        27        26      5261
        28        27      5106
        29        28      4955
        30        29      4803
        31        30      4650
        32        31      4501
        33        32      4357
        34        33      4209
        35        34      3996
        36        35      3862
        37        36      3730
        38        37      3603
        39        38      3480
        40        39      3356
        41        40      3233
        42        41      3116
        43        42      3002
        44        43      2888
        45        44      2776
        46        45      2669
        47        46      2523
        48        47      2473
        49        48      2325
        50        49      2226
        51        50      2127
        52        51      2028
        53        52      1930
        54        53      1834
        55        54      1736
        56        55      1642
        57        56      1549
        58        57      1456
        59        58      1322
        60        59      1233
        61        60      1185
        62        61      1139
        63        62      1045
        64        63       998
        65        64       997
        66        65       950
        67        66       949
 Edge number           3
        69        68      8008
        70        69      7828
        71        70      7710
        72        71      7605
        73        72      7498
        74        73      7374
        75        74      7252
        76        75      7129
        77        76      6995
        78        77      6861
        79        78      6721
        80        79      6650
        81        80      6505
        82        81      6359
        83        82      6202
        84        83      6050
        85        84      5897
        86        85      5818
        87        86      5739
        88        87      5659
        89        88      5668
        90        89      5667
 Edge number           4
        92        91         1
        93        92         3
        94        93         8
        95        94        16
        96        95        27
        97        96        40
        98        97        55
        99        98        74
       100        99        94
       101       100       120
       102       101       148
       103       102       180
       104       103       217
       105       104       259
       106       105       304
       107       106       336
       108       107       388
       109       108       419
       110       109       447
       111       110       448
       112       111       509
       113       112       577
       114       113       617
       115       114       628
       116       115       702
       117       116       742
       118       117       785
       119       118       828
       120       119       872
       121       120       964
       122       121      1055
       123       122      1100
       124       123      1099
       125       124      1191
       126       125      1237
       127       126      1282
       128       127      1281
       129       128      1370
       130       129      1429
       131       130      1475
       132       131      1521
       133       132      1614
       134       133      1707
       135       134      1804
       136       135      1853
       137       136      1902
       138       137      1950
       139       138      1999
       140       139      2048
       141       140      2098
       142       141      2141
       143       142      2142
       144       143      2236
       145       144      2284
       146       145      2337
       147       146      2433
       148       147      2482
       149       148      2531
       150       149      2535
       151       150      2630
       152       151      2731
       153       152      2841
       154       153      2897
       155       154      2965
       156       155      3079
       157       156      3131
       158       157      3188
       159       158      3308
       160       159      3368
       161       160      3369
       162       161      3431
       163       162      3436
       164       163      3556
       165       164      3618
       166       165      3745
       167       166      3811
       168       167      3817
       169       168      3949
       170       169      4016
       171       170      4155
       172       171      4227
       173       172      4301
       174       173      4302
       175       174      4396
       176       175      4468
       177       176      4539
       178       177      4540
       179       178      4614
       180       179      4687
       181       180      4763
       182       181      4837
       183       182      4838
       184       183      4839
       185       184      4911
       186       185      4912
       187       186      4913
       188       187      4986
       189       188      5062
       190       189      5136
       191       190      5137
       192       191      5289
       193       192      5371
       194       193      5450
       195       194      5532
       196       195      5613
       197       196      5614
       198       197      5615
       199       198      5718
       200       199      5787
       201       200      5788
       202       201      5865
       203       202      5866
       204       203      5943
       205       204      5944
       206       205      6022
       207       206      6098
       208       207      6170
       209       208      6245
       210       209      6322
       211       210      6323
       212       211      6324
       213       212      6326
       214       213      6327
       215       214      6400
       216       215      6403
       217       216      6546
       218       217      6617
       219       218      6618
       220       219      6688
       221       220      6689
       222       221      6690
       223       222      6762
       224       223      6829
       225       224      6830
       226       225      6833
       227       226      6834
       228       227      6968
       229       228      7034
       230       229      7043
       231       230      7108
       232       231      7107
       233       232      7106
       234       233      7109
       235       234      7110
       236       235      7174
       237       236      7235
       238       237      7236
       239       238      7295
       240       239      7296
       241       240      7358
       242       241      7419
       243       242      7481
       244       243      7482
       245       244      7483
       246       245      7484
       247       246      7485
       248       247      7486
       249       248      7492
       250       249      7491
       251       250      7490
       252       251      7489
       253       252      7544
       254       253      7598
       255       254      7599
       256       255      7650
       257       256      7651
       258       257      7704
       259       258      7761
       260       259      7819
       261       260      7880
       262       261      7881
       263       262      7939
       264       263      8000
       265       264      8057
       266       265      8058
       267       266      8059
       268       267      8060
       269       268      8103
       270       269      8104
       271       270      8141
       272       271      8142
       273       272      8177
       274       273      8210
       275       274      8238
       276       275      8253
       277       276      8254
       278       277      8269
       279       278      8273
       280       279      8274
       281       280      8275
       282       281      8280
       283       282      8282
       284       283      8281
       285       284      8278
       286       285      8259
       287       286      8258
       288       287      8257
       289       288      8261
       290       289      8260
       291       290      8243
       292       291      8223
       293       292      8222
       294       293      8221
       295       294      8224
       296       295      8225
       297       296      8226
       298       297      8228
       299       298      8227
       300       299      8211
       301       300      8181
       302       301      8180
       303       302      8179
       304       303      8148
       305       304      8111
       306       305      8070
       307       306      8068
       308       307      8021
       309       308      8020
       310       309      8018
       311       310      8017
       312       311      8016
       313       312      8014
       314       313      8013
       315       314      8012
       316       315      8011
       317       316      8010
       318       317      8015
       319       318      8009
       320       319      8008
 Face:           1
         2        25        89
        25      2769        89
        89      2769        90
        25      2759      2769
      2769      2837        90
      2759      2760      2769
        25        24      2759
        90      2837        91
      2769      2760      2837
      2759      2423      2760
        24      2423      2759
      2837      2863        91
      2760      2761      2837
      2423      2504      2760
        24        23      2423
        91      2863        92
      2837      2761      2863
      2761      2760      2504
      2423      2422      2504
        23      2069      2423
      2863      2879        92
      2761      2825      2863
      2761      2504      2632
      2504      2422      2631
      2069      2422      2423
        23        22      2069
        92      2879        93
      2863      2825      2879
      2761      2632      2825
      2504      2631      2632
      2069      2068      2422
        22      2068      2069
      2879      2880        93
      2825      2854      2879
      2632      2824      2825
      2824      2632      2631
      2422      1711      2631
      2422      2068      1711
        22        21      2068
        93      2880        94
      2879      2854      2880
