 VARIABLES = "X",  "Y"
 ZONE N=        4325 , E=        8328 , F=FEPOINT, ET=QUADRILATERAL
        0.0000000000       -1.2336765631
        0.0126208691       -1.2294490362
        0.0000000000       -1.2183172546
        0.0240403455       -1.2364528121
        0.0122048166       -1.2119652209
        0.0253478321       -1.2200662877
        0.0000000000       -1.2037482884
        0.0391283433       -1.2310003159
        0.0116383790       -1.1968750509
        0.0243369386       -1.2031919529
        0.0395349535       -1.2079678858
        0.0000000000       -1.1900743446
        0.0568191804       -1.2133559352
        0.0552608849       -1.2338493527
        0.0108383697       -1.1835949033
        0.0224535164       -1.1887299022
        0.0348882689       -1.1938917293
        0.0525232127       -1.1898820071
        0.0000000000       -1.1771033730
        0.0740091307       -1.2265476885
        0.0108932188       -1.1712658927
        0.0203971696       -1.1771786904
        0.0337318420       -1.1770043979
        0.0812885058       -1.1963146867
        0.0000000000       -1.1645376905
        0.0488033526       -1.1679967855
        0.0706001547       -1.1647938156
        0.1003939675       -1.2199310232
        0.0112853404       -1.1585953247
        0.0230909602       -1.1664289693
        0.0359217604       -1.1602053177
        0.0952423908       -1.1717257571
        0.1128235471       -1.1919477759
        0.0000000000       -1.1519779555
        0.0520445352       -1.1498029295
        0.0917593967       -1.1454267688
        0.1347441115       -1.2173210866
        0.0111502788       -1.1454897065
        0.0232131034       -1.1520253882
        0.0684304218       -1.1382776857
        0.0360520869       -1.1426906434
        0.1248717848       -1.1541822280
        0.1502056738       -1.1855731040
        0.0000000000       -1.1394101334
        0.0472946093       -1.1285903445
        0.1120165637       -1.1232004806
        0.1738687850       -1.2149758659
        0.0224655652       -1.1381220325
        0.0109484674       -1.1327009676
        0.0854727296       -1.1185338627
        0.0323836299       -1.1308352793
        0.1410639759       -1.1221464307
        0.1628260024       -1.1488070164
        0.1899376138       -1.1800877434
        0.0000000000       -1.1270001464
        0.0642654790       -1.1128408108
        0.0333355338       -1.1185124614
        0.1003502015       -1.1024533903
        0.1228118306       -1.0974856689
        0.2192003254       -1.2136133938
        0.0217160183       -1.1257346398
        0.0106279667       -1.1203659920
        0.0442694367       -1.1063334773
        0.0789404091       -1.0935778374
        0.1525288667       -1.0884725669
        0.1759200142       -1.1135264550
        0.2027296972       -1.1404203816
        0.2337543180       -1.1721044742
        0.0000000000       -1.1147245021
        0.0588780876       -1.0951236009
        0.0304959633       -1.1073331008
        0.0211652666       -1.1136964129
        0.1022433561       -1.0794314377
        0.1296435843       -1.0631936523
        0.2685659496       -1.2095312069
        0.0104297472       -1.1082535444
        0.0436548473       -1.0855480903
        0.0622172056       -1.0756631219
        0.0321875839       -1.0956206064
        0.0807499142       -1.0660280972
        0.1600871011       -1.0570664784
        0.1852240956       -1.0789290694
        0.2121048169       -1.1015948942
        0.2433371446       -1.1275701495
        0.2800757389       -1.1586426279
        0.0000000000       -1.1026538899
        0.0207514175       -1.1018323112
        0.1022670867       -1.0513840126
        0.1416716521       -1.0367967198
        0.3261396482       -1.1974623378
        0.0103061140       -1.0963137664
        0.0300050792       -1.0847231298
        0.0464698360       -1.0634701614
        0.0626026130       -1.0541556608
        0.0206948567       -1.0901489207
        0.0808935168       -1.0422990869
        0.1195721569       -1.0388935684
        0.1685465128       -1.0287939771
        0.1919370498       -1.0463053150
        0.2170645000       -1.0643933959
        0.2475519472       -1.0862952246
        0.2823785364       -1.1102072794
        0.3224127103       -1.1366876995
        0.0000000000       -1.0906703729
        0.0324073083       -1.0723864554
        0.1000313478       -1.0259846653
        0.1243866760       -1.0176475323
        0.1498761928       -1.0100560617
        0.3667204756       -1.1586153399
        0.3779476422       -1.2044388082
        0.0103273071       -1.0843910255
        0.0207150654       -1.0783236559
        0.0433541526       -1.0439763615
        0.0329638359       -1.0572695923
        0.0784524849       -1.0238324536
        0.0630535513       -1.0335677773
        0.1764507456       -1.0021551946
        0.1933405055       -1.0209293636
        0.2164168455       -1.0321673718
        0.2464455579       -1.0502076880
        0.2803816961       -1.0700096280
        0.3178278550       -1.0901626289
        0.3591981315       -1.1082306189
        0.0000000000       -1.0786947409
        0.0212318840       -1.0657813758
        0.0848283850       -1.0064701468
        0.1074186395       -1.0008557147
        0.1315342675       -0.9921338623
        0.1565933982       -0.9829983409
        0.3989186387       -1.1247559962
        0.4097956833       -1.1707704030
        0.4225911626       -1.2128492835
        0.0103299754       -1.0724042349
        0.0472328304       -1.0242073004
        0.0296797403       -1.0477493836
        0.0207290444       -1.0539043284
        0.0646916406       -1.0113202909
        0.2097940098       -0.9926176017
        0.1811288442       -0.9780781328
        0.2432872411       -1.0116793788
        0.2775958037       -1.0300879530
        0.3133553982       -1.0471595220
        0.3520328791       -1.0634568749
        0.3890997204       -1.0787092287
        0.0000000000       -1.0667601325
        0.0103603625       -1.0604730111
        0.0333181264       -1.0299931365
        0.0297139167       -1.0395565441
        0.0907618892       -0.9840055661
        0.0711238710       -0.9922415684
        0.1135367247       -0.9758234124
        0.1379834551       -0.9657555060
        0.1640610612       -0.9553566837
        0.4341517610       -1.0909281979
        0.4466018786       -1.1394189731
        0.4581907525       -1.1887062871
        0.0460224090       -1.0056026444
        0.0337139534       -1.0149890018
        0.0201399558       -1.0434704796
        0.0102335584       -1.0489654871
        0.0564158120       -0.9965688672
        0.1959000173       -0.9603745571
        0.2413113977       -0.9797189541
        0.2732714131       -0.9942041057
        0.3075055917       -1.0089718586
        0.3439511368       -1.0227602222
        0.3798912559       -1.0358313493
        0.4219992849       -1.0462491696
        0.5075412205       -1.2056182739
        0.0000000000       -1.0549395836
        0.0208811856       -1.0330793877
        0.0217041526       -1.0211707206
        0.0950192705       -0.9605195793
        0.0728304453       -0.9682254543
        0.0572407677       -0.9817260087
        0.1181015213       -0.9514829066
        0.1391370098       -0.9420404224
        0.2198997653       -0.9652125845
        0.1839598307       -0.9279143698
        0.4836993081       -1.1012300241
        0.4695793486       -1.0546986574
        0.4964915149       -1.1519748142
        0.0426324351       -0.9909159684
        0.0330774905       -1.0009831444
        0.0217225943       -1.0085645263
        0.0102884283       -1.0377797796
        0.0000000000       -1.0432785585
        0.1576839810       -0.9296137401
        0.2144570218       -0.9378854695
        0.2699218129       -0.9597966926
        0.2413956023       -0.9479457307
        0.3017382706       -0.9719798500
        0.3362726526       -0.9838847672
        0.3702275254       -0.9952059013
        0.4097790091       -1.0045479524
        0.4540854124       -1.0120147591
        0.5513225616       -1.1644302429
        0.5685854839       -1.2184235881
        0.0105243574       -1.0263368350
        0.0106874528       -1.0145855461
        0.0992695796       -0.9387385901
        0.0791636347       -0.9477397806
        0.0560585487       -0.9663536752
        0.0443089087       -0.9745613275
        0.1198615491       -0.9287280613
        0.1397902714       -0.9156473241
        0.1603150146       -0.9060251419
        0.2095190117       -0.9091315464
        0.5166234300       -1.0618013164
        0.5328221469       -1.1109706917
        0.5003101738       -1.0197164340
        0.0299940300       -0.9911881507
        0.0210004641       -0.9966823619
        0.0105686670       -1.0027786488
        0.0000000000       -1.0316913808
        0.0592909744       -0.9523624260
        0.0317902068       -0.9806548200
        0.2369394830       -0.9192119302
        0.1847911626       -0.8965401689
        0.2649791030       -0.9290658045
        0.2948875418       -0.9392315761
        0.3272968984       -0.9491925316
        0.3600862808       -0.9586769021
        0.3972201537       -0.9660664218
        0.4391315323       -0.9706244379
        0.4786752303       -0.9786861294
        0.6120842190       -1.1839195105
        0.5906239556       -1.1151841657
        0.0000000000       -1.0201141573
        0.0000000000       -1.0085306851
        0.0830168721       -0.9256208894
        0.1009605346       -0.9163263421
        0.0659398054       -0.9344912921
        0.0456135494       -0.9599739890
        0.0327195683       -0.9676534715
        0.1209855919       -0.9057637489
        0.1398617651       -0.8904966309
        0.1626176178       -0.8814253878
        0.2071511399       -0.8813087873
        0.2321043445       -0.8909973984
        0.5571201433       -1.0732631158
