 VARIABLES = "X",  "Y"
 ZONE N=        1720 , E=        3288 , F=FEPOINT, ET=QUADRILATERAL
        3.0000000000       -1.2500000000
        1.0000000000       -1.2500000000
        3.0000000000        1.2500000000
        1.0000000000        1.2500000000
        2.9393939394       -1.2500000000
        2.8787878788       -1.2500000000
        2.8181818182       -1.2500000000
        2.7575757576       -1.2500000000
        2.6969696970       -1.2500000000
        2.6363636364       -1.2500000000
        2.5757575758       -1.2500000000
        2.5151515152       -1.2500000000
        2.4545454545       -1.2500000000
        2.3939393939       -1.2500000000
        2.3333333333       -1.2500000000
        2.2727272727       -1.2500000000
        2.2121212121       -1.2500000000
        2.1515151515       -1.2500000000
        2.0909090909       -1.2500000000
        2.0303030303       -1.2500000000
        1.9696969697       -1.2500000000
        1.9090909091       -1.2500000000
        1.8484848485       -1.2500000000
        1.7878787879       -1.2500000000
        1.7272727273       -1.2500000000
        1.6666666667       -1.2500000000
        1.6060606061       -1.2500000000
        1.5454545455       -1.2500000000
        1.4848484848       -1.2500000000
        1.4242424242       -1.2500000000
        1.3636363636       -1.2500000000
        1.3030303030       -1.2500000000
        1.2424242424       -1.2500000000
        1.1818181818       -1.2500000000
        1.1212121212       -1.2500000000
        1.0606060606       -1.2500000000
        3.0000000000        1.1904761905
        3.0000000000        1.1309523810
        3.0000000000        1.0714285714
        3.0000000000        1.0119047619
        3.0000000000        0.9523809524
        3.0000000000        0.8928571429
        3.0000000000        0.8333333333
        3.0000000000        0.7738095238
        3.0000000000        0.7142857143
        3.0000000000        0.6547619048
        3.0000000000        0.5952380952
        3.0000000000        0.5357142857
        3.0000000000        0.4761904762
        3.0000000000        0.4166666667
        3.0000000000        0.3571428571
        3.0000000000        0.2976190476
        3.0000000000        0.2380952381
        3.0000000000        0.1785714286
        3.0000000000        0.1190476190
        3.0000000000        0.0595238095
        3.0000000000       -0.0000000000
        3.0000000000       -0.0595238095
        3.0000000000       -0.1190476190
        3.0000000000       -0.1785714286
        3.0000000000       -0.2380952381
        3.0000000000       -0.2976190476
        3.0000000000       -0.3571428571
        3.0000000000       -0.4166666667
        3.0000000000       -0.4761904762
        3.0000000000       -0.5357142857
        3.0000000000       -0.5952380952
        3.0000000000       -0.6547619048
        3.0000000000       -0.7142857143
        3.0000000000       -0.7738095238
        3.0000000000       -0.8333333333
        3.0000000000       -0.8928571429
        3.0000000000       -0.9523809524
        3.0000000000       -1.0119047619
        3.0000000000       -1.0714285714
        3.0000000000       -1.1309523810
        3.0000000000       -1.1904761905
        1.0606060606        1.2500000000
        1.1212121212        1.2500000000
        1.1818181818        1.2500000000
        1.2424242424        1.2500000000
        1.3030303030        1.2500000000
        1.3636363636        1.2500000000
        1.4242424242        1.2500000000
        1.4848484848        1.2500000000
        1.5454545455        1.2500000000
        1.6060606061        1.2500000000
        1.6666666667        1.2500000000
        1.7272727273        1.2500000000
        1.7878787879        1.2500000000
        1.8484848485        1.2500000000
        1.9090909091        1.2500000000
        1.9696969697        1.2500000000
        2.0303030303        1.2500000000
        2.0909090909        1.2500000000
        2.1515151515        1.2500000000
        2.2121212121        1.2500000000
        2.2727272727        1.2500000000
        2.3333333333        1.2500000000
        2.3939393939        1.2500000000
        2.4545454545        1.2500000000
        2.5151515152        1.2500000000
        2.5757575758        1.2500000000
        2.6363636364        1.2500000000
        2.6969696970        1.2500000000
        2.7575757576        1.2500000000
        2.8181818182        1.2500000000
        2.8787878788        1.2500000000
        2.9393939394        1.2500000000
        1.0000000000       -1.1904761905
