       np1       np2       ns1       ns2        ne
        46        75        42       106         4
 Edge number           1
         2         1       104
         3         2        97
         4         3        90
         5         4        84
         6         5        81
         7         6        75
         8         7        69
         9         8        63
        10         9        57
        11        10        51
        12        11        45
        13        12        39
        14        13        33
        15        14        27
        16        15        21
        17        16        14
        18        17         6
        19        18         1
 Edge number           2
        21        20       106
        22        21       105
        23        22       104
 Edge number           3
        25        24        11
        26        25        12
        27        26        15
        28        27        20
        29        28        25
        30        29        34
        31        30        40
        32        31        46
        33        32        52
        34        33        58
        35        34        64
        36        35        70
        37        36        76
        38        37        82
        39        38        88
        40        39        94
        41        40        99
        42        41       106
 Edge number           4
        44        43         1
        45        44         4
        46        45        11
 Face:           1
         2        21        41
        41        21        75
        21        64        75
        41        75        42
        64        65        75
        21        20        64
        75        24        42
        75        65        24
        66        65        64
        20        66        64
        42        24         4
        65        25        24
        69        65        66
        19        66        20
        65        26        25
        66        72        69
        69        26        65
        19        72        66
        72        70        69
        69        27        26
        18        72        19
        70        27        69
        73        70        72
        18        73        72
        28        27        70
        68        70        73
        17        73        18
        68        28        70
        71        68        73
        73        17        71
        67        28        68
        67        68        71
        71        17        16
        29        28        67
        71        63        67
        71        16        63
        62        29        67
        62        67        63
        63        16        15
        30        29        62
        63        61        62
        63        15        61
        62        60        30
        61        60        62
        61        15        14
        60        31        30
        60        61        59
        59        61        14
        60        58        31
        59        58        60
        13        59        14
        58        32        31
        58        59        57
        57        59        13
        58        56        32
        57        56        58
        12        57        13
        56        33        32
        56        57        55
        55        57        12
        56        54        33
        55        54        56
        11        55        12
        54        34        33
        54        55        53
        53        55        11
        54        52        34
        53        52        54
        10        53        11
        52        35        34
        52        53        46
        46        53        10
        52        47        35
        46        47        52
         9        46        10
        47        36        35
        46        48        47
        44        46         9
        48        36        47
        44        48        46
         8        44         9
        48        37        36
        45        48        44
         7        44         8
        48        45        37
        49        45        44
         7        49        44
        45        38        37
        43        45        49
         6        49         7
        43        38        45
        50        43        49
         6        51        49
        43        39        38
        51        50        49
        50        39        43
         5        51         6
        51        74        50
        50        40        39
         5        74        51
        74        40        50
        74         5        23
        22        40        74
        23         5         1
        22        74        23
        22         3        40
 1d points
      1        1.000000000000000
      5        0.944444444444445
      6        0.888888888888889
      7        0.833333333333334
      8        0.777777777777778
      9        0.722222222222223
     10        0.666666666666667
     11        0.611111111111111
     12        0.555555555555555
     13        0.500000000000000
     14        0.444444444444444
     15        0.388888888888889
     16        0.333333333333333
     17        0.277777777777778
     18        0.222222222222222
     19        0.166666666666667
     20        0.111111111111111
     21        0.055555555555556
      2        0.000000000000000
      3        1.000000000000000
     22        0.666666666666667
     23        0.333333333333333
      1        0.000000000000000
      4        1.000000000000000
     24        0.944444444444445
     25        0.888888888888889
     26        0.833333333333333
     27        0.777777777777778
     28        0.722222222222222
     29        0.666666666666667
     30        0.611111111111111
     31        0.555555555555556
     32        0.500000000000000
     33        0.444444444444445
     34        0.388888888888889
     35        0.333333333333333
     36        0.277777777777777
     37        0.222222222222222
     38        0.166666666666666
     39        0.111111111111111
     40        0.055555555555555
      3        0.000000000000000
      2        1.000000000000000
     41        0.666666666666667
     42        0.333333333333333
      4        0.000000000000000
 2d points
        0.000000000000000       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -2.000000000000000       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
        0.000000000000000        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -2.000000000000000        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.111111111111110       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.222222222222221       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.333333333333332       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.444444444444444       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.555555555555555       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.666666666666666       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.777777777777778       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.888888888888889       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.000000000000000       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.111111111111112       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.222222222222223       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.333333333333334       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.444444444444445       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.555555555555556       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.666666666666667       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.777777777777778       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.888888888888890       -0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
        0.000000000000000        0.052359666666667        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
        0.000000000000000       -0.052359666666667        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.888888888888889        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.777777777777778        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.666666666666667        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.555555555555556        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.444444444444445        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.333333333333334        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.222222222222223        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.111111111111112        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.000000000000000        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.888888888888889        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.777777777777778        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.666666666666666        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.555555555555555        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.444444444444444        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.333333333333332        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.222222222222221        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.111111111111110        0.157079000000000        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -2.000000000000000       -0.052359666666667        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -2.000000000000000        0.052359666666667        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.294850800162347        0.073371100796485        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.443351423437828       -0.072517095159813        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.380816489982362        0.048619091417326        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.596055580427292       -0.033390961747274        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.605240350423897        0.082622390289558        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.509809718749709        0.050894710916553        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.310319584361072       -0.030787366794985        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.201114707705422        0.054237488571014        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.191004244341272       -0.058955016699884        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.703476616659653        0.079821941446214        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.723366325112734       -0.033937092961991        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.816641994226435        0.078591777039499        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.848217889639950       -0.035472851987233        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.930894015619572        0.077328857332045        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.962913930664802       -0.037195854348498        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
