 VARIABLES = "X",  "Y"
 ZONE N=        3413 , E=        6592 , F=FEPOINT, ET=QUADRILATERAL
        0.0000000000       -1.2198795181
        0.0256320120       -1.2123951458
        0.0481684711       -1.2274433876
        0.0000000000       -1.1897590361
        0.0501458698       -1.1979253126
        0.0250783293       -1.1784603867
        0.0757621984       -1.2213396716
        0.0000000000       -1.1596385542
        0.0505641711       -1.1650288231
        0.0760142681       -1.1836656188
        0.0251192022       -1.1470301659
        0.1016488997       -1.2003637001
        0.1032838480       -1.2287170358
        0.0000000000       -1.1295180723
        0.0763325454       -1.1508909409
        0.0508813359       -1.1336306479
        0.1017177145       -1.1677493990
        0.0252058308       -1.1164180665
        0.1268841407       -1.1843696440
        0.1260878594       -1.2172889797
        0.0000000000       -1.0993975904
        0.1020074243       -1.1363367026
        0.0766617197       -1.1198015161
        0.0511211127       -1.1030391328
        0.1272679582       -1.1527021049
        0.1517220387       -1.2317189292
        0.0252170167       -1.0861068941
        0.1526539566       -1.1689582954
        0.1523010155       -1.2006780585
        0.0000000000       -1.0692771084
        0.1023305327       -1.1057520759
        0.1275974405       -1.1219457957
        0.0769424966       -1.0893584272
        0.0512661423       -1.0727248559
        0.1529044471       -1.1380391841
        0.1782888516       -1.2173730521
        0.0251528246       -1.0558753804
        0.1784047905       -1.1542232684
        0.1784108548       -1.1852680580
        0.0000000000       -1.0391566265
        0.1279304115       -1.0916296455
        0.1026333217       -1.0754633711
        0.1531986590       -1.1076252532
        0.0771623642       -1.0590757635
        0.0513434440       -1.0424642108
        0.1785421797       -1.1235653508
        0.2048741057       -1.2016197166
        0.2008184982       -1.2272627330
        0.0250491782       -1.0256616040
        0.2040119085       -1.1396216382
        0.2041844897       -1.1708372428
        0.0000000000       -1.0090361446
        0.1535422126       -1.0774264804
        0.1282587613       -1.0614192645
        0.1029056365       -1.0452163601
        0.1788327612       -1.0932766824
        0.0773436199       -1.0288155285
        0.0513939948       -1.0122285515
        0.2041618536       -1.1090561962
        0.2297892443       -1.1886135047
        0.2291815132       -1.2188831841
        0.0249369710       -0.9954730934
        0.2295254487       -1.1559122496
        0.2295166031       -1.1248547067
        0.0000000000       -0.9789156627
        0.1539020386       -1.0472667272
        0.1792091576       -1.0631372854
        0.1285736858       -1.0312158473
        0.1031600104       -1.0149918749
        0.2045069943       -1.0788495273
        0.0775154655       -0.9986058339
        0.0514470576       -0.9820546188
        0.2297892532       -1.0944567625
        0.2552420870       -1.1719742261
        0.2565343370       -1.2023510831
        0.2572130871       -1.2258537230
        0.0248311490       -0.9653273335
        0.2548780653       -1.1406106429
        0.2550404364       -1.1099955977
        0.0000000000       -0.9487951807
        0.1796102612       -1.0330440030
        0.1542572060       -1.0171353632
        0.2049365810       -1.0487821228
        0.1288798388       -1.0010674283
        0.1034140542       -0.9848564825
        0.2302182329       -1.0643640832
        0.0776973640       -0.9684999653
        0.0515149720       -0.9519694666
        0.2554454889       -1.0798278918
        0.2799981408       -1.1560660692
        0.2806058975       -1.1873762049
        0.2845302840       -1.2168135841
        0.0247347599       -0.9352298815
        0.2801748801       -1.1254491180
        0.2805971298       -1.0952189428
        0.0000000000       -0.9186746988
        0.2053843340       -1.0187846025
        0.1800081297       -1.0030166029
        0.1546063119       -0.9870980644
        0.2307035112       -1.0343974866
        0.1291879024       -0.9710440149
        0.1036798974       -0.9548588391
        0.2559494615       -1.0498736432
        0.0778968273       -0.9385192076
        0.0515989813       -0.9219752141
        0.2811205399       -1.0652544957
        0.3050163525       -1.1407900897
        0.3044054405       -1.1708457216
        0.3038100508       -1.1964956923
        0.3223806301       -1.2171304076
        0.0246456141       -0.9051765385
        0.3056132324       -1.1105875947
        0.3062075742       -1.0805972557
        0.0000000000       -0.8885542169
        0.2311947272       -1.0045132269
        0.2058262392       -0.9888800692
        0.1803999158       -0.9731097316
        0.1549568141       -0.9572065076
        0.2564792128       -1.0200182136
        0.1295065757       -0.9411755713
        0.1039627409       -0.9250057881
        0.2816785905       -1.0354222799
        0.0781144069       -0.9086566689
        0.0516962866       -0.8920625771
        0.3068020225       -1.0507682278
        0.3293769745       -1.1565128540
        0.3304149847       -1.1260772585
        0.3274713627       -1.1875702989
        0.3494989016       -1.2267548572
        0.0245605188       -0.8751622213
        0.3311842624       -1.0959731458
        0.3318514123       -1.0661037498
        0.3508022106       -1.2027333066
        0.0000000000       -0.8584337349
        0.2570051552       -0.9902447938
        0.2316774376       -0.9747320287
        0.2062615951       -0.9591044925
        0.1807921974       -0.9433514109
        0.1553162838       -0.9274696839
        0.2822388146       -1.0056644347
        0.1298410128       -0.9114542407
        0.1042645187       -0.8952823117
        0.3073914980       -1.0210221153
        0.0783493629       -0.8789001145
        0.0518045310       -0.8622269131
        0.3324780512       -1.0363517697
        0.3534346447       -1.1726283413
        0.3550125911       -1.1417223258
        0.3560357880       -1.1114071552
        0.3778415463       -1.2200492164
        0.0244769139       -0.8451874347
        0.3568199653       -1.0814528178
        0.3575040828       -1.0516748564
        0.3782625467       -1.1891518054
        0.0000000000       -0.8283132530
        0.2575214989       -0.9605730687
        0.2827896935       -0.9759857609
        0.2321536380       -0.9450742940
        0.2066968873       -0.9294665683
        0.1811922025       -0.9137345415
        0.1556906834       -0.8978695722
        0.3079706456       -0.9913398792
        0.1301955764       -0.8818606336
        0.1045882790       -0.8656764811
        0.3330841533       -1.0066628806
        0.0786035334       -0.8492491371
        0.0519241127       -0.8324767735
        0.3581445666       -1.0219741555
        0.3796710283       -1.1573738420
        0.3808143685       -1.1268325871
        0.3817094375       -1.0967884804
        0.4032422486       -1.2025768798
        0.4059898820       -1.2277415890
        0.0243934932       -0.8152607254
        0.3824667939       -1.0669830580
        0.3831555062       -1.0372746392
        0.4045011554       -1.1725532572
        0.0000000000       -0.7981927711
        0.2833309075       -0.9464035344
        0.2580317319       -0.9310123901
        0.3085379968       -0.9617373512
        0.2326294417       -0.9155360200
        0.2071388913       -0.8999496364
        0.1816064859       -0.8842361307
        0.1560865553       -0.8683857678
        0.3336746318       -0.9770399842
        0.1305771915       -0.8523847044
        0.1049411959       -0.8361924089
        0.3587601991       -0.9923309473
        0.0788837013       -0.8197206522
        0.0520604833       -0.8028354423
        0.3838050041       -1.0076173054
        0.4056025326       -1.1420950887
        0.4065423434       -1.1120420153
        0.4073641543       -1.0822386802
        0.4288495326       -1.2178368544
        0.4296497383       -1.1872453843
        0.0243121035       -0.7853996338
        0.4081121118       -1.0525425868
        0.4088089819       -1.0228890969
        0.4305127451       -1.1571570983
        0.4546107264       -1.2318329783
        0.0000000000       -0.7680722892
        0.3090957119       -0.9322255505
        0.2838662876       -0.9169182120
        0.2585411475       -0.9015510488
        0.3342518365       -0.9474993770
        0.2331107810       -0.8860961166
        0.2075940328       -0.8705295185
        0.1820426100       -0.8548365470
        0.1565132697       -0.8390096458
        0.3593569243       -0.9627603228
        0.1309970183       -0.8230322108
        0.1053357179       -0.8068500604
        0.3844260011       -0.9780200272
        0.0792037460       -0.7903463547
        0.0522295451       -0.7733422019
        0.4094645489       -0.9932779703
        0.4313723915       -1.1271862209
        0.4322087627       -1.0974119828
        0.4330095959       -1.0677477610
        0.4551243219       -1.2022440606
        0.4556337160       -1.1721667206
        0.0242447600       -0.7556374611
        0.4337650605       -1.0381221998
        0.4344693022       -1.0085203045
        0.4562721085       -1.1422906129
        0.4809715307       -1.2175413388
        0.0000000000       -0.7379518072
        0.3348190936       -0.9180429189
        0.3096475414       -0.9027968789
        0.2844002147       -0.8875132644
        0.2590545918       -0.8721666294
        0.3599388003       -0.9332724239
        0.2336032222       -0.8567313760
        0.2080694335       -0.8411879869
        0.1825101020       -0.8255273305
        0.1569828937       -0.8097450048
        0.3850246595       -0.9484997227
        0.1314691655       -0.7938193643
        0.1057886382       -0.7776782674
        0.4100863162       -0.9637307315
        0.0795877813       -0.7611724048
        0.0524704222       -0.7440692870
        0.4351251605       -0.9789614262
        0.4570368025       -1.1125305908
        0.4578551305       -1.0828842638
        0.4586668989       -1.0532942049
        0.4810199413       -1.1873656841
        0.4812892233       -1.1575367133
        0.0242352384       -0.7260558306
        0.4594319163       -1.0237247058
        0.4601359270       -0.9941779604
        0.4818970952       -1.1277057851
        0.5067465930       -1.2024004220
        0.5035355471       -1.2268143820
        0.0000000000       -0.7078313253
        0.3605103546       -0.9038599814
        0.3353802711       -0.8886563605
        0.3101972080       -0.8734319039
        0.2849364963       -0.8581666568
        0.2595763729       -0.8428379644
        0.3856071846       -0.9190577608
        0.2341123368       -0.8274252237
        0.2085726612       -0.8119160085
        0.1830185603       -0.7963082204
        0.1575062194       -0.7805999624
        0.4106830415       -0.9342588490
        0.1320054669       -0.7647634429
        0.1063174912       -0.7487124605
        0.4357428754       -0.9494657917
        0.0800743311       -0.7322793856
        0.0528714895       -0.7151883730
        0.4607853184       -0.9646737120
        0.4826749588       -1.0980060531
        0.4835191290       -1.0684122059
        0.4843461872       -1.0388750118
        0.5063302859       -1.1730867211
        0.5068044533       -1.1430835168
        0.0244304255       -0.6969116415
        0.4851105381       -1.0093616441
        0.4858046140       -0.9798708777
        0.5075032218       -1.1132367445
        0.5305288714       -1.1891831519
        0.5307417919       -1.2182279567
        0.0000000000       -0.6777108434
        0.3861795201       -0.8896803119
        0.3610758617       -0.8745046252
        0.3359387701       -0.8593192112
        0.3107477216       -0.8441100588
        0.2854781969       -0.8288598018
        0.2601101415       -0.8135504145
        0.4112635002       -0.9048561497
        0.2346427164       -0.7981682881
        0.2091088372       -0.7827094442
        0.1835720552       -0.7671788874
        0.1580844183       -0.7515775578
        0.4363349772       -0.9200377409
        0.1326056123       -0.7358786181
        0.1069321850       -0.7200080251
        0.4613955862       -0.9352260228
        0.0807182020       -0.7038400170
        0.0536224934       -0.6871565920
        0.4864426693       -0.9504167948
        0.5083425081       -1.0835395960
        0.5092169873       -1.0539842715
        0.5100450137       -1.0245017870
        0.5316637638       -1.1587090646
        0.5323502203       -1.1287351736
        0.0253833501       -0.6692185981
        0.5107946243       -0.9950435108
        0.5114713865       -0.9656016736
        0.5331613645       -1.0987950152
        0.5516132512       -1.1986863268
        0.5570212340       -1.1743890576
        0.5625809118       -1.2214470453
        0.0305148626       -0.6481929883
        0.0000000000       -0.6475903614
        0.4118346976       -0.8755059124
        0.3867463077       -0.8603478680
        0.3616385667       -0.8451866572
        0.3364970534       -0.8300132123
        0.3113011811       -0.8148156301
        0.2860273409       -0.7995803023
        0.2606577922       -0.7842951012
        0.4369121155       -0.8906670024
        0.2351951933       -0.7689543190
        0.2096753485       -0.7535624340
        0.1841608528       -0.7381315808
        0.1586975301       -0.7226707156
        0.4619820596       -0.9058345805
        0.1332407044       -0.7071764180
        0.1076078527       -0.6916491010
        0.4870443032       -0.9210090737
        0.0815570893       -0.6761636183
        0.0551496940       -0.6610736800
        0.5120961576       -0.9361877696
        0.5340622389       -1.0691118311
        0.5349464740       -1.0396136995
        0.5357549947       -1.0101868878
        0.5572449986       -1.1446734572
        0.5579663800       -1.1142923720
        0.5364785840       -0.9807728667
        0.5371345963       -0.9513662568
        0.5588933972       -1.0843443432
        0.5803607186       -1.1907034845
        0.5815927271       -1.1613326665
        0.5935610477       -1.2226749226
        0.0254294277       -0.6269047105
        0.0552997610       -0.6362478930
        0.4374815302       -0.8613371722
        0.4124012659       -0.8461899692
        0.3873105704       -0.8310429955
        0.3622005241       -0.8158907035
        0.3370565758       -0.8007256219
        0.3118585673       -0.7855386293
        0.2865841333       -0.7703205652
        0.2612175629       -0.7550656467
        0.4625558569       -0.8764884459
        0.2357633553       -0.7397758108
        0.2102567086       -0.7244632493
        0.1847549195       -0.7091486791
        0.1592951473       -0.6938594290
        0.4876255392       -0.8916460227
        0.1338279014       -0.6786441684
        0.1081747408       -0.6636322128
        0.5126896794       -0.9068104153
        0.0820755084       -0.6491813738
        0.5377464023       -0.9219806944
        0.5598307092       -1.0547468503
        0.5606954280       -1.0253190500
        0.5614675592       -0.9959327734
        0.5825555033       -1.1299782061
        0.5836610831       -1.0997103545
        0.6057205531       -1.1718231978
        0.0000000000       -0.6174698795
        0.5621595718       -0.9665431533
        0.5627948142       -0.9371563212
        0.5847006523       -1.0699607204
        0.6122615864       -1.1979486966
        0.6068734950       -1.1450976101
        0.6247117290       -1.2241864732
        0.0244375181       -0.5991843900
        0.0540426884       -0.6101025266
        0.0820359376       -0.6221891371
        0.4631236362       -0.8471733813
        0.4380473993       -0.8320328215
        0.4129658316       -0.8168939224
        0.3878739831       -0.8017533985
        0.3627627734       -0.7866068665
        0.3376177934       -0.7714487867
        0.3124194028       -0.7562731252
        0.2871460567       -0.7410753151
        0.2617825382       -0.7258555568
        0.4881966525       -0.8623180021
        0.2363320001       -0.7106224285
        0.2108245433       -0.6953952297
        0.1853082491       -0.6802060127
        0.1598097663       -0.6651094350
        0.5132667026       -0.8774682731
        0.1342691888       -0.6502157707
        0.1084790816       -0.6357594341
        0.5383330342       -0.8926250296
        0.5633950398       -0.9077889494
        0.5856304287       -1.0404850477
        0.5864497062       -1.0111045702
        0.5871771680       -0.9817281262
        0.6082825827       -1.1150269365
        0.6095252365       -1.0852700880
        0.6288777660       -1.1799484725
        0.6299278776       -1.1580658587
        0.0000000000       -0.5873493976
        0.5878376048       -0.9523414562
        0.5884540064       -0.9229624285
        0.6105631905       -1.0557424358
        0.6435499787       -1.1996765416
        0.6324615925       -1.1301443724
        0.6562483940       -1.2230967516
        0.0241766478       -0.5700425489
        0.0535392388       -0.5820486715
        0.0816680057       -0.5944860217
        0.1085204454       -0.6077318128
        0.4887632459       -0.8330133975
        0.4636888503       -0.8178770215
        0.4386118289       -0.8027426499
        0.4135296853       -0.7876083551
        0.3884372934       -0.7724716849
        0.3633255570       -0.7573295399
        0.3381801680       -0.7421783937
        0.3129815501       -0.7270152949
        0.2877076809       -0.7118399574
        0.2623412478       -0.6966577521
        0.5138358982       -0.8481533237
        0.2368803086       -0.6814828959
        0.2113464596       -0.6663418131
        0.1857780894       -0.6512797980
        0.1601943622       -0.6363778986
        0.5389068155       -0.8632980396
        0.1345252471       -0.6217831725
        0.5639758967       -0.8784486635
        0.5890440724       -0.8936068768
        0.6114385810       -1.0263354705
        0.6121995750       -0.9969493711
        0.6128830172       -0.9675508321
        0.6342060953       -1.1006896637
        0.6354674228       -1.0711530369
        0.6524735051       -1.1748770296
        0.6563413717       -1.1457956510
        0.0000000000       -0.5572289157
        0.6135152038       -0.9381528877
        0.6141149737       -0.9087763998
        0.6364382748       -1.0416892464
        0.6845291019       -1.2256995039
        0.6746291240       -1.1977135344
        0.6587245619       -1.1164004740
        0.0241100953       -0.5404676782
        0.0533753902       -0.5531598758
        0.0814871708       -0.5660268000
        0.1084519447       -0.5793532434
        0.1346356163       -0.5932381903
        0.5144017165       -0.8188561546
        0.4893280112       -0.8037225346
        0.4642530843       -0.7885907493
        0.4391757518       -0.7734596538
        0.4140933480       -0.7583279086
        0.3890006613       -0.7431938890
        0.3638885081       -0.7280557452
        0.3387423032       -0.7129118951
        0.3135415656       -0.6977622463
        0.2882619122       -0.6826102745
        0.2628811701       -0.6674657655
        0.5394746251       -0.8339926442
        0.2373896936       -0.6523480615
        0.2118004531       -0.6372907480
        0.1861467500       -0.6223504230
        0.1604486640       -0.6076204181
        0.5645470050       -0.8491329999
        0.5896197526       -0.8642783767
        0.6146956321       -0.8794305782
        0.6372402974       -1.0122538694
        0.6379445030       -0.9828132563
        0.6385894220       -0.9533759819
        0.6603175478       -1.0867989832
        0.6614433158       -1.0572300880
        0.6802357634       -1.1633677832
        0.6832364578       -1.1327046906
        0.0000000000       -0.5271084337
        0.6391968832       -0.9239648661
        0.6397810517       -0.8945927937
        0.6623093419       -1.0276946282
        0.7078466496       -1.2090788183
        0.7063032521       -1.1800845184
        0.6851528197       -1.1027507673
        0.7107863937       -1.2311691754
        0.0240958908       -0.5107123847
        0.0533676706       -0.5238843955
        0.0814609508       -0.5371194130
        0.1084426634       -0.5506285350
        0.1346977228       -0.5645173720
        0.1606189694       -0.5787953983
        0.5400398942       -0.8047009349
        0.5149662032       -0.7895691575
        0.4898921061       -0.7744388906
        0.4648169836       -0.7593094228
        0.4397395146       -0.7441800127
        0.4146569355       -0.7290498393
        0.3895638983       -0.7139180210
        0.3644508747       -0.6987838670
        0.3393023681       -0.6836475847
        0.3140957753       -0.6685116355
        0.2888025414       -0.6533827846
        0.2633938530       -0.6382747623
        0.5651136333       -0.8198349407
        0.2378522344       -0.6232116685
        0.2121856731       -0.6082328025
        0.1864305242       -0.5933989768
        0.5901882958       -0.8349719255
        0.6152660829       -0.8501127257
        0.6403519512       -0.8652583296
        0.6630382285       -0.9981668656
        0.6636931123       -0.9686552037
        0.6643043016       -0.9391845123
        0.6864610105       -1.0729904568
        0.6874163774       -1.0433038285
        0.7082739244       -1.1492892281
        0.7101254359       -1.1189613753
        0.0000000000       -0.4969879518
        0.6648880814       -0.9097699895
        0.6654555405       -0.8804097367
        0.6881812580       -1.0136427214
        0.7360087474       -1.2237537483
        0.7329838718       -1.1954376959
        0.7337586521       -1.1659889377
        0.7115356620       -1.0889420309
        0.0240919284       -0.4808583967
        0.0534304908       -0.4943919806
        0.0815371350       -0.5079360438
        0.1085187165       -0.5216455155
        0.1347936272       -0.5356133693
        0.1607718747       -0.5498719720
        0.1866709861       -0.5644038784
        0.5406041744       -0.7754167953
        0.5656783944       -0.7905475089
        0.5155302095       -0.7602873562
        0.4904559769       -0.7451586867
        0.4653807735       -0.7300303269
        0.4403031996       -0.7149018437
        0.4152203730       -0.6997728382
        0.3901266626       -0.6846430817
        0.3650118308       -0.6695129308
        0.3398587721       -0.6543841956
        0.3146417146       -0.6392615918
        0.2893268832       -0.6241547910
        0.2638787548       -0.6090809970
        0.5907536814       -0.8056800311
        0.2382744136       -0.5940679619
        0.2125226385       -0.5791570100
        0.6158317933       -0.8208148310
        0.6409164909       -0.8359520788
        0.6660151022       -0.8510911453
        0.6888470978       -0.9840142915
        0.6894582035       -0.9544493440
        0.6900358221       -0.9249677804
        0.7125798893       -1.0590677805
        0.7133918135       -1.0292432953
        0.7352896401       -1.1354590267
        0.7367086040       -1.1050614847
        0.0000000000       -0.4668674699
        0.6905930321       -0.8955670987
        0.6911403429       -0.8662296012
        0.7140739320       -0.9994631386
        0.7551888104       -1.2070003832
        0.7592071039       -1.1839334099
        0.7604939636       -1.1526848721
        0.7378223333       -1.0749404889
        0.7649292389       -1.2279053274
        0.0535252296       -0.4647570025
        0.0240867000       -0.4509413710
        0.0816778500       -0.4785594685
        0.1086707458       -0.4924631772
        0.1349520802       -0.5065426657
        0.1609571699       -0.5208348388
        0.1869134222       -0.5353444626
        0.2128428096       -0.5500491918
        0.5411681007       -0.7461363810
        0.5662424557       -0.7612656745
