 VARIABLES = "X",  "Y"
 ZONE N=        6872 , E=       13439 , F=FEPOINT, ET=QUADRILATERAL
        1.0000000000       -1.2198795181
        1.0405043745       -1.2243169037
        1.0270374874       -1.1988226781
        1.0567540346       -1.2003532695
        1.0000000000       -1.1897590361
        1.0718931550       -1.2251325413
        1.0430384662       -1.1751539641
        1.0195960207       -1.1758317206
        1.0712926177       -1.1747688810
        1.0865954821       -1.2001509444
        1.0000000000       -1.1596385542
        1.1025439149       -1.2253706429
        1.0551137559       -1.1494554009
        1.0264910078       -1.1513683799
        1.1007070662       -1.1746074959
        1.0844368103       -1.1492863478
        1.1167012320       -1.1999609140
        1.0000000000       -1.1295180723
        1.1327849396       -1.2255597813
        1.0676606213       -1.1243927797
        1.0377457549       -1.1252584908
        1.1307813737       -1.1745642767
        1.1144848014       -1.1493275419
        1.0979595296       -1.1242524622
        1.1468822399       -1.1998587372
        1.0221255147       -1.1000827841
        1.1628641507       -1.2257466627
        1.0518444091       -1.0998573993
        1.0816909080       -1.0994185046
        1.0000000000       -1.0993975904
        1.1610097120       -1.1745358141
        1.1448477314       -1.1493682548
        1.1285100066       -1.1242675457
        1.1121658522       -1.0992577628
        1.1769866188       -1.1997653392
        1.0000000000       -1.0692771084
        1.0369518469       -1.0748897400
        1.1928374546       -1.2259136985
        1.0660803752       -1.0745195436
        1.0960804026       -1.0742599375
        1.1911185554       -1.1744654875
        1.1751547764       -1.1493490405
        1.1590593932       -1.1242640651
        1.1428812328       -1.0991977973
        1.1267334063       -1.0741342874
        1.2069470901       -1.1996414953
        1.0248594104       -1.0509655010
        1.0513436457       -1.0490217166
        1.2227256625       -1.2260559785
        1.0803463162       -1.0491002347
        1.1107218180       -1.0490421682
        1.0000000000       -1.0391566265
        1.2210309074       -1.1743432708
        1.2052262511       -1.1492574751
        1.1893617076       -1.1241888534
        1.1734406723       -1.0991093784
        1.1574839257       -1.0740120509
        1.1415368385       -1.0489009834
        1.2367710733       -1.1994848413
        1.0332033154       -1.0241986124
        1.0642425529       -1.0241561032
        1.2525537877       -1.2261792838
        1.0948593663       -1.0240048619
        1.1256694328       -1.0238029417
        1.0000000000       -1.0090361446
        1.2350528583       -1.1491077981
        1.2507771918       -1.1741826856
        1.2193438108       -1.1240425758
        1.2036457033       -1.0989554115
        1.1879401509       -1.0738391871
        1.1722152196       -1.0487038387
        1.1564861254       -1.0235664941
        1.2665004713       -1.1993066967
        1.0508655894       -0.9993863592
        1.0245260272       -0.9974847361
        1.0797900636       -0.9990473835
        1.2823482277       -1.2262897167
        1.1100732667       -0.9987295459
        1.1408153198       -0.9984362941
        1.0000000000       -0.9789156627
        1.2647038084       -1.1489225492
        1.2490638608       -1.1238457348
        1.2804206293       -1.1740026643
        1.2335025210       -1.0987436477
        1.2179928309       -1.0736101397
        1.2024958693       -1.0484556671
        1.1869829660       -1.0232945916
        1.1714510949       -0.9981355499
        1.2961833536       -1.1991176640
        1.0649877145       -0.9737291452
        1.0359761203       -0.9736037144
        1.0947765190       -0.9735715394
        1.3121344375       -1.2263819867
        1.1252580984       -0.9732874769
        1.1559136567       -0.9729737013
        1.0209906663       -0.9487934311
        1.2786187127       -1.1236203104
        1.2942579919       -1.1487233524
        1.2631129895       -1.0984933166
        1.3100237394       -1.1738217733
        1.2477144312       -1.0733385389
        1.2323768877       -1.0481663378
        1.2170531255       -1.0229893675
        1.2017090315       -0.9978149901
        1.1863255875       -0.9726430520
        1.3258714751       -1.1989222069
        1.0502434073       -0.9486045499
        1.0796509693       -0.9483771025
        1.0000000000       -0.9487951807
        1.1098033854       -0.9481042254
        1.3419458152       -1.2264046945
        1.1403740104       -0.9477982245
        1.1708898323       -0.9474684955
        1.0356795677       -0.9237073177
        1.0000000000       -0.9186746988
        1.3080903070       -1.1233847404
        1.2925829132       -1.0982214710
        1.3237784423       -1.1485309966
        1.2772270209       -1.0730398741
        1.3396439337       -1.1736645489
        1.2619739855       -1.0478487637
        1.2467713824       -1.0226584858
        1.2315747885       -0.9974744152
        1.2163515277       -0.9722963469
        1.2010772031       -0.9471208203
        1.3556319586       -1.1987349414
        1.0646910708       -0.9232437587
        1.0944300725       -0.9229074230
        1.1248256755       -0.9226107020
        1.3718856012       -1.2261251178
        1.1553904854       -0.9222892426
        1.1857318979       -0.9219447032
        1.0502491134       -0.8977742166
        1.0238892958       -0.8999652192
        1.3375316816       -1.1231550469
        1.3219865206       -1.0979410329
        1.3066300307       -1.0727257288
        1.3533047115       -1.1483672433
        1.2914084219       -1.0475136207
        1.3693323336       -1.1735711899
        1.2762665301       -1.0223105437
        1.2611575994       -0.9971187814
        1.2460461986       -0.9719365250
        1.2309056549       -0.9467599246
        1.2157139753       -0.9215851777
        1.3857574845       -1.1988231652
        1.0791320637       -0.8976630540
        1.1092731933       -0.8974295678
        1.0000000000       -0.8885542169
        1.1398311500       -0.8971148942
        1.4014616552       -1.2245428596
        1.1703052553       -0.8967691563
        1.2004534339       -0.8964099080
        1.0632693273       -0.8727520270
        1.0322188777       -0.8731115869
        1.3669650437       -1.1229459654
        1.3513651037       -1.0976621483
        1.3359844242       -1.0724041016
        1.3207638122       -1.0471680441
        1.3828237178       -1.1482601807
        1.3056440901       -1.0219520352
        1.3989306168       -1.1736090644
        1.2905769203       -0.9967533955
        1.2755271249       -0.9715677507
        1.2604697597       -0.9463901355
        1.2453854924       -0.9212161906
        1.2302573787       -0.8960425084
        1.4150441834       -1.1989109325
        1.0937174238       -0.8723662464
        1.1242612076       -0.8719788780
        1.0000000000       -0.8584337349
        1.1548148441       -0.8716019346
        1.4310589404       -1.2239407697
        1.1851174121       -0.8712333003
        1.2150712150       -0.8708660888
        1.0788317370       -0.8474375764
        1.0499905990       -0.8480650627
        1.0236571196       -0.8464401938
        1.3963891815       -1.1227553114
        1.3807359800       -1.0973897343
        1.3653212104       -1.0720802821
        1.3500863273       -1.0468166274
        1.3349683268       -1.0215871000
        1.4123004881       -1.1481691931
        1.3199161658       -0.9963820677
        1.4283974685       -1.1735575839
        1.3048942532       -0.9711935215
        1.2898793227       -0.9460149388
        1.2748553894       -0.9208414076
        1.2598093943       -0.8956693474
        1.2447287647       -0.8704957253
        1.4445605413       -1.1987741651
        1.1088825266       -0.8468944650
        1.1393340120       -0.8464466328
        1.0000000000       -0.8283132530
        1.1697221024       -0.8460532263
        1.4607388704       -1.2236480800
        1.1998194743       -0.8456830881
        1.2296011807       -0.8453170849
        1.0937561560       -0.8217676641
        1.0641456564       -0.8222181278
        1.0351323386       -0.8224643702
        1.4258039531       -1.1225612699
        1.4101044385       -1.0971201342
        1.3946536465       -1.0717563947
        1.3793977686       -1.0464623352
        1.3642717383       -1.0212183863
        1.3492213232       -0.9960071753
        1.4417581421       -1.1480421932
        1.3342092501       -0.9708161285
        1.4579081296       -1.1734511587
        1.3192125469       -0.9456367000
        1.3042172885       -0.9204633045
        1.2892138296       -0.8952923389
        1.2741934666       -0.8701211972
        1.2591465522       -0.8449473532
        1.4741639054       -1.1986197794
        1.1239454416       -0.8212844539
        1.1543049900       -0.8208636276
        1.0203408402       -0.7977105144
        1.1845051948       -0.8204888955
        1.4904501806       -1.2234276080
        1.2144161490       -0.8201295281
        1.2440619686       -0.8197680012
        1.1086801536       -0.7961339881
        1.0787644881       -0.7966997466
        1.0494245750       -0.7972741749
        1.0000000000       -0.7981927711
        1.4552198760       -1.1223528403
        1.4394735160       -1.0968472635
        1.4239865136       -1.0714321460
        1.4087070112       -1.0461069499
        1.3935685668       -1.0208477669
        1.3785139002       -0.9956302689
        1.3635033133       -0.9704369487
        1.4712319186       -1.1478903844
        1.3485129150       -0.9452568262
        1.4874561737       -1.1733216417
        1.3335293713       -0.9200834367
        1.3185449439       -0.8949130635
        1.3035539265       -0.8697434402
        1.2885503577       -0.8445728083
        1.2735266945       -0.8193993893
        1.5037988689       -1.1984682646
        1.1389099297       -0.7956708306
        1.1691445207       -0.7952853641
        1.0345665421       -0.7727650574
        1.0000000000       -0.7680722892
        1.1991689113       -0.7949321988
        1.5201705611       -1.2232204732
        1.2289286134       -0.7945814190
        1.2584736149       -0.7942216925
        1.1235912129       -0.7705126075
        1.0935690505       -0.7710815748
        1.0638358645       -0.7719612139
        1.4846426725       -1.1221350423
        1.4688453937       -1.0965704940
        1.4533211176       -1.0711075126
        1.4380168922       -1.0457516896
        1.4228641597       -1.0204766932
        1.4078026583       -0.9952525100
        1.3927900262       -0.9700568688
        1.3778007899       -0.9448761177
        1.5007195580       -1.1477259248
        1.3628212196       -0.9197026926
        1.5170195585       -1.1731837335
        1.3478442275       -0.8945326093
        1.3328657076       -0.8693637538
        1.3178822296       -0.8441948295
        1.3028896183       -0.8190247602
        1.2878821953       -0.7938525669
        1.5334416605       -1.1983162287
        1.1537744292       -0.7700936478
        1.1838695336       -0.7697352703
        1.0492160339       -0.7479113845
        1.0211974436       -0.7488891219
        1.2137408945       -0.7693911165
        1.5498912912       -1.2230135857
        1.2433820145       -0.7690402794
        1.2728530029       -0.7686779502
        1.1384612989       -0.7449522630
        1.1084159580       -0.7454139848
        1.0787243575       -0.7460966773
        1.0000000000       -0.7379518072
        1.4982193000       -1.0962929121
        1.5140689670       -1.1219139611
        1.4826569893       -1.0707838468
        1.4673276525       -1.0453977253
        1.4521599817       -1.0201063269
        1.4370906320       -0.9948748249
        1.4220745596       -0.9696765356
        1.4070844717       -0.9444950597
        1.3921057555       -0.9193215530
        1.5302112008       -1.1475570837
        1.3771312395       -0.8941516081
        1.5465846283       -1.1730426995
        1.3621574173       -0.8689831021
        1.3471821450       -0.8438149582
        1.3322033046       -0.8186464906
        1.3172180153       -0.7934771295
        1.3022223016       -0.7683065143
        1.5630826167       -1.1981623531
        1.1685568186       -0.7445659918
        1.1985094968       -0.7442110737
        1.0638460596       -0.7205299408
        1.0262102090       -0.7211916653
        1.2282485079       -0.7438607849
        1.5796087405       -1.2228046384
        1.2577957455       -0.7435026747
        1.2872114556       -0.7431350092
        1.1533077639       -0.7194620678
        1.1232914705       -0.7198934858
        1.0933511017       -0.7203017551
        1.0000000000       -0.7078313253
        1.5119927643       -1.0704625797
        1.5275927419       -1.0960169880
        1.5434940839       -1.1216932501
        1.4966385782       -1.0450460121
        1.4814560084       -1.0197374854
        1.4663785715       -0.9944978841
        1.4513585895       -0.9692964243
        1.4363669327       -0.9441139734
        1.4213879386       -0.9189402821
        1.4064140180       -0.8937703866
        1.5597000609       -1.1473875102
        1.3914417324       -0.8686020322
        1.5761445473       -1.1729001550
        1.3764694389       -0.8434342095
        1.3614960082       -0.8182664153
        1.3465201219       -0.7930983187
        1.3315398815       -0.7679296781
        1.3165526925       -0.7427604804
        1.5927165492       -1.1980061826
        1.1832729115       -0.7190658048
        1.2130832543       -0.7186956568
        1.0787219090       -0.6952267434
        1.0477325917       -0.6946083545
        1.0187428968       -0.6925829353
        1.2427085015       -0.7183319810
        1.6093194828       -1.2225929797
        1.2721812831       -0.7179644655
        1.3015554942       -0.7175912617
        1.1680966604       -0.6939774244
