 VARIABLES = "X",  "Y"
 ZONE N=         524 , E=         946 , F=FEPOINT, ET=QUADRILATERAL
        0.0956968100        0.0410305880
        0.0980133898        0.0407468714
        0.0969202583        0.0414193873
        0.0956968100        0.0425001030
        0.0981392149        0.0421596057
        0.0993393515        0.0411058302
        0.0969075361        0.0430142029
        0.0956968100        0.0438672621
        0.0981024029        0.0436624523
        0.0995084640        0.0429211779
        0.1011905511        0.0418287071
        0.0968925833        0.0444362225
        0.0956968100        0.0451696417
        0.0980387536        0.0450735340
        0.0991440749        0.0443007359
        0.1007243486        0.0442728603
        0.1037020800        0.0418415055
        0.0968637920        0.0457910901
        0.1025519836        0.0435538565
        0.0956968100        0.0464355558
        0.0980242242        0.0465103238
        0.0993092452        0.0457401348
        0.1026489764        0.0456810510
        0.1046045445        0.0442820724
        0.1065277909        0.0422634990
        0.0968369140        0.0471060088
        0.1007723991        0.0467983863
        0.0956968100        0.0476781285
        0.0979363536        0.0478763615
        0.0992484031        0.0474922564
        0.1024300878        0.0480512653
        0.1046351095        0.0469538079
        0.1074988448        0.0455512250
        0.1099411300        0.0426961756
        0.0968023803        0.0483753912
        0.1003268799        0.0490116014
        0.0956968100        0.0489091911
        0.0978539588        0.0491216854
        0.0988948339        0.0486733277
        0.1041273031        0.0494964915
        0.1020474100        0.0504540545
        0.1065992071        0.0487312541
        0.1107915377        0.0457600939
        0.1140859774        0.0439165339
        0.0967645452        0.0495933628
        0.0989911953        0.0499567447
        0.1000422382        0.0514366996
        0.1095392502        0.0483969006
        0.0956968100        0.0501323187
        0.0977860511        0.0502916490
        0.1055478912        0.0511675366
        0.1035738928        0.0513970245
        0.1020522397        0.0527389735
        0.1082256156        0.0510426317
        0.1128043355        0.0481151230
        0.1188743492        0.0441600561
        0.0967350306        0.0507729463
        0.0986608531        0.0509635865
        0.1111001056        0.0510826128
        0.1167652651        0.0482053147
        0.0956968100        0.0513419111
        0.0977100031        0.0513710389
        0.0986573682        0.0518310035
        0.1043244433        0.0531346125
        0.1067175515        0.0533340872
        0.1001552737        0.0536425912
        0.1094342826        0.0534924110
        0.1145672345        0.0515009252
        0.1210242211        0.0483372169
        0.1234798148        0.0441888309
        0.0967231712        0.0519305722
        0.0989456760        0.0528545534
        0.1013421816        0.0547275541
        0.1030505146        0.0548298757
        0.1123126585        0.0540041176
        0.1182501750        0.0529214765
