X          Y
0             0
0.00166665             0.00396401
0.00443622             0.00753756
0.00830354             0.01071716
0.01326041             0.0134985
0.01929582             0.01587686
0.02639566             0.01784702
0.03454311             0.01940344
0.04371867             0.02054058
0.05390008             0.02125301
0.06506282             0.02153572
0.07717964             0.02138408
0.09022118             0.0207947
0.10415604             0.0197648
0.11895061             0.01829335
0.13456948             0.0163803
0.15097551             0.01402775
0.16812992             0.01123924
0.1859923             0.00802054
0.20452103             0.00437928
0.22367319             0.00032499
0.24340469             -0.00413041
0.26367023             -0.00897313
0.28442371             -0.0141875
0.30561822             -0.01975578
0.32720593             -0.02565862
0.34913823             -0.03187504
0.37136615             -0.03838259
0.39384005             -0.04515751
0.41650979             -0.05217519
0.43932489             -0.05941
0.46223454             -0.06683557
0.48518781             -0.07442522
0.50813365             -0.08215193
0.53102076             -0.08998847
0.55379813             -0.09790773
0.57641502             -0.10588265
0.59882041             -0.11388652
0.62096432             -0.12189299
0.64279687             -0.12987609
0.66426898             -0.13781034
0.6853321             -0.1456706
0.70593878             -0.15343269
0.72604234             -0.1610726
0.74559744             -0.1685671
0.76455963             -0.17589321
0.78288618             -0.18302871
0.80053547             -0.18995209
0.81746776             -0.19664194
0.83364486             -0.20307778
0.84903022             -0.20923956
0.86358928             -0.21510787
0.87728941             -0.22066384
0.89010001             -0.22588953
0.90199251             -0.23076755
0.91294031             -0.23528167
0.92291944             -0.23941624
0.93190762             -0.24315701
0.93988523             -0.24649066
0.94683469             -0.24940523
0.95274082             -0.25189001
0.95759067             -0.25393586
0.96137384             -0.25553521
0.96408191             -0.25668199
0.96570913             -0.25737174
0.96625194             -0.25760198
0.96595             -0.2595       
          
          
X          Y
0             0
-0.00053864             -0.00426626
0.0000731             -0.00874583
0.0018325             -0.01343311
0.0047346             -0.01832025
0.00877224             -0.02339768
0.0139358             -0.02865381
0.02021349             -0.03407543
0.02759119             -0.039648
0.03605234             -0.04535569
0.04557819             -0.05118188
0.05614749             -0.05710898
0.06773648             -0.06311933
0.08031937             -0.06919484
0.09386758             -0.07531781
0.10835044             -0.0814705
0.12373476             -0.08763614
0.13998516             -0.09379843
0.15706379             -0.09994215
0.17493076             -0.10605308
0.19354417             -0.11211805
0.21285984             -0.1181253
0.23283168             -0.12406416
0.25341191             -0.12992512
0.27455103             -0.1357001
0.29619796             -0.14138195
0.3183001             -0.14696452
0.34080381             -0.15244278
0.36365424             -0.15781247
0.38679566             -0.16306985
0.41017152             -0.16821188
0.43372464             -0.17323597
0.45739758             -0.17813977
0.48113261             -0.18292117
0.50487171             -0.18757808
0.52855711             -0.19210848
0.55213137             -0.19651045
0.57553695             -0.20078159
0.59871737             -0.20491973
0.62161646             -0.20892244
0.64417898             -0.21278724
0.66635031             -0.2165116
0.68807726             -0.22009278
0.70930741             -0.2235282
0.72998988             -0.22681533
0.75007466             -0.22995183
0.76951368             -0.23293558
0.78826009             -0.2357644
0.80626882             -0.23843697
0.82349652             -0.24095192
0.83990152             -0.24330834
0.85544419             -0.24550575
0.87008683             -0.24754421
0.88379399             -0.24942393
0.89653221             -0.25114569
0.90827033             -0.25271025
0.9189798             -0.25411917
0.92863418             -0.25537366
0.93720982             -0.25647544
0.94468551             -0.25742608
0.95104276             -0.25822726
0.95626578             -0.25888043
0.96034177             -0.25938694
0.96326042             -0.25974783
0.96501451             -0.2599641
0.96559971             -0.26003611
0.96595             -0.2595
