U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
17.03,0,0,-216.423,1,0,-3,0,0.05,0
17.03,-2.78414e-11,0,-216.423,1,0.00324988,-2.99675,0,0.05,1
17.03,-5.56849e-11,0,-216.423,1,0.00650001,-2.9935,0,0.05,2
17.03,-8.35263e-11,0,-216.423,1,0.00974989,-2.99025,0,0.05,3
17.03,-1.1137e-10,0,-216.423,1,0.013,-2.987,0,0.05,4
17.03,-1.39211e-10,0,-216.423,1,0.0162499,-2.98375,0,0.05,5
17.03,-1.67055e-10,0,-216.423,1,0.0195,-2.9805,0,0.05,6
17.03,-1.94896e-10,0,-216.423,1,0.0227499,-2.97725,0,0.05,7
17.03,-2.22739e-10,0,-216.423,1,0.026,-2.974,0,0.05,8
17.03,-2.50581e-10,0,-216.423,1,0.0292499,-2.97075,0,0.05,9
17.03,-2.78424e-10,0,-216.423,1,0.0325,-2.9675,0,0.05,10
17.03,-3.06266e-10,0,-216.423,1,0.0357499,-2.96425,0,0.05,11
17.03,-3.34109e-10,0,-216.423,1,0.039,-2.961,0,0.05,12
17.03,-3.61951e-10,0,-216.423,1,0.0422499,-2.95775,0,0.05,13
17.03,-3.89794e-10,0,-216.423,1,0.0455,-2.9545,0,0.05,14
17.03,-4.17635e-10,0,-216.423,1,0.0487499,-2.95125,0,0.05,15
17.03,-4.29728e-10,0,-216.423,1,0.052,-2.948,0,0.05,16
17.03,-4.31977e-10,0,-216.423,1,0.0552499,-2.94475,0,0.05,17
17.03,-4.34226e-10,0,-216.423,1,0.0585001,-2.9415,0,0.05,18
17.03,-4.36474e-10,0,-216.423,1,0.0617499,-2.93825,0,0.05,19
17.03,-4.38723e-10,0,-216.423,1,0.0650001,-2.935,0,0.05,20
17.03,-4.40972e-10,0,-216.423,1,0.0682499,-2.93175,0,0.05,21
17.03,-4.43221e-10,0,-216.423,1,0.0715001,-2.9285,0,0.05,22
17.03,-4.45469e-10,0,-216.423,1,0.0747499,-2.92525,0,0.05,23
17.03,-4.47718e-10,0,-216.423,1,0.0780001,-2.922,0,0.05,24
17.03,-4.49967e-10,0,-216.423,1,0.08125,-2.91875,0,0.05,25
17.03,-4.52216e-10,0,-216.423,1,0.0845001,-2.9155,0,0.05,26
17.03,-4.54464e-10,0,-216.423,1,0.08775,-2.91225,0,0.05,27
17.03,-4.56713e-10,0,-216.423,1,0.0910001,-2.909,0,0.05,28
17.03,-4.58962e-10,0,-216.423,1,0.09425,-2.90575,0,0.05,29
17.03,-4.61211e-10,0,-216.423,1,0.0975001,-2.9025,0,0.05,30
17.03,-4.61876e-10,0,-216.423,1,0.10075,-2.89925,0,0.05,31
17.03,-4.57263e-10,0,-216.423,1,0.104,-2.896,0,0.05,32
17.03,-4.52651e-10,0,-216.423,1,0.10725,-2.89275,0,0.05,33
17.03,-4.48039e-10,0,-216.423,1,0.1105,-2.8895,0,0.05,34
17.03,-4.43426e-10,0,-216.423,1,0.11375,-2.88625,0,0.05,35
17.03,-4.38814e-10,0,-216.423,1,0.117,-2.883,0,0.05,36
17.03,-4.34202e-10,0,-216.423,1,0.12025,-2.87975,0,0.05,37
17.03,-4.29589e-10,0,-216.423,1,0.1235,-2.8765,0,0.05,38
17.03,-4.24977e-10,0,-216.423,1,0.12675,-2.87325,0,0.05,39
17.03,-4.20364e-10,0,-216.423,1,0.13,-2.87,0,0.05,40
17.03,-4.15752e-10,0,-216.423,1,0.13325,-2.86675,0,0.05,41
17.03,-4.1114e-10,0,-216.423,1,0.1365,-2.8635,0,0.05,42
17.03,-4.06527e-10,0,-216.423,1,0.13975,-2.86025,0,0.05,43
17.03,-4.01915e-10,0,-216.423,1,0.143,-2.857,0,0.05,44
17.03,-3.97303e-10,0,-216.423,1,0.14625,-2.85375,0,0.05,45
17.03,-3.9269e-10,0,-216.423,1,0.1495,-2.8505,0,0.05,46
17.03,-3.85807e-10,0,-216.423,1,0.15275,-2.84725,0,0.05,47
17.03,-3.78511e-10,0,-216.423,1,0.156,-2.844,0,0.05,48
17.03,-3.71215e-10,0,-216.423,1,0.15925,-2.84075,0,0.05,49
17.03,-3.63919e-10,0,-216.423,1,0.1625,-2.8375,0,0.05,50
17.03,-3.56623e-10,0,-216.423,1,0.16575,-2.83425,0,0.05,51
17.03,-3.49327e-10,0,-216.423,1,0.169,-2.831,0,0.05,52
17.03,-3.4203e-10,0,-216.423,1,0.17225,-2.82775,0,0.05,53
17.03,-3.34735e-10,0,-216.423,1,0.1755,-2.8245,0,0.05,54
17.03,-3.27438e-10,0,-216.423,1,0.17875,-2.82125,0,0.05,55
17.03,-3.20142e-10,0,-216.423,1,0.182,-2.818,0,0.05,56
17.03,-3.12846e-10,0,-216.423,1,0.18525,-2.81475,0,0.05,57
17.03,-3.0555e-10,0,-216.423,1,0.1885,-2.8115,0,0.05,58
17.03,-2.98254e-10,0,-216.423,1,0.19175,-2.80825,0,0.05,59
17.03,-2.90958e-10,0,-216.423,1,0.195,-2.805,0,0.05,60
17.03,-2.83662e-10,0,-216.423,1,0.19825,-2.80175,0,0.05,61
17.03,-2.76591e-10,0,-216.423,1,0.2015,-2.7985,0,0.05,62
17.03,-2.69781e-10,0,-216.423,1,0.20475,-2.79525,0,0.05,63
17.03,-2.62973e-10,0,-216.423,1,0.208,-2.792,0,0.05,64
17.03,-2.56164e-10,0,-216.423,1,0.21125,-2.78875,0,0.05,65
17.03,-2.49355e-10,0,-216.423,1,0.2145,-2.7855,0,0.05,66
17.03,-2.42546e-10,0,-216.423,1,0.21775,-2.78225,0,0.05,67
17.03,-2.35737e-10,0,-216.423,1,0.221,-2.779,0,0.05,68
17.03,-2.28928e-10,0,-216.423,1,0.22425,-2.77575,0,0.05,69
17.03,-2.22119e-10,0,-216.423,1,0.2275,-2.7725,0,0.05,70
17.03,-2.1531e-10,0,-216.423,1,0.23075,-2.76925,0,0.05,71
17.03,-2.08501e-10,0,-216.423,1,0.234,-2.766,0,0.05,72
17.03,-2.01692e-10,0,-216.423,1,0.23725,-2.76275,0,0.05,73
17.03,-1.94884e-10,0,-216.423,1,0.2405,-2.7595,0,0.05,74
17.03,-1.88074e-10,0,-216.423,1,0.24375,-2.75625,0,0.05,75
17.03,-1.81266e-10,0,-216.423,1,0.247,-2.753,0,0.05,76
17.03,-1.74636e-10,0,-216.423,1,0.25025,-2.74975,0,0.05,77
17.03,-1.70164e-10,0,-216.423,1,0.2535,-2.7465,0,0.05,78
17.03,-1.65692e-10,0,-216.423,1,0.25675,-2.74325,0,0.05,79
17.03,-1.6122e-10,0,-216.423,1,0.26,-2.74,0,0.05,80
17.03,-1.56747e-10,0,-216.423,1,0.26325,-2.73675,0,0.05,81
17.03,-1.52275e-10,0,-216.423,1,0.2665,-2.7335,0,0.05,82
17.03,-1.47803e-10,0,-216.423,1,0.26975,-2.73025,0,0.05,83
17.03,-1.43331e-10,0,-216.423,1,0.273,-2.727,0,0.05,84
17.03,-1.38859e-10,0,-216.423,1,0.27625,-2.72375,0,0.05,85
17.03,-1.34386e-10,0,-216.423,1,0.2795,-2.7205,0,0.05,86
17.03,-1.29914e-10,0,-216.423,1,0.28275,-2.71725,0,0.05,87
17.03,-1.25442e-10,0,-216.423,1,0.286,-2.714,0,0.05,88
17.03,-1.2097e-10,0,-216.423,1,0.28925,-2.71075,0,0.05,89
17.03,-1.16497e-10,0,-216.423,1,0.2925,-2.7075,0,0.05,90
17.03,-1.12025e-10,0,-216.423,1,0.29575,-2.70425,0,0.05,91
17.03,-1.07553e-10,0,-216.423,1,0.299,-2.701,0,0.05,92
17.03,-1.05136e-10,0,-216.423,1,0.30225,-2.69775,0,0.05,93
17.03,-1.03632e-10,0,-216.423,1,0.3055,-2.6945,0,0.05,94
17.03,-1.02127e-10,0,-216.423,1,0.30875,-2.69125,0,0.05,95
17.03,-1.00623e-10,0,-216.423,1,0.312,-2.688,0,0.05,96
17.03,-9.91193e-11,0,-216.423,1,0.31525,-2.68475,0,0.05,97
17.03,-9.76152e-11,0,-216.423,1,0.3185,-2.6815,0,0.05,98
17.03,-9.61111e-11,0,-216.423,1,0.32175,-2.67825,0,0.05,99
17.03,-9.4607e-11,0,-216.423,1,0.325,-2.675,0,0.05,100
17.03,-9.3103e-11,0,-216.423,1,0.32825,-2.67175,0,0.05,101
17.03,-9.15988e-11,0,-216.423,1,0.3315,-2.6685,0,0.05,102
17.03,-9.00948e-11,0,-216.423,1,0.33475,-2.66525,0,0.05,103
17.03,-8.85907e-11,0,-216.423,1,0.338,-2.662,0,0.05,104
17.03,-8.70866e-11,0,-216.423,1,0.34125,-2.65875,0,0.05,105
17.03,-8.55825e-11,0,-216.423,1,0.3445,-2.6555,0,0.05,106
17.03,-8.40785e-11,0,-216.423,1,0.34775,-2.65225,0,0.05,107
17.03,-8.34063e-11,0,-216.423,1,0.351,-2.649,0,0.05,108
17.03,-8.46054e-11,0,-216.423,1,0.35425,-2.64575,0,0.05,109
17.03,-8.58047e-11,0,-216.423,1,0.3575,-2.6425,0,0.05,110
17.03,-8.70039e-11,0,-216.423,1,0.36075,-2.63925,0,0.05,111
17.03,-8.82031e-11,0,-216.423,1,0.364,-2.636,0,0.05,112
17.03,-8.94023e-11,0,-216.423,1,0.36725,-2.63275,0,0.05,113
17.03,-9.06016e-11,0,-216.423,1,0.3705,-2.6295,0,0.05,114
17.03,-9.18007e-11,0,-216.423,1,0.37375,-2.62625,0,0.05,115
17.03,-9.3e-11,0,-216.423,1,0.377,-2.623,0,0.05,116
17.03,-9.41992e-11,0,-216.423,1,0.38025,-2.61975,0,0.05,117
17.03,-9.53984e-11,0,-216.423,1,0.3835,-2.6165,0,0.05,118
17.03,-9.65976e-11,0,-216.423,1,0.38675,-2.61325,0,0.05,119
17.03,-9.77969e-11,0,-216.423,1,0.39,-2.61,0,0.05,120
17.03,-9.89961e-11,0,-216.423,1,0.39325,-2.60675,0,0.05,121
17.03,-1.00195e-10,0,-216.423,1,0.3965,-2.6035,0,0.05,122
17.03,-1.01394e-10,0,-216.423,1,0.39975,-2.60025,0,0.05,123
17.03,-1.04372e-10,0,-216.423,1,0.403,-2.597,0,0.05,124
17.03,-1.07498e-10,0,-216.423,1,0.40625,-2.59375,0,0.05,125
17.03,-1.10624e-10,0,-216.423,1,0.4095,-2.5905,0,0.05,126
17.03,-1.1375e-10,0,-216.423,1,0.41275,-2.58725,0,0.05,127
17.03,-1.16876e-10,0,-216.423,1,0.416,-2.584,0,0.05,128
17.03,-1.20002e-10,0,-216.423,1,0.41925,-2.58075,0,0.05,129
17.03,-1.23128e-10,0,-216.423,1,0.4225,-2.5775,0,0.05,130
17.03,-1.26254e-10,0,-216.423,1,0.42575,-2.57425,0,0.05,131
17.03,-1.2938e-10,0,-216.423,1,0.429,-2.571,0,0.05,132
17.03,-1.32506e-10,0,-216.423,1,0.43225,-2.56775,0,0.05,133
17.03,-1.35632e-10,0,-216.423,1,0.4355,-2.5645,0,0.05,134
17.03,-1.38758e-10,0,-216.423,1,0.43875,-2.56125,0,0.05,135
17.03,-1.41884e-10,0,-216.423,1,0.442,-2.558,0,0.05,136
17.03,-1.4501e-10,0,-216.423,1,0.44525,-2.55475,0,0.05,137
17.03,-1.48136e-10,0,-216.423,1,0.4485,-2.5515,0,0.05,138
17.03,-1.51791e-10,0,-216.423,1,0.45175,-2.54825,0,0.05,139
17.03,-1.55899e-10,0,-216.423,1,0.455,-2.545,0,0.05,140
17.03,-1.60007e-10,0,-216.423,1,0.45825,-2.54175,0,0.05,141
17.03,-1.64116e-10,0,-216.423,1,0.4615,-2.5385,0,0.05,142
17.03,-1.68224e-10,0,-216.423,1,0.46475,-2.53525,0,0.05,143
17.03,-1.72332e-10,0,-216.423,1,0.468,-2.532,0,0.05,144
17.03,-1.7644e-10,0,-216.423,1,0.47125,-2.52875,0,0.05,145
