U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
102.15,0,0,-5108.91,1,0,-3,0,0,0
102.15,-1.69683e-09,0,-5108.91,1,0.00650077,-2.9935,0,0.0001,1
102.15,-3.39365e-09,0,-5108.91,1,0.0130015,-2.987,0,0.0002,2
102.15,-5.09048e-09,0,-5108.91,1,0.0195023,-2.9805,0,0.0003,3
102.15,-6.7873e-09,0,-5108.91,1,0.0260031,-2.974,0,0.0004,4
102.15,-8.48413e-09,0,-5108.91,1,0.0325039,-2.9675,0,0.0005,5
102.15,-1.0181e-08,0,-5108.91,1,0.0390046,-2.961,0,0.0006,6
102.15,-1.18778e-08,0,-5108.91,1,0.0455054,-2.9545,0,0.0007,7
102.15,-1.32667e-08,0,-5108.91,1,0.0520062,-2.948,0,0.0008,8
102.15,-1.39629e-08,0,-5108.91,1,0.058507,-2.9415,0,0.0009,9
102.15,-1.46592e-08,0,-5108.91,1,0.0650077,-2.935,0,0.001,10
102.15,-1.53554e-08,0,-5108.91,1,0.0715085,-2.9285,0,0.0011,11
102.15,-1.60517e-08,0,-5108.91,1,0.0780093,-2.922,0,0.0012,12
102.15,-1.67479e-08,0,-5108.91,1,0.0845101,-2.9155,0,0.0013,13
102.15,-1.74441e-08,0,-5108.91,1,0.0910108,-2.909,0,0.0014,14
102.15,-1.81404e-08,0,-5108.91,1,0.0975116,-2.9025,0,0.0015,15
102.15,-1.85771e-08,0,-5108.91,1,0.104012,-2.896,0,0.0016,16
102.15,-1.88517e-08,0,-5108.91,1,0.110513,-2.8895,0,0.0017,17
102.15,-1.91263e-08,0,-5108.91,1,0.117014,-2.883,0,0.0018,18
102.15,-1.94009e-08,0,-5108.91,1,0.123515,-2.8765,0,0.0019,19
102.15,-1.96755e-08,0,-5108.91,1,0.130015,-2.87,0,0.002,20
102.15,-1.99501e-08,0,-5108.91,1,0.136516,-2.8635,0,0.0021,21
102.15,-2.02247e-08,0,-5108.91,1,0.143017,-2.857,0,0.0022,22
102.15,-2.04992e-08,0,-5108.91,1,0.149518,-2.8505,0,0.0023,23
102.15,-2.05396e-08,0,-5108.91,1,0.156018,-2.844,0,0.0024,24
102.15,-2.05603e-08,0,-5108.91,1,0.162519,-2.8375,0,0.0025,25
102.15,-2.05811e-08,0,-5108.91,1,0.16902,-2.831,0,0.0026,26
102.15,-2.06019e-08,0,-5108.91,1,0.175521,-2.8245,0,0.0027,27
102.15,-2.06226e-08,0,-5108.91,1,0.182021,-2.818,0,0.0028,28
102.15,-2.06434e-08,0,-5108.91,1,0.188522,-2.8115,0,0.0029,29
