U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
102.15,0,0,186.626,1,0,-3,0,0.05,0
102.15,-7.72175e-11,0,186.626,1,0.00324988,-2.99675,0,0.05,1
102.15,-1.54441e-10,0,186.626,1,0.00650001,-2.9935,0,0.05,2
102.15,-2.31658e-10,0,186.626,1,0.00974989,-2.99025,0,0.05,3
102.15,-3.08881e-10,0,186.626,1,0.013,-2.987,0,0.05,4
102.15,-3.86099e-10,0,186.626,1,0.0162499,-2.98375,0,0.05,5
102.15,-4.63322e-10,0,186.626,1,0.0195,-2.9805,0,0.05,6
102.15,-5.4054e-10,0,186.626,1,0.0227499,-2.97725,0,0.05,7
102.15,-6.17763e-10,0,186.626,1,0.026,-2.974,0,0.05,8
102.15,-6.9498e-10,0,186.626,1,0.0292499,-2.97075,0,0.05,9
102.15,-7.72204e-10,0,186.626,1,0.0325,-2.9675,0,0.05,10
102.15,-8.49421e-10,0,186.626,1,0.0357499,-2.96425,0,0.05,11
102.15,-9.26644e-10,0,186.626,1,0.039,-2.961,0,0.05,12
102.15,-1.00386e-09,0,186.626,1,0.0422499,-2.95775,0,0.05,13
102.15,-1.08109e-09,0,186.626,1,0.0455,-2.9545,0,0.05,14
102.15,-1.1583e-09,0,186.626,1,0.0487499,-2.95125,0,0.05,15
102.15,-1.23553e-09,0,186.626,1,0.052,-2.948,0,0.05,16
102.15,-1.31274e-09,0,186.626,1,0.0552499,-2.94475,0,0.05,17
102.15,-1.38997e-09,0,186.626,1,0.0585001,-2.9415,0,0.05,18
102.15,-1.46718e-09,0,186.626,1,0.0617499,-2.93825,0,0.05,19
102.15,-1.54441e-09,0,186.626,1,0.0650001,-2.935,0,0.05,20
102.15,-1.62162e-09,0,186.626,1,0.0682499,-2.93175,0,0.05,21
102.15,-1.69885e-09,0,186.626,1,0.0715001,-2.9285,0,0.05,22
102.15,-1.77607e-09,0,186.626,1,0.0747499,-2.92525,0,0.05,23
102.15,-1.85329e-09,0,186.626,1,0.0780001,-2.922,0,0.05,24
102.15,-1.93051e-09,0,186.626,1,0.08125,-2.91875,0,0.05,25
102.15,-1.95911e-09,0,186.626,1,0.0845001,-2.9155,0,0.05,26
102.15,-1.98772e-09,0,186.626,1,0.08775,-2.91225,0,0.05,27
102.15,-2.01633e-09,0,186.626,1,0.0910001,-2.909,0,0.05,28
102.15,-2.04494e-09,0,186.626,1,0.09425,-2.90575,0,0.05,29
102.15,-2.07354e-09,0,186.626,1,0.0975001,-2.9025,0,0.05,30
102.15,-2.10215e-09,0,186.626,1,0.10075,-2.89925,0,0.05,31
102.15,-2.13076e-09,0,186.626,1,0.104,-2.896,0,0.05,32
102.15,-2.15937e-09,0,186.626,1,0.10725,-2.89275,0,0.05,33
102.15,-2.18797e-09,0,186.626,1,0.1105,-2.8895,0,0.05,34
102.15,-2.21658e-09,0,186.626,1,0.11375,-2.88625,0,0.05,35
102.15,-2.24519e-09,0,186.626,1,0.117,-2.883,0,0.05,36
102.15,-2.2738e-09,0,186.626,1,0.12025,-2.87975,0,0.05,37
102.15,-2.3024e-09,0,186.626,1,0.1235,-2.8765,0,0.05,38
102.15,-2.33101e-09,0,186.626,1,0.12675,-2.87325,0,0.05,39
102.15,-2.35962e-09,0,186.626,1,0.13,-2.87,0,0.05,40
102.15,-2.38823e-09,0,186.626,1,0.13325,-2.86675,0,0.05,41
102.15,-2.41683e-09,0,186.626,1,0.1365,-2.8635,0,0.05,42
102.15,-2.44544e-09,0,186.626,1,0.13975,-2.86025,0,0.05,43
102.15,-2.47405e-09,0,186.626,1,0.143,-2.857,0,0.05,44
102.15,-2.50266e-09,0,186.626,1,0.14625,-2.85375,0,0.05,45
102.15,-2.53126e-09,0,186.626,1,0.1495,-2.8505,0,0.05,46
102.15,-2.55987e-09,0,186.626,1,0.15275,-2.84725,0,0.05,47
102.15,-2.58848e-09,0,186.626,1,0.156,-2.844,0,0.05,48
102.15,-2.61709e-09,0,186.626,1,0.15925,-2.84075,0,0.05,49
102.15,-2.64569e-09,0,186.626,1,0.1625,-2.8375,0,0.05,50
102.15,-2.65515e-09,0,186.626,1,0.16575,-2.83425,0,0.05,51
102.15,-2.66461e-09,0,186.626,1,0.169,-2.831,0,0.05,52
102.15,-2.67408e-09,0,186.626,1,0.17225,-2.82775,0,0.05,53
102.15,-2.68354e-09,0,186.626,1,0.1755,-2.8245,0,0.05,54
102.15,-2.693e-09,0,186.626,1,0.17875,-2.82125,0,0.05,55
102.15,-2.70246e-09,0,186.626,1,0.182,-2.818,0,0.05,56
102.15,-2.71192e-09,0,186.626,1,0.18525,-2.81475,0,0.05,57
102.15,-2.72138e-09,0,186.626,1,0.1885,-2.8115,0,0.05,58
102.15,-2.73084e-09,0,186.626,1,0.19175,-2.80825,0,0.05,59
102.15,-2.7403e-09,0,186.626,1,0.195,-2.805,0,0.05,60
102.15,-2.74976e-09,0,186.626,1,0.19825,-2.80175,0,0.05,61
102.15,-2.75923e-09,0,186.626,1,0.2015,-2.7985,0,0.05,62
102.15,-2.76869e-09,0,186.626,1,0.20475,-2.79525,0,0.05,63
102.15,-2.77815e-09,0,186.626,1,0.208,-2.792,0,0.05,64
102.15,-2.78761e-09,0,186.626,1,0.21125,-2.78875,0,0.05,65
