U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
21.89,0,0,-196.778,1,0,-3,0,0.05,0
21.89,-6.13645e-11,0,-196.778,1,0.00324988,-2.99675,0,0.05,1
21.89,-1.22734e-10,0,-196.778,1,0.00650001,-2.9935,0,0.05,2
21.89,-1.84098e-10,0,-196.778,1,0.00974989,-2.99025,0,0.05,3
21.89,-2.45467e-10,0,-196.778,1,0.013,-2.987,0,0.05,4
21.89,-3.06832e-10,0,-196.778,1,0.0162499,-2.98375,0,0.05,5
21.89,-3.68201e-10,0,-196.778,1,0.0195,-2.9805,0,0.05,6
21.89,-4.29565e-10,0,-196.778,1,0.0227499,-2.97725,0,0.05,7
21.89,-4.90934e-10,0,-196.778,1,0.026,-2.974,0,0.05,8
21.89,-5.52299e-10,0,-196.778,1,0.0292499,-2.97075,0,0.05,9
21.89,-6.13668e-10,0,-196.778,1,0.0325,-2.9675,0,0.05,10
21.89,-6.75032e-10,0,-196.778,1,0.0357499,-2.96425,0,0.05,11
21.89,-7.36401e-10,0,-196.778,1,0.039,-2.961,0,0.05,12
21.89,-7.97766e-10,0,-196.778,1,0.0422499,-2.95775,0,0.05,13
21.89,-8.59135e-10,0,-196.778,1,0.0455,-2.9545,0,0.05,14
21.89,-9.20499e-10,0,-196.778,1,0.0487499,-2.95125,0,0.05,15
21.89,-1.02787e-09,0,-196.778,1,0.052,-2.948,0,0.05,16
21.89,-1.16398e-09,0,-196.778,1,0.0552499,-2.94475,0,0.05,17
21.89,-1.30011e-09,0,-196.778,1,0.0585001,-2.9415,0,0.05,18
21.89,-1.43622e-09,0,-196.778,1,0.0617499,-2.93825,0,0.05,19
21.89,-1.57235e-09,0,-196.778,1,0.0650001,-2.935,0,0.05,20
21.89,-1.70846e-09,0,-196.778,1,0.0682499,-2.93175,0,0.05,21
21.89,-1.84458e-09,0,-196.778,1,0.0715001,-2.9285,0,0.05,22
21.89,-1.9807e-09,0,-196.778,1,0.0747499,-2.92525,0,0.05,23
21.89,-2.11682e-09,0,-196.778,1,0.0780001,-2.922,0,0.05,24
21.89,-2.25293e-09,0,-196.778,1,0.08125,-2.91875,0,0.05,25
21.89,-2.38906e-09,0,-196.778,1,0.0845001,-2.9155,0,0.05,26
21.89,-2.52517e-09,0,-196.778,1,0.08775,-2.91225,0,0.05,27
21.89,-2.66129e-09,0,-196.778,1,0.0910001,-2.909,0,0.05,28
21.89,-2.79741e-09,0,-196.778,1,0.09425,-2.90575,0,0.05,29
21.89,-2.93353e-09,0,-196.778,1,0.0975001,-2.9025,0,0.05,30
21.89,-3.0636e-09,0,-196.778,1,0.10075,-2.89925,0,0.05,31
21.89,-3.17353e-09,0,-196.778,1,0.104,-2.896,0,0.05,32
21.89,-3.28345e-09,0,-196.778,1,0.10725,-2.89275,0,0.05,33
21.89,-3.39338e-09,0,-196.778,1,0.1105,-2.8895,0,0.05,34
21.89,-3.5033e-09,0,-196.778,1,0.11375,-2.88625,0,0.05,35
21.89,-3.61323e-09,0,-196.778,1,0.117,-2.883,0,0.05,36
21.89,-3.72315e-09,0,-196.778,1,0.12025,-2.87975,0,0.05,37
21.89,-3.83307e-09,0,-196.778,1,0.1235,-2.8765,0,0.05,38
21.89,-3.94299e-09,0,-196.778,1,0.12675,-2.87325,0,0.05,39
21.89,-4.05292e-09,0,-196.778,1,0.13,-2.87,0,0.05,40
21.89,-4.16284e-09,0,-196.778,1,0.13325,-2.86675,0,0.05,41
21.89,-4.27276e-09,0,-196.778,1,0.1365,-2.8635,0,0.05,42
21.89,-4.38269e-09,0,-196.778,1,0.13975,-2.86025,0,0.05,43
21.89,-4.49261e-09,0,-196.778,1,0.143,-2.857,0,0.05,44
21.89,-4.60254e-09,0,-196.778,1,0.14625,-2.85375,0,0.05,45
21.89,-4.71246e-09,0,-196.778,1,0.1495,-2.8505,0,0.05,46
21.89,-4.78322e-09,0,-196.778,1,0.15275,-2.84725,0,0.05,47
21.89,-4.84685e-09,0,-196.778,1,0.156,-2.844,0,0.05,48
21.89,-4.91049e-09,0,-196.778,1,0.15925,-2.84075,0,0.05,49
21.89,-4.97412e-09,0,-196.778,1,0.1625,-2.8375,0,0.05,50
21.89,-5.03776e-09,0,-196.778,1,0.16575,-2.83425,0,0.05,51
21.89,-5.10139e-09,0,-196.778,1,0.169,-2.831,0,0.05,52
21.89,-5.16503e-09,0,-196.778,1,0.17225,-2.82775,0,0.05,53
21.89,-5.22866e-09,0,-196.778,1,0.1755,-2.8245,0,0.05,54
21.89,-5.2923e-09,0,-196.778,1,0.17875,-2.82125,0,0.05,55
21.89,-5.35593e-09,0,-196.778,1,0.182,-2.818,0,0.05,56
21.89,-5.41956e-09,0,-196.778,1,0.18525,-2.81475,0,0.05,57
21.89,-5.4832e-09,0,-196.778,1,0.1885,-2.8115,0,0.05,58
21.89,-5.54683e-09,0,-196.778,1,0.19175,-2.80825,0,0.05,59
21.89,-5.61046e-09,0,-196.778,1,0.195,-2.805,0,0.05,60
21.89,-5.6741e-09,0,-196.778,1,0.19825,-2.80175,0,0.05,61
21.89,-5.71812e-09,0,-196.778,1,0.2015,-2.7985,0,0.05,62
21.89,-5.73925e-09,0,-196.778,1,0.20475,-2.79525,0,0.05,63
21.89,-5.76038e-09,0,-196.778,1,0.208,-2.792,0,0.05,64
21.89,-5.78152e-09,0,-196.778,1,0.21125,-2.78875,0,0.05,65
21.89,-5.80265e-09,0,-196.778,1,0.2145,-2.7855,0,0.05,66
21.89,-5.82378e-09,0,-196.778,1,0.21775,-2.78225,0,0.05,67
21.89,-5.84492e-09,0,-196.778,1,0.221,-2.779,0,0.05,68
21.89,-5.86605e-09,0,-196.778,1,0.22425,-2.77575,0,0.05,69
21.89,-5.88718e-09,0,-196.778,1,0.2275,-2.7725,0,0.05,70
21.89,-5.90832e-09,0,-196.778,1,0.23075,-2.76925,0,0.05,71
21.89,-5.92945e-09,0,-196.778,1,0.234,-2.766,0,0.05,72
21.89,-5.95058e-09,0,-196.778,1,0.23725,-2.76275,0,0.05,73
21.89,-5.97171e-09,0,-196.778,1,0.2405,-2.7595,0,0.05,74
21.89,-5.99285e-09,0,-196.778,1,0.24375,-2.75625,0,0.05,75
21.89,-6.01398e-09,0,-196.778,1,0.247,-2.753,0,0.05,76
21.89,-6.03309e-09,0,-196.778,1,0.25025,-2.74975,0,0.05,77
21.89,-6.02797e-09,0,-196.778,1,0.2535,-2.7465,0,0.05,78
21.89,-6.02285e-09,0,-196.778,1,0.25675,-2.74325,0,0.05,79
21.89,-6.01772e-09,0,-196.778,1,0.26,-2.74,0,0.05,80
21.89,-6.0126e-09,0,-196.778,1,0.26325,-2.73675,0,0.05,81
21.89,-6.00747e-09,0,-196.778,1,0.2665,-2.7335,0,0.05,82
21.89,-6.00235e-09,0,-196.778,1,0.26975,-2.73025,0,0.05,83
21.89,-5.99723e-09,0,-196.778,1,0.273,-2.727,0,0.05,84
21.89,-5.9921e-09,0,-196.778,1,0.27625,-2.72375,0,0.05,85
21.89,-5.98698e-09,0,-196.778,1,0.2795,-2.7205,0,0.05,86
21.89,-5.98186e-09,0,-196.778,1,0.28275,-2.71725,0,0.05,87
21.89,-5.97673e-09,0,-196.778,1,0.286,-2.714,0,0.05,88
21.89,-5.97161e-09,0,-196.778,1,0.28925,-2.71075,0,0.05,89
21.89,-5.96648e-09,0,-196.778,1,0.2925,-2.7075,0,0.05,90
21.89,-5.96136e-09,0,-196.778,1,0.29575,-2.70425,0,0.05,91
21.89,-5.95624e-09,0,-196.778,1,0.299,-2.701,0,0.05,92
21.89,-5.94552e-09,0,-196.778,1,0.30225,-2.69775,0,0.05,93
21.89,-5.93231e-09,0,-196.778,1,0.3055,-2.6945,0,0.05,94
21.89,-5.9191e-09,0,-196.778,1,0.30875,-2.69125,0,0.05,95
21.89,-5.90589e-09,0,-196.778,1,0.312,-2.688,0,0.05,96
21.89,-5.89268e-09,0,-196.778,1,0.31525,-2.68475,0,0.05,97
21.89,-5.87947e-09,0,-196.778,1,0.3185,-2.6815,0,0.05,98
21.89,-5.86626e-09,0,-196.778,1,0.32175,-2.67825,0,0.05,99
21.89,-5.85305e-09,0,-196.778,1,0.325,-2.675,0,0.05,100
21.89,-5.83984e-09,0,-196.778,1,0.32825,-2.67175,0,0.05,101
21.89,-5.82663e-09,0,-196.778,1,0.3315,-2.6685,0,0.05,102
21.89,-5.81343e-09,0,-196.778,1,0.33475,-2.66525,0,0.05,103
21.89,-5.80022e-09,0,-196.778,1,0.338,-2.662,0,0.05,104
21.89,-5.78701e-09,0,-196.778,1,0.34125,-2.65875,0,0.05,105
21.89,-5.7738e-09,0,-196.778,1,0.3445,-2.6555,0,0.05,106
21.89,-5.76059e-09,0,-196.778,1,0.34775,-2.65225,0,0.05,107
21.89,-5.74895e-09,0,-196.778,1,0.351,-2.649,0,0.05,108
21.89,-5.74086e-09,0,-196.778,1,0.35425,-2.64575,0,0.05,109
21.89,-5.73277e-09,0,-196.778,1,0.3575,-2.6425,0,0.05,110
21.89,-5.72468e-09,0,-196.778,1,0.36075,-2.63925,0,0.05,111
21.89,-5.71659e-09,0,-196.778,1,0.364,-2.636,0,0.05,112
21.89,-5.7085e-09,0,-196.778,1,0.36725,-2.63275,0,0.05,113
21.89,-5.7004e-09,0,-196.778,1,0.3705,-2.6295,0,0.05,114
21.89,-5.69231e-09,0,-196.778,1,0.37375,-2.62625,0,0.05,115
21.89,-5.68422e-09,0,-196.778,1,0.377,-2.623,0,0.05,116
21.89,-5.67613e-09,0,-196.778,1,0.38025,-2.61975,0,0.05,117
21.89,-5.66803e-09,0,-196.778,1,0.3835,-2.6165,0,0.05,118
21.89,-5.65994e-09,0,-196.778,1,0.38675,-2.61325,0,0.05,119
21.89,-5.65185e-09,0,-196.778,1,0.39,-2.61,0,0.05,120
21.89,-5.64376e-09,0,-196.778,1,0.39325,-2.60675,0,0.05,121
21.89,-5.63567e-09,0,-196.778,1,0.3965,-2.6035,0,0.05,122
21.89,-5.62758e-09,0,-196.778,1,0.39975,-2.60025,0,0.05,123
21.89,-5.62928e-09,0,-196.778,1,0.403,-2.597,0,0.05,124
21.89,-5.6318e-09,0,-196.778,1,0.40625,-2.59375,0,0.05,125
21.89,-5.63432e-09,0,-196.778,1,0.4095,-2.5905,0,0.05,126
21.89,-5.63683e-09,0,-196.778,1,0.41275,-2.58725,0,0.05,127
21.89,-5.63935e-09,0,-196.778,1,0.416,-2.584,0,0.05,128
21.89,-5.64187e-09,0,-196.778,1,0.41925,-2.58075,0,0.05,129
21.89,-5.64439e-09,0,-196.778,1,0.4225,-2.5775,0,0.05,130
21.89,-5.64691e-09,0,-196.778,1,0.42575,-2.57425,0,0.05,131
21.89,-5.64943e-09,0,-196.778,1,0.429,-2.571,0,0.05,132
21.89,-5.65195e-09,0,-196.778,1,0.43225,-2.56775,0,0.05,133
21.89,-5.65447e-09,0,-196.778,1,0.4355,-2.5645,0,0.05,134
21.89,-5.65699e-09,0,-196.778,1,0.43875,-2.56125,0,0.05,135
21.89,-5.6595e-09,0,-196.778,1,0.442,-2.558,0,0.05,136
21.89,-5.66202e-09,0,-196.778,1,0.44525,-2.55475,0,0.05,137
21.89,-5.66454e-09,0,-196.778,1,0.4485,-2.5515,0,0.05,138
21.89,-5.6719e-09,0,-196.778,1,0.45175,-2.54825,0,0.05,139
21.89,-5.68341e-09,0,-196.778,1,0.455,-2.545,0,0.05,140
21.89,-5.69491e-09,0,-196.778,1,0.45825,-2.54175,0,0.05,141
21.89,-5.70642e-09,0,-196.778,1,0.4615,-2.5385,0,0.05,142
21.89,-5.71793e-09,0,-196.778,1,0.46475,-2.53525,0,0.05,143
21.89,-5.72943e-09,0,-196.778,1,0.468,-2.532,0,0.05,144
21.89,-5.74094e-09,0,-196.778,1,0.47125,-2.52875,0,0.05,145
21.89,-5.75244e-09,0,-196.778,1,0.4745,-2.5255,0,0.05,146
21.89,-5.76395e-09,0,-196.778,1,0.47775,-2.52225,0,0.05,147
21.89,-5.77546e-09,0,-196.778,1,0.481,-2.519,0,0.05,148
21.89,-5.78696e-09,0,-196.778,1,0.48425,-2.51575,0,0.05,149
21.89,-5.79847e-09,0,-196.778,1,0.4875,-2.5125,0,0.05,150
21.89,-5.80998e-09,0,-196.778,1,0.49075,-2.50925,0,0.05,151
21.89,-5.82148e-09,0,-196.778,1,0.494,-2.506,0,0.05,152
21.89,-5.83299e-09,0,-196.778,1,0.49725,-2.50275,0,0.05,153
21.89,-5.84492e-09,0,-196.778,1,0.5005,-2.4995,0,0.05,154
21.89,-5.85918e-09,0,-196.778,1,0.50375,-2.49625,0,0.05,155
21.89,-5.87344e-09,0,-196.778,1,0.507,-2.493,0,0.05,156
21.89,-5.88771e-09,0,-196.778,1,0.51025,-2.48975,0,0.05,157
21.89,-5.90197e-09,0,-196.778,1,0.5135,-2.4865,0,0.05,158
21.89,-5.91623e-09,0,-196.778,1,0.51675,-2.48325,0,0.05,159
21.89,-5.93049e-09,0,-196.778,1,0.52,-2.48,0,0.05,160
21.89,-5.94475e-09,0,-196.778,1,0.52325,-2.47675,0,0.05,161
21.89,-5.95902e-09,0,-196.778,1,0.5265,-2.4735,0,0.05,162
21.89,-5.97328e-09,0,-196.778,1,0.52975,-2.47025,0,0.05,163
21.89,-5.98754e-09,0,-196.778,1,0.533,-2.467,0,0.05,164
21.89,-6.0018e-09,0,-196.778,1,0.53625,-2.46375,0,0.05,165
21.89,-6.01606e-09,0,-196.778,1,0.5395,-2.4605,0,0.05,166
21.89,-6.03032e-09,0,-196.778,1,0.54275,-2.45725,0,0.05,167
21.89,-6.04459e-09,0,-196.778,1,0.546,-2.454,0,0.05,168
21.89,-6.05885e-09,0,-196.778,1,0.54925,-2.45075,0,0.05,169
21.89,-6.06922e-09,0,-196.778,1,0.5525,-2.4475,0,0.05,170
21.89,-6.07843e-09,0,-196.778,1,0.55575,-2.44425,0,0.05,171
21.89,-6.08763e-09,0,-196.778,1,0.559,-2.441,0,0.05,172
21.89,-6.09684e-09,0,-196.778,1,0.56225,-2.43775,0,0.05,173
21.89,-6.10604e-09,0,-196.778,1,0.5655,-2.4345,0,0.05,174
21.89,-6.11525e-09,0,-196.778,1,0.56875,-2.43125,0,0.05,175
21.89,-6.12445e-09,0,-196.778,1,0.572,-2.428,0,0.05,176
21.89,-6.13366e-09,0,-196.778,1,0.57525,-2.42475,0,0.05,177
21.89,-6.14287e-09,0,-196.778,1,0.5785,-2.4215,0,0.05,178
21.89,-6.15207e-09,0,-196.778,1,0.58175,-2.41825,0,0.05,179
21.89,-6.16128e-09,0,-196.778,1,0.585,-2.415,0,0.05,180
21.89,-6.17048e-09,0,-196.778,1,0.58825,-2.41175,0,0.05,181
21.89,-6.17969e-09,0,-196.778,1,0.5915,-2.4085,0,0.05,182
21.89,-6.18889e-09,0,-196.778,1,0.59475,-2.40525,0,0.05,183
21.89,-6.1981e-09,0,-196.778,1,0.598,-2.402,0,0.05,184
21.89,-6.20272e-09,0,-196.778,1,0.60125,-2.39875,0,0.05,185
21.89,-6.19999e-09,0,-196.778,1,0.6045,-2.3955,0,0.05,186
21.89,-6.19727e-09,0,-196.778,1,0.60775,-2.39225,0,0.05,187
21.89,-6.19455e-09,0,-196.778,1,0.611,-2.389,0,0.05,188
21.89,-6.19183e-09,0,-196.778,1,0.61425,-2.38575,0,0.05,189
21.89,-6.18911e-09,0,-196.778,1,0.6175,-2.3825,0,0.05,190
21.89,-6.18639e-09,0,-196.778,1,0.62075,-2.37925,0,0.05,191
21.89,-6.18367e-09,0,-196.778,1,0.624,-2.376,0,0.05,192
21.89,-6.18094e-09,0,-196.778,1,0.62725,-2.37275,0,0.05,193
21.89,-6.17822e-09,0,-196.778,1,0.6305,-2.3695,0,0.05,194
21.89,-6.1755e-09,0,-196.778,1,0.63375,-2.36625,0,0.05,195
21.89,-6.17278e-09,0,-196.778,1,0.637,-2.363,0,0.05,196
21.89,-6.17006e-09,0,-196.778,1,0.64025,-2.35975,0,0.05,197
21.89,-6.16734e-09,0,-196.778,1,0.6435,-2.3565,0,0.05,198
21.89,-6.16462e-09,0,-196.778,1,0.64675,-2.35325,0,0.05,199
21.89,-6.16189e-09,0,-196.778,1,0.65,-2.35,0,0.05,200
21.89,-6.14282e-09,0,-196.778,1,0.65325,-2.34675,0,0.05,201
21.89,-6.12375e-09,0,-196.778,1,0.6565,-2.3435,0,0.05,202
21.89,-6.10467e-09,0,-196.778,1,0.65975,-2.34025,0,0.05,203
21.89,-6.0856e-09,0,-196.778,1,0.663,-2.337,0,0.05,204
21.89,-6.06652e-09,0,-196.778,1,0.66625,-2.33375,0,0.05,205
21.89,-6.04745e-09,0,-196.778,1,0.6695,-2.3305,0,0.05,206
21.89,-6.02837e-09,0,-196.778,1,0.67275,-2.32725,0,0.05,207
21.89,-6.0093e-09,0,-196.778,1,0.676,-2.324,0,0.05,208
21.89,-5.99023e-09,0,-196.778,1,0.67925,-2.32075,0,0.05,209
21.89,-5.97115e-09,0,-196.778,1,0.6825,-2.3175,0,0.05,210
21.89,-5.95208e-09,0,-196.778,1,0.68575,-2.31425,0,0.05,211
21.89,-5.933e-09,0,-196.778,1,0.689,-2.311,0,0.05,212
21.89,-5.91393e-09,0,-196.778,1,0.69225,-2.30775,0,0.05,213
21.89,-5.89485e-09,0,-196.778,1,0.6955,-2.3045,0,0.05,214
21.89,-5.87578e-09,0,-196.778,1,0.69875,-2.30125,0,0.05,215
21.89,-5.84569e-09,0,-196.778,1,0.702,-2.298,0,0.05,216
21.89,-5.8087e-09,0,-196.778,1,0.70525,-2.29475,0,0.05,217
21.89,-5.77172e-09,0,-196.778,1,0.7085,-2.2915,0,0.05,218
21.89,-5.73473e-09,0,-196.778,1,0.71175,-2.28825,0,0.05,219
21.89,-5.69775e-09,0,-196.778,1,0.715,-2.285,0,0.05,220
21.89,-5.66077e-09,0,-196.778,1,0.71825,-2.28175,0,0.05,221
21.89,-5.62378e-09,0,-196.778,1,0.7215,-2.2785,0,0.05,222
21.89,-5.5868e-09,0,-196.778,1,0.72475,-2.27525,0,0.05,223
21.89,-5.54982e-09,0,-196.778,1,0.728,-2.272,0,0.05,224
21.89,-5.51283e-09,0,-196.778,1,0.73125,-2.26875,0,0.05,225
21.89,-5.47585e-09,0,-196.778,1,0.7345,-2.2655,0,0.05,226
21.89,-5.43887e-09,0,-196.778,1,0.73775,-2.26225,0,0.05,227
21.89,-5.40188e-09,0,-196.778,1,0.741,-2.259,0,0.05,228
21.89,-5.3649e-09,0,-196.778,1,0.74425,-2.25575,0,0.05,229
21.89,-5.32792e-09,0,-196.778,1,0.7475,-2.2525,0,0.05,230
21.89,-5.28701e-09,0,-196.778,1,0.75075,-2.24925,0,0.05,231
21.89,-5.23303e-09,0,-196.778,1,0.754,-2.246,0,0.05,232
21.89,-5.17905e-09,0,-196.778,1,0.75725,-2.24275,0,0.05,233
21.89,-5.12508e-09,0,-196.778,1,0.7605,-2.2395,0,0.05,234
21.89,-5.07109e-09,0,-196.778,1,0.76375,-2.23625,0,0.05,235
21.89,-5.01712e-09,0,-196.778,1,0.767,-2.233,0,0.05,236
21.89,-4.96314e-09,0,-196.778,1,0.77025,-2.22975,0,0.05,237
